ID,LABEL,inSubset,Category,comment,Parent,Parent (name),Equivalent Class,has drug brand name,has drug dose form,alternative label,definition,definition source,term editor,editor note,term tracker item,comment,hasDbXref,NCBI GeneID,Gene names,trade name,immunizes recipient,violin_host,lab animal,violin_animal,status of vaccine development,immunizes against disease,immunizes against pathogen,violin_pathogen,is_manufactured_by,is_manufactured_by (name),has flu season,vaccine type,violin_vaccine_type,has part,has component,has gene mutation,has vaccine allergen,has function,expresses,vaccinated in route,has drug package,associated axioms,has drug supplier,has quantity,has_component,has drug strength
VO:0007229,Allogeneic Melanoma Vaccine AGI-101H,cancer vaccine,VIOLIN,VIOLIN,VO:0000422,melanoma vaccine,,,,,"A cancer vaccine derived from two gentically modified human melanoma cell lines with potential antineoplastic activity. Allogeneic melanoma vaccine AGI-101H consists of a 1:1 mixture of cells from two genetically modified human melanoma cell lines, designated as Mich1H6 and Mich2H6, that have been gamma-irradiated to render the cells non-proliferative. Upon administration, this vaccine may stimulate a cytotoxic immune response against melanoma tumor cells.",PMID:32002306,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/158,,,216,Gene name: ALDH1A1,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,melanoma,,,,,,,Other,,,,,therapeutic vaccine function,,,,,,,,
VO:0007230,Allogeneic Mesothelioma Tumor Lysate-pulsed Autologous Dendritic Cell Vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0005491,mesothelioma cancer vaccine,,,,,"A cell-based cancer vaccine composed of autologous dendritic cells (DCs) pulsed with a mixture of lysates from five allogeneic mesothelioma tumor cell lines, with potential immunostimulatory and antineoplastic activities. Upon leukapheresis, DCs are loaded with allogeneic mesothelioma tumor cell lysates. Upon re-administration of the allogeneic mesothelioma tumor lysate-pulsed autologous DC vaccine, the immune system is exposed to an undefined amount of mesothelioma-associated antigens, which stimulates the induction of a specific cytotoxic T-lymphocyte (CTL) response against mesothelioma tumor cells and leads to tumor cell lysis",,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/159,,,10232,Gene name: MSLN,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,mesothelioma,,,,,,recombinant vector vaccine role,Recombinant vector vaccine,,,,,therapeutic vaccine function,,,,,,,,
VO:0007231,allogeneic multipotent adult progenitor cells vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0000177,cancer vaccine,,,,,"A biologic product that consists of undifferentiated stem cells, obtained from adult bone marrow or other non-embryonic tissue sources, that are expanded in vitro and deposited in master cell banks for """"off-the-shelf"""" use, with potential hematopoiesis-inducing and immunomodulating activities. Allogeneic multipotent adult progenitor cells (MAPCs) are non-immunogenic due to the lack of major histocompatibility (MHC) molecule expression, and so elicit no immune response upon administration. In vivo, bone marrow-derived adult stem cells are capable of maturing into a broad range of cell types and may help restore the immune system by producing multiple therapeutic molecules in response to inflammation and tissue damage.",,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/160,,,,,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,cancer,,,,,,recombinant vector vaccine role,Other,,,,,therapeutic vaccine function,,,,,,,,
VO:0007232,Allogeneic Renal Cell Carcinoma Vaccine MGN1601,cancer vaccine,VIOLIN,VIOLIN,VO:0005494,renal cancer vaccine,,,,,"A whole cell vaccine comprised of irradiated allogeneic renal cell carcinoma (RCC) with potential immunostimulating and antineoplastic activities. Allogeneic renal cell carcinoma vaccine MGN1601 contains two active ingredients: 1) genetically modified allogeneic RCC cells that are transiently transfected with four different MIDGE (Minimalistic Immunogenically Defined Gene Expression) vectors encoding IL-7, GM-CSF, CD80 and CD154 and 2) the synthetic DNA-based immunomodulator dSLIM-30L1, a TLR9 agonist.. Vaccination results in expression of IL-7, GM-CSF, CD80 and CD154, which all contribute to the activation or enhancement of immune responses. Furthermore, administration of this RCC vaccine may elicit a cytotoxic T lymphocyte (CTL) response against similar host tumor cells, resulting in decreased tumor growth. TLR9 is a member of the TLR family, which plays a fundamental role in pathogen recognition and activation of innate immunity.",https://www.cell.com/molecular-therapy-family/molecular-therapy/fulltext/S1525-0016(16)36654-0,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/161,,,941|959,Gene name: CD80|Gene name: CD40LG,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,kidney cancer,,,,,,recombinant vector vaccine role,Recombinant vector vaccine,,,,,therapeutic vaccine function,,,,,,,,
VO:0007233,allogeneic tumor cell vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0000177,cancer vaccine,,,,,"A vaccine composed of tumor cells isolated from the tumor of one patient, killed and processed, and administered to another patient to stimulate cytotoxic immune responses to a similar tumor cell type. The cells found in this type of whole-cell vaccine express many cell-surface tumor-associated antigens. This vaccine is frequently administered with an adjuvant immunostimulant.",https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/allogeneic-tumor-cell-vaccine,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/162,,,,,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,pancreatic cancer|multiple myeloma|breast cancer,,,,,,,Other,,,,,therapeutic vaccine function,,,,,,,,
VO:0007234,Allogenic Glioma Cancer Vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0005428,brain cancer vaccine,,,,,A vaccine composed of killed glioma cancer cells from another patient for use in immunotherapy,PMID:24829761,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/163,,,,,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,brain cancer,,,,,,,Inactivated or killed vaccine,,,,,therapeutic vaccine function,,,,,,,,
VO:0007235,Alpha Fetoprotein Adenoviral Vector Vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0005429,liver cancer vaccine,,,,,"A vaccine consisting of a recombinant adenoviral vector encoding alpha fetoprotein. After vaccination, expressed alpha fetoprotein may stimulate a cytotoxic T lymphocyte (CTL) response against tumor cells that express alpha fetoprotein, resulting in tumor cell lysis.",PMID:25041030,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/164,,,149,Gene name: AFP,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,liver cancer,,,,,,recombinant vector vaccine role,Recombinant vector vaccine,,,,,therapeutic vaccine function,,,,,,,,
VO:0007236,"Alpha-1,3-galactosyltransferase-expressing Allogeneic Renal Cell Carcinoma Vaccine",cancer vaccine,VIOLIN,VIOLIN,VO:0005494,renal cancer vaccine,,,,,"An allogeneic renal cell cancer (RCC) vaccine composed of cell line-derived RCCs that are genetically engineered to express the murine alpha-1,3-galactosyltransferase (GalT), with potential immunostimulatory and antineoplastic activities. Not naturally occurring in humans, GalT catalyzes the expression of foreign alpha-1,3-galactosyl (alpha-gal) carbohydrate epitopes on the cell membranes of the allogeneic RCCs present in the vaccine. This induces a hyperacute rejection reaction involving pre-existing human anti-alpha-gal antibodies, which bind to the foreign alpha-gal epitopes expressed by the allogeneic RCCs. This results in complement-mediated cytotoxicity (CMC) and antibody-dependent cell-mediated cytotoxicity (ADCC) towards endogenous RCCs with unmodified carbohydrate epitopes.",,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/165,,,11605,Gene name: Gla,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,kidney cancer,,,,,,,Other,,,,,therapeutic vaccine function,,,,,,,,
VO:0007237,Alpha-fetoprotein Peptide-Pulsed Autologous Dendritic Cell Vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0005429,liver cancer vaccine,,,,,"A cell-based cancer vaccine comprised of autologous dendritic cells pulsed with four alpha-fetoprotein (AFP) peptides, with potential immunostimulatory and antineoplastic activities. Upon administration, AFP peptide-pulsed autologous dendritic cell vaccine may stimulate anti-tumoral cytotoxic T lymphocyte (CTL) and antibody responses against AFP-expressing cancer cells, resulting in tumor cell lysis. AFP is overexpressed in a variety of cancer cells.",PMID:16675576,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/166,,,174,Gene name: AFP,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,liver cancer,,,,,,recombinant vector vaccine role,Recombinant vector vaccine,,,,,therapeutic vaccine function,,,,,,,,
VO:0007238,Alpha-Galactosylceramide-Pulsed Autologous Dendritic Cell Vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0005486,lung cancer vaccine,,,,,"A cancer vaccine comprised of autologous dendritic cells (DCs) pulsed with the marine sponge glycolipid alpha-galactosylceramide (alpha-GalCer) with potential immunostimulatory and antimetastatic activities. Upon administration, alpha-galactosylceramide-pulsed autologous dendritic cells may result in the activation and proliferation of a subset of endogenous natural killer T (NKT) cells, B cells, and CD4+ and CD8+ T cells, and the production of interferon-gamma and interleukin-12; these cascade events may result in a T helper-1 cell-biased proinflammatory antitumor immune response. The NKT cell ligand alpha-GalCer was originally isolated from the marine sponge Agelas mauritianusis.",PMID:32188702,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/167,,,,,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,lung cancer,,,,,,recombinant vector vaccine role,Recombinant vector vaccine,,,,,therapeutic vaccine function,,,,,,,,
VO:0007239,Alpha-type-1 polarized dendritic cell vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0000177,cancer vaccine,,,,,"A mature polarized dendritic cell with potent immunostimulating activity. Treating dendritic cells (DCs) with interferon-alpha (IFN-a) and polyinosinic:polycytidylic acid (p-I:C) in addition to a cytokine cocktail (tumor necrosis factor alpha/Interleukin-1beta/IFN-gamma) produces mature but not exhausted alpha type-1 polarized DCs (alphaDC1) that are capable of: 1) high responsiveness to other lymphoid chemokines, and 2) producing high level of interleukin-12p70 (IL-12p70). Therefore, alphaDC1 has a much more significant capability of inducing helper T cell (CD4+ T-cell) responses in comparison with the """"gold standard"""" DCs. When pulsed with specific tumor associated antigens (TAAs), alphaDC1 is able to induce a potent cytotoxic T lymphocyte (CTL) response against TAAs; as a result it can be used as a cancer vaccine.",https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/alpha-type-1-polarized-dendritic-cells,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/168,,,2315|6490|7299,Gene name: MLANA|Gene name: gp100 (PMEL)|Gene name: Tyrosinase,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,melanoma|breast cancer|ovarian cancer|fallopian tube cancer,,,,,,,Other,,,,,therapeutic vaccine function,,,,,,,,
VO:0007240,ALVAC vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0000422,melanoma vaccine,,,,,"A derivative of the Canarypox Virus, ALVAC can infect mammalian cells but it can't replicate. Thus, it produces a self-limiting infection which does not produce symptoms or harm the host. When carrying foreign genes it will cause transient expression of protein.",PMID:16061912,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/169,,,3458,Gene name: IFNG -Obselete ,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,melanoma,,,,,,DNA vaccine role,DNA vaccine,,,,,therapeutic vaccine function,,,,,,,,
VO:0007241,ALVAC-B7-CEA vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0000177,cancer vaccine,,,,,"A cancer vaccine consisting of ALVAC, a highly attenuated poxvirus strain derived from the canarypox virus. ALVAC-B7-CEA expresses carcinoembryonic antigen (CEA), a protein that is overexpressed by many tumor cells, and B7.1 (also known as CD80), the natural ligand for the T-cell antigen CD28, to augment the host immune response. This agent has been shown to stimulate a host immune response against tumor cells that express CEA. (NCI04)",PMID:12596363,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/210,,,941|1048,Gene name: CD80|Gene name: CEACAM5 (CEA),,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,melanoma,,,,,,recombinant vector vaccine role,Other,,,,,therapeutic vaccine function,,,,,,,,
VO:0007242,ALVAC-CEA (VCP248) vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0000177,cancer vaccine,,,,,"A replication-defective recombinant canarypox virus (ALVAC) that contains the entire human carcinoembryonic antigen (CEA) gene. Vaccination with ALVAC-CEA (VCP248) may stimulate the host immune system to mount a cytotoxic T lymphocyte (CTL) response against CEA-positive tumor cells, thereby decreasing tumor growth. (NCI04)",,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/212,,,1048,Gene name: CEACAM5 (CEA),,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,cancer,,,,,,recombinant vector vaccine role,Recombinant vector vaccine,,,,,therapeutic vaccine function,,,,,,,,
VO:0007243,ALVAC-CEA B7.1 Vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0005489,colon cancer vaccine,,,,,A cancer vaccine that uses a viral vector system derived from the canarypox virus engineered to target the carcinoembryonic antigen (CEA). It causes infected cells to temporarily display CEA and activates the immune system to attack the tumor cells.,PMID:18676757,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/213,,,941,Gene name: CD80,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,colon cancer,,,,,,recombinant vector vaccine role,Recombinant vector vaccine,,,,,therapeutic vaccine function,,,,,,,,
VO:0007244,ALVAC-CEA vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0000177,cancer vaccine,,,,,"A cancer vaccine consisting of ALVAC, a highly attenuated poxvirus strain derived from the canarypox virus, encoding for the tumor associated antigen (TAA) carcinoembryonic antigen (CEA), with potential antineoplastic activity. Upon administration, ALVAC-CEA vaccine expresses CEA and may stimulate a host immune response against tumor cells expressing CEA. This may result in the inhibition of tumor growth and/or metastasis. CEA is overexpressed in a variety of tumor cell types.",,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/214,,,1048,Gene name: CEACAM5 (CEA),,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,cancer,,,,,,,Other,,,,,therapeutic vaccine function,,,,,,,,
VO:0007245,ALVAC-ESO-1 vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0000177,cancer vaccine,,,,,"A cancer vaccine consisting of a replication-defective recombinant canarypox virus (ALVAC) encoding the cancer-testis antigen NY-ESO-1, with potential immunostimulatory and antineoplastic activities. Upon administration, ALVAC-ESO-1 vaccine may stimulate the host immune system to mount a cytotoxic T lymphocyte (CTL) response against NY-ESO-1-expressing cancer cells, which may result in the inhibition of tumor cell proliferation. NY-ESO-1, a tumor associated antigen (TAA), is found in normal testis and on the surface of various tumor cells.",NCT: https://clinicaltrials.gov/ct2/show/NCT01982487,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/215,,,1485,Gene name: NY-ESO-1,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,cancer,,,,,,recombinant vector vaccine role,Recombinant vector vaccine,,,,,therapeutic vaccine function,,,,,,,,
VO:0007246,ALVAC-hB7.1 vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0000422,melanoma vaccine,,,,,"A vaccine comprise of a canarypox viral vector that carries the gene for human B7.1 (CD80 antigen) with potential use as an autologous therapeutic cancer vaccine. Tumor cells harvested from a patient are infected with ALVAC-hB7 1, thereby producing an autologous cell line that exhibits increased expression of HLA class I and class II, CD54 (ICAM), and CD80. Increased expression of these proteins by this autologous cell line may activate an antitumor T-cell response when the modified cells are administered to the patient.",NCT: https://clinicaltrials.gov/ct2/show/NCT00003556,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/216,,,1493,Gene name: CTLA4,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,melanoma,,,,,,recombinant vector vaccine role,Recombinant vector vaccine,,,,,therapeutic vaccine function,,,,,,,,
VO:0007247,ALVAC-MART-1 vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0000422,melanoma vaccine,,,,,"A cancer vaccine containing a replication-defective recombinant canarypox virus (ALVAC), encoding an epitope of MART-1 (melanoma antigen recognized by T-cells), with potential immunostimulatory and antineoplastic activities. Upon administration, the MART-1 epitope is expressed by the ALVAC vector in ALVAC-MART-1 vaccine; a host cytotoxic T lymphocyte (CTL) response against MART-1-expressing tumor cells may follow, resulting in tumor cell lysis and decreased tumor cell proliferation",NCT: https://clinicaltrials.gov/ct2/show/NCT00612222,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/217,,,2315,Gene name: MLANA,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,melanoma,,,,,,recombinant vector vaccine role,Recombinant vector vaccine,,,,,therapeutic vaccine function,,,,,,,,
VO:0007248,a2/4-1bbl melanoma vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0007658,whole cell cancer vaccine,,,,,"A cancer vaccine used to treat patients with malignant melanoma. It is made of a compatible melanoma cell line that has been engineered to express a molecule termed 4-1BBL, which enhances the chances of the cell line to be recognized by the patient's immune system, and to induce its stimulation, with an immune response to residual tumor in the body. It will be used in combination with intravenous low dose cyclophosphamide, 300 mg/m2.",NCT: https://clinicaltrials.gov/study/NCT01898039,Hayleigh Kahn|Jie Zheng,,,,,8744,Gene name: 4-1BBL,,Homo sapiens,,,,vaccine in clinical trial role,melanoma,,,,,,,Live attenuated vaccine,,,,,therapeutic vaccine function,,intravenous route,,,,,,
VO:0007249,ALVAC(2) Melanoma multi-antigen vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0000422,melanoma vaccine,,,,,"A therapeutic cancer vaccine, based on a replication-defective recombinant canarypox virus (ALVAC) encoding multiple melanoma antigens, with potential immunostimulatory and antineoplastic activities. Vaccination with ALVAC(2) melanoma multi-antigen therapeutic vaccine may stimulate the host immune system to mount an immune response against antigen-expressing melanoma cells, resulting in inhibition of tumor growth and/or metastasis.",,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/170,,,1485|6490,Gene name: gp100 (PMEL)|Gene name: CTAG1B,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,melanoma,,,,,,recombinant vector vaccine role,Recombinant vector vaccine,,,,,therapeutic vaccine function,,,,,,,,
VO:0007250,ALVAC(2)-NY-ESO-1 (M)/TRICOM vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0000177,cancer vaccine,,,,,"A cancer vaccine consisting of a replication-defective recombinant canarypox virus [ALVAC(2)] encoding the cancer-testis antigen NY-ESO and the TRIad of COstimulatory Molecules (B7-1, ICAM-1 and LFA-3; also called TRICOM), with potential immunostimulatory and antineoplastic activities. Upon administration, ALVAC(2)/NY-ESO (M)/TRICOM vaccine may stimulate the host immune system to mount a cytotoxic T lymphocyte (CTL) response against NY-ESO-expressing cancer cells, which may result in the inhibition of tumor cell proliferation. NY-ESO-1, a tumor associated antigen (TAA), is found in normal testis and on the surface of various tumor cells, including bladder, breast, hepatocellular, melanoma, and prostate tumor cells. TRICOM may enhance antigen presentation and activate cytotoxic T-cells. In addition, ALVAC(2) encodes the vaccinia virus (vv) E3L ad K3L genes, which may potentiate the translation of the NY-ESO and TRICOM genes.",NCT: https://clinicaltrials.gov/ct2/show/NCT01982487,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/171,,,1485|3383|941|965,Gene name: NY-ESO-1|Gene name: ICAM1|Gene name: CD80|Gene name: CD58,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,cancer,,,,,,recombinant vector vaccine role,Recombinant vector vaccine,,,,,therapeutic vaccine function,,,,,,,,
VO:0007251,AML mRNA Positive Lysate Loaded Autologous Dendritic Cell Vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0005487,leukemia cancer vaccine,,,,,"A cancer vaccine consisting of autologous dendritic cells loaded with separate preparations of acute myelogenous leukemia (AML) cell lysate and AML-specific messenger RNA (mRNA) with potential immunostimulatory and antineoplastic activities. Upon administration, AML mRNA plus lysate loaded autologous dendritic cell vaccine may elicit a potent cytotoxic T-cell (CTL) response against AML cells, resulting in tumor cell death. Autologous dendritic cells doubly-loaded with AML cell lysate and AML-specific mRNA may elicit superior primary, recall, and effector lytic immune responses compared to autologous dendritic cells loaded with tumor lysate or tumor mRNA alone.",,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/219,,,,,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,leukemia,,,,,,recombinant vector vaccine role|RNA vaccine role,Recombinant vector vaccine,,,,,therapeutic vaccine function,,,,,,,,
VO:0007252,Amolimogene Bepiplasmid Vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0005488,cervical cancer vaccine,,,,,"A plasmid DNA-based vaccine consisting of small biodegradable poly(lactide-co-glicolide) polymer microparticles encapsulating plasmid-DNA vector encoding a chimeric protein comprising epitopes derived from the E6 and E7 oncoproteins of the human papillomavirus (HPV) types 16 and 18, with potential antineoplastic activity. Upon intramuscular vaccination, amolimogene bepiplasmid may elicit the host immune system to mount a cytotoxic T-lymphocyte (CTL) response against tumor cells positive for HPV-16 and -18 E6 and E7 and may result in a reduction in tumor cell growth. HPV types 16 and 18 oncoproteins E6 and E7 are most commonly involved in cervical cancer.",PMID:19051140,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/220,,,1489079,Gene name: E7,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,cervical cancer,,,,,,DNA vaccine role,DNA vaccine,,,,,therapeutic vaccine function,,,,,,,,
VO:0007253,Androgen Receptor Ligand-binding Domain-encoding Plasmid DNA Vaccine MVI-118,cancer vaccine,VIOLIN,VIOLIN,VO:0005425,prostate cancer vaccine,,,,,"A cancer vaccine containing pTVG4 plasmid DNA encoding the human androgen receptor (AR) ligand-binding domain (LBD) (pTVG-AR), with potential immunostimulating and antineoplastic activities. Upon intradermal administration of AR LBD-encoding plasmid DNA vaccine MVI-118, the plasmid DNA vaccine expresses AR LBD and may stimulate the host immune system to generate a cytotoxic T-lymphocyte (CTL) response against AR LBD-expressing prostate cancer cells. This reduces proliferation of AR-expressing tumor cells. AR, a tumor-associated antigen (TAA) overexpressed in prostate cancer cells, plays a key role in the development and progression of prostate cancer; its expression is correlated with poor prognosis.",PMID:32513836,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/221,,,367,Gene name: AR,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,prostate cancer,,,,,,DNA vaccine role,DNA vaccine,,,,,therapeutic vaccine function,,,,,,,,
VO:0007254,Ankara (MVA) vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0000422,melanoma vaccine,,,,,A modified vaccinia Ankara (MVA) encoding 7 melanoma tumor antigen cytotoxic T lymphocyte (CTL) epitopes.,PMID:15627214,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/222,,,,,,Homo sapiens,,,,vaccine in research role,melanoma,,,,,,DNA vaccine role,Recombinant plasmid DNA,,,,,therapeutic vaccine function,,intramuscular route,,,,,,
VO:0007255,Ankara (MVA) and ALVAC(2) vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0000422,melanoma vaccine,,,,,"Recombinant MVA-gp100M and ALVAC(2)-5T4 were constructed to complement existing ALVAC(2)-gp100M and MVA-5T4 vectors. Recombinant TAA expression in chicken embryo fibroblast cells was confirmed by Western blot analysis. 5T4 expression was approximately equal for both viruses, whereas ALVAC-derived gp100 was quickly degraded, at a time point when MVA-derived gp100 was still stable and expressed at high levels",PMID:15627214,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/223,,,,,,Homo sapiens,,,,vaccine in research role,melanoma,,,,,,peptide vaccine role,peptide,,,,,therapeutic vaccine function,,intramuscular route,,,,,,
VO:0007256,Anti-CD19/CD3 Tetravalent Antibody AFM11 Vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0005427,lymphoma vaccine,,,,,"An anti-CD19/anti-CD3 bispecific tetravalent antibody with potential immunostimulatory and antineoplastic activities. Anti-CD19/CD3 tetravalent antibody AFM11 possesses two antigen-recognition and binding sites, one for the CD3 complex, a group of T-cell surface glycoproteins that complex with the T-cell receptor (TCR), and one for CD19, a tumor-associated antigen (TAA) overexpressed on the surface of B-cells. Upon bolus infusion of AFM11, this bispecific antibody binds to CD3-expressing T-cells and CD19-expressing cancer cells, thereby crosslinking CD19-expressing tumor B-cells and cytotoxic T-lymphocytes (CTLs). This may result in a potent CTL-mediated cell lysis of CD19-expressing B-lymphocytes. CD19, a B-cell specific membrane antigen, is expressed during both B-cell development and B-cell malignant growth.",,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/224,,,,,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,lymphoma,,,,,,,Other,,,,,therapeutic vaccine function,,,,,,,,
VO:0007257,Anti-CD3 x Anti-CD20 Bispecific Antibody-Armed Activated T Cells Cancer Vaccine,cancer vaccine,VIOLIN,VIOLIN,VO:0005427,lymphoma vaccine,,,,,"Autologous activated T cells that have been coated with bispecific antibodies (BiAb), with potential antineoplastic and immunomodulating activities. In vitro, T cells are activated through exposure to the anti-CD3 murine monoclonal antibody OKT3 and low-dose interleukin 2 (Il-2) for 6-14 days and then armed with anti-CD3 x anti-CD20 bispecific antibody (CD20Bi). Upon administration, anti-CD3 x anti-CD20 bispecific antibody-armed activated T cells (AATC) attach to CD3-expressing T cells and CD20-expressing tumor cells, selectively cross-linking T cells and tumor cells. This may result in the recruitment and activation of cytotoxic T lymphocyte (CTLs), CTL-mediated specific tumor cell lysis, and the secretion of antitumor cytokines and chemokines. CD20, a cell surface phosphoprotein, is found on normal B cells and most B-cell tumors.",https://www.targetedonc.com/view/cd20-cd3-bispecific-antibodies-can-revolutionize-b-cell-lymphoma-therapy,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He,,https://github.com/vaccineontology/VO/issues/225,,,931,Gene name: MS4A1,,Homo sapiens,Homo sapiens,,,vaccine in clinical trial role,lymphoma,,,,,,,Other,,,,,therapeutic vaccine function,,,,,,,,
