order,Ontology ID,LABEL,altID,Parent label,Parent,Equivalent Class,Gene names,NCBI GeneID,status of vaccine development,has role,has quality,vaccine component/role,has function,immunizes disease,immunizes recipient,immunizes against pathogen,vaccinated in route,definition,PubMed,other link,VIOLIN ID,VIOLIN Link,GitHub tracker,NCI link,NCT link,Term editors,alternative label,database_cross_reference,term tracker item,xingxian comment
162,VO:0007074,PR1 Leukemia Peptide Vaccine,,leukemia cancer vaccine,VO:0005487,,Gene name: TMEM37,140738,Clinical trial,peptide vaccine role,,peptide vaccine role,therapeutic vaccine function,leukemia,Homo sapiens|Mus musculus,,,"A cancer vaccine containing PR1, a 9 amino-acid human leukocyte antigen (HLA)-A2 restricted peptide derived from proteinase 3, with potential immunotherapeutic activity. Vaccination with PR1 leukemia peptide vaccine may stimulate the host immune system to mount a cytotoxic T lymphocyte (CTL) response against tumor cells expressing proteinase 3, resulting in tumor cell lysis. Often overexpressed in leukemic cells, proteinase 3 is a serine proteinase that activates progelatinase A and is involved in angiogenesis and metastasis.",PubMed:27654852,,5140,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5140,https://github.com/vaccineontology/VO/issues/139,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C2235,NCT: https://clinicaltrials.gov/ct2/show/NCT00004918,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
163,VO:0007075,Tumor Cell Derivative Vaccine,,leukemia cancer vaccine,VO:0005487,,,,Clinical trial,,,,therapeutic vaccine function,leukemia,Homo sapiens,,,"A vaccine made of cancer cells, parts of cancer cells, or pure tumor antigens (substances isolated from tumor cells). A tumor antigen vaccine may stimulate the body's immune system to find and kill cancer cells.",PubMed:30348199,,5387,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5387,,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C2341,NCT: https://clinicaltrials.gov/ct2/show/NCT00100971,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
164,VO:0007076,WT1 Peptide Vaccine OCV-501,,leukemia cancer vaccine,VO:0005487,,Gene name: WT1,7490,Clinical trial,peptide vaccine role,,peptide vaccine role,therapeutic vaccine function,leukemia,Homo sapiens,,,"A leukemia cancer vaccine comprised of a peptide derived from Wilms tumor gene 1 (WT1) protein, with potential immunomodulating and antineoplastic activities. Upon subcutaneous administration, WT1 peptide vaccine OCV-501 may stimulate a CD4-positive helper T-lymphocyte-mediated immune response against WT1 expressing cells. WT1 protein, a zinc finger DNA-binding protein, is overexpressed in leukemic cells and in some solid tumors.",PubMed:28321480,,5330,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5330,,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C106257,NCT: https://clinicaltrials.gov/ct2/show/NCT01961882,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
165,VO:0007077,WT1-A10/AS01B Immunotherapeutic GSK2130579A Vaccine,,leukemia cancer vaccine,VO:0005487,,Gene name: WT1,7490,Clinical trial,recombinant vector vaccine role,,,therapeutic vaccine function,leukemia,Homo sapiens,,,"An immunotherapeutic consisting of the recombinant fusion protein WT1-A10 combined with the adjuvant ASO1B with potential immunostimulating and antineoplastic activities. Upon administration, WT1-A10/AS01B immunotherapeutic GSK2130579AWT1 may induce a WT1-specific cytotoxic T-lymphocyte (CTL) response against WT1-expressing tumor cells, resulting in cell lysis and the inhibition of cellular proliferation. The tumor-associated antigen WT1 (Wilms tumor protein-1) is overexpressed in most types of leukemia and in a variety of solid cancers. WT1-A10 is a 292 amino acid recombinant fusion protein consisting of a 12-mer truncated tat sequence (leader sequence) and amino acids number 2-281 of the WT1 sequence; ASO1B consists of a combination of the adjuvants monophosporyl lipd A (MPL) and Q21.",PubMed:16117707,,5354,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5354,,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C78865,NCT: https://clinicaltrials.gov/ct2/show/NCT00725283,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
166,VO:0007078,Recombinant Vaccinia-CEA Vaccine,,liver cancer vaccine,VO:0005429,,Gene name: CEACAM5,1048,Clinical trial,recombinant vector vaccine role,,,therapeutic vaccine function,liver cancer,Homo sapiens|Mus musculus,,,"A recombinant vaccinia virus encoding carcinoembryonic antigen (CEA). CEA is overexpressed in several cancer cell types, including gastrointestinal, breast, and non-small cell lung cancers. Attenuated vaccinia virus is a highly effective immunizing agent that evokes both humoral and cell-mediated responses. Vaccination with this agent may evoke a cytotoxic immune response to CEA-expressing cells.",PubMed:7629885,,5401,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5401,https://github.com/vaccineontology/VO/issues/341,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C2809,NCT: https://clinicaltrials.gov/ct2/show/NCT00081848,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
167,VO:0007079,Remestemcel-L Vaccine,,liver cancer vaccine,VO:0005429,,,,Clinical trial,,,,therapeutic vaccine function,liver cancer,Homo sapiens|Mus musculus,,,"Human mesenchymal stem cells (MSCs) harvested from bone marrow of healthy adult donors and expanded ex vivo, with potential immunosuppressive activity. Remestemcel-L cells are hypo-immunogenic due to lack of major histocompatibility II (MHC II) molecule expression, eliciting little, if any, host immune response upon intravenous infusion. Infusion of allogeneic MSCs may result in: a) increased production of anti-inflammatory cytokines, such as interleukin-10, prostaglandin E, and hepatocyte growth factor; b) decreased mononuclear phagocyte expression of indoleamine 2,3,-dioxygenase, which catabolizes L-tryptophan into its pro-inflammatory metabolites; and c) modulated dendritic cell (DC)maturation and disrupted activities of natural killer (NK) cells and CD8+ and CD4+ T cells. In addition, pluripotent MSCs, upon administration, may be recruited to damaged tissue sites, differentiating along specific lineages when stimulated.",PubMed:32018062,,4993,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=4993,https://github.com/vaccineontology/VO/issues/353,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C67082,,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
168,VO:0007080,Telomerase-specific Type 5 Adenovirus OBP-301 Vaccine,,liver cancer vaccine,VO:0005429,,Gene name: TERT,7015,Clinical trial,recombinant vector vaccine role,,,therapeutic vaccine function,liver cancer,Homo sapiens,,,"A replication-competent oncolytic, telomerase-specific adenovirus serotype 5 (Ad5), with potential antineoplastic activity. OBP-301 contains the human telomerase reverse transcriptase (hTERT) gene promoter sequence that drives the expression of the E1A and E1B genes, and is linked to an internal ribosomal entry site (IRES). Upon administration, OBP-301 selectively infects and replicates in cancer cells that are expressing telomerase, which causes cell lysis. This adenovirus does not infect or replicate in normal, healthy cells. OBP-301 may also potentially be used as a chemosensitizer. hTERT, which encodes for the catalytic protein subunit of telomerase, is overexpressed in a variety of cancer cell types but not in normal, healthy cells. The insertion of an IRES further improves selectivity towards telomerase-expressing cancer cells.",PubMed:27673332,,5072,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5072,,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C119617,NCT: https://clinicaltrials.gov/ct2/show/NCT02293850,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
169,VO:0007081,EP-2101 Vaccine,,lung cancer vacine,VO:0005486,,Gene name: TP53|Gene name: CEACAM5|Gene name: ERBB2|Gene name: MAGEA2|Gene name: MAGEA3,7157|1048|2064|4101|4102,Clinical trial,DNA vaccine role,,,therapeutic vaccine function,lung cancer,Homo sapiens|Mus musculus,,,"A proprietary cancer DNA vaccine that contains multiple natural and modified epitopes derived from the four tumor associated antigens, CEA, HER2/neu, p53, and MAGE 2/3. OSE 2101 also includes CAP1-6D, a heteroclitic CEA analog, and PADRE, a proprietary universal T-cell epitope that serves to enhance the immunogenicity of the epitopes. This agent has been shown to elicit cytotoxic T-lymphocyte responses against tumor cells expressing these multiple epitopes.",PubMed:18382135,,5528,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5528,https://github.com/vaccineontology/VO/issues/72,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C26645,NCT: https://clinicaltrials.gov/ct2/show/NCT02654587,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
170,VO:0007082,PR-151 Peptide Vaccine,,lung cancer vacine,VO:0005486,,Gene name: TP53,7157,Clinical trial,peptide vaccine role,,peptide vaccine role,therapeutic vaccine function,lung cancer,Homo sapiens|Mus musculus,,,"A tumor-specific peptide encoded by patient-specific mutant p53 oncogene with potential immunostimulatory properties. The peptide (LPTGQDL) contains a frame shift mutation at amino acid position 134. It was used to pulse dendritic cells, which are then used in the adoptive immunotherapy setting and may stimulate the host immune system to mount a specific cytotoxic T lymphocyte response against tumor cells expressing the p35 mutation.",PubMed:29301826,,5272,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5272,https://github.com/vaccineontology/VO/issues/193|https://github.com/vaccineontology/VO/issues/125,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C38121,NCT: https://clinicaltrials.gov/ct2/show/NCT00049218,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
171,VO:0007083,Racotumomab Vaccine,,lung cancer vacine,VO:0005486,,Gene name: HRAS|Gene name: NRAS|Gene name: KRAS,3265|4893|3845,Clinical trial,subunit vaccine role,,,therapeutic vaccine function,lung cancer,Homo sapiens|Mus musculus,,,"An anti-idiotype murine monoclonal antibody (MoAb) specific to P3 MoAb with anti-metastatic effect. Racotumomab binds to the idiotype region of P3 MoAb and functionally mimics the three-dimensional structure of N-glycolyl ceramides of mono-sialyl lactose, the antigenic target of P3. As a result, this anti-idiotype antibody may stimulate the host immune system to elicit humoral and cellular immune responses against tumor cells expressing NeuGc-GM3 gangliosides, which are expressed in a wide variety of tumor cells.",PubMed:26903265,,5201,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5201,https://github.com/vaccineontology/VO/issues/188,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C95024,NCT: https://clinicaltrials.gov/ct2/show/NCT01598454,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
172,VO:0007084,Recombinant Adenovirus-L523S Vaccine,,lung cancer vacine,VO:0005486,,Gene name: IGF2BP3,10643,Clinical trial,recombinant vector vaccine role,,,therapeutic vaccine function,lung cancer,Homo sapiens|Mus musculus,,,"A replication-defective adenovirus containing a gene that encodes the human protein L523S with potential antineoplastic activity. Upon administration, recombinant adenovirus-L523S vaccine expresses L523S, which may stimulate antibody and cytotoxic T lymphocyte (CTL) responses against tumor cells expressing L523S. L523S is an RNA-binding protein that belongs to the KOC (K homology domain containing protein over-expressed in cancer) family of proteins. As an oncofetal protein, L523S is normally expressed in early embryonic tissues and certain normal adult tissues such as colon, fallopian tube, gall bladder, and ovary tissues but may be overexpressed in squamous cell cancers of the lung.",PubMed:16581300,,5074,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5074,https://github.com/vaccineontology/VO/issues/323,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C49289,NCT: https://clinicaltrials.gov/ct2/show/NCT00062907,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
173,VO:0007085,Recombinant DNA-L523S Vaccine,,lung cancer vacine,VO:0005486,,Gene name: IGF2BP3,10643,Clinical trial,DNA vaccine role,,,therapeutic vaccine function,lung cancer,Homo sapiens|Mus musculus,,,"A plasmid DNA encoding human L523S, an RNA-binding protein that belongs to the KOC (K homology domain containing protein overexpressed in cancer) family, with potential antineoplastic activity. Vaccination with L523S DNA may stimulate a cytotoxic T lymphocyte (CTL) response against tumor cells that express the L523S protein. As an oncofetal protein, L523S is normally expressed in early embryonic tissue, but is overexpressed in certain cancer cell types.",PubMed:12750279,,5156,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5156,https://github.com/vaccineontology/VO/issues/327,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C49290,NCT: https://clinicaltrials.gov/ct2/show/NCT00062907,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
174,VO:0007086,Recombinant Human EGF-rP64K/Montanide ISA 51 Vaccine,,lung cancer vacine,VO:0005486,,Gene name: LV28_RS26095 transcriptional regulator RegF,25003478,Clinical trial,peptide vaccine role,,peptide vaccine role,therapeutic vaccine function,lung cancer,Homo sapiens,,,"A peptide vaccine preparation, containing recombinant human epidermal growth factor (rEGF) linked to the Neisseria meningitidis-derived recombinant immunogenic carrier protein P64k (rP64k) and mixed with the immunoadjuvant Montanide ISA 51, with potential active immunotherapy activity. Recombinant human EGF-rP64K/Montanide ISA 51 vaccine may trigger a humoral immune response against vaccine rEGF and rP64K and, so, against endogenous EGF. Antibody-mediated inhibition of endogenous EGF binding to its receptor, epithelial growth factor receptor (EGFR), may result in the inhibition of tumor cell proliferation.",PubMed:29661145,,5190,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5190,,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C70674,NCT: https://clinicaltrials.gov/ct2/show/NCT00516685,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
175,VO:0007087,Tergenpumatucel-L Vaccine,,lung cancer vacine,VO:0005486,,,,Clinical trial,,,,therapeutic vaccine function,lung cancer,Homo sapiens,,,"An allogeneic lung cancer vaccine with potential immunostimulating and antineoplastic activities. Derived from allogeneic lung tumor cells, tergenpumatucel-L is engineered to express the murine alpha-1,3-galactosyltransferase (GalT), an enzyme humans lack. GalT catalyzes the expression of foreign alpha-1,3-galactosyl (alpha-gal) carbohydrate epitopes in glycoproteins and in glycolipids on the cell membranes of the allogeneic lung tumor cells present in the vaccine, essentially producing a 'xenograft'. The hyperacute rejection involves pre-existing human anti-alpha-gal antibodies that bind the foreign alpha-gal epitopes expressed by the vaccine tumor cell xenograft, resulting in complement-mediated cytotoxicity (CMC) and antibody-dependent cell-mediated cytotoxicity (ADCC) towards endogenous lung tumor cells with unmodified carbohydrate epitopes.",PubMed:28238782,,5527,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5527,,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C66985,NCT: https://clinicaltrials.gov/ct2/show/NCT02460367,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
176,VO:0007088,Viagenpumatucel-L Vaccine,,lung cancer vacine,VO:0005486,,Gene name: HSP90B1,7184,Clinical trial,recombinant vector vaccine role,,,therapeutic vaccine function,lung cancer,Homo sapiens,,,"A proprietary, allogeneic tumor cell vaccine expressing a recombinant secretory form of the heat shock protein gp96 fusion (gp96-Ig) with potential antineoplastic activity. Upon administration of viagenpumatucel-L, the irradiated live tumor cells continuously secrete gp96-Ig along with its chaperoned tumor associated antigens (TAAs) into the blood stream, thereby activating antigen presenting cells, natural killer cells and priming potent cytotoxic T lymphocytes (CTLs) to respond against TAAs on the endogenous tumor cells. Furthermore, this vaccine may induce long-lived memory T cells that could fight recurring cancer cells. gp96-Ig is constructed by replacing the KDEL retention sequence of gp96, normally an endoplasmatic reticulum-resident chaperone peptide, with the Fc portion of mouse and human IgG1.",PubMed:27364122,,5513,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5513,,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C61073,NCT: https://clinicaltrials.gov/ct2/show/NCT02439450,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
177,VO:0007089,Oncovax-ID/IL-2 Vaccine,,lymphoma vaccine,VO:0005427,,Gene name: IL12,107653060,Clinical trial,subunit vaccine role,,,therapeutic vaccine function,lymphoma,Homo sapiens|Mus musculus,,,A cancer vaccine consisting of a mixture of a murine lymphoma-derived idiotype and interleukin-2 (IL-2) encapsulated in dimyristoylphosphatidylcholine liposomes. The use of a liposomal carrier confers immunogenicity to the naturally non-immunogenic idiotype.,,,5541,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5541,https://github.com/vaccineontology/VO/issues/74,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C2783,,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
178,VO:0007090,Survivin Antigen Vaccine DPX-Survivac,,lymphoma vaccine,VO:0005427,,Gene name: Survivin,373110,Clinical trial,peptide vaccine role,,peptide vaccine role,therapeutic vaccine function,lymphoma,Homo sapiens|Mus musculus,,,"A lipid depot-based therapeutic cancer vaccine composed of survivin epitopes, a universal T Helper peptide and a polynucleotide adjuvant encapsulated in liposomes and then formulated in the hydrophobic carrier Montanide ISA51 VG, with potential immunopotentiating and antineoplastic activities. Upon injection of the maveropepimut-S, a depot is created at the injection site from which the antigens and adjuvant are released. This vaccine may elicit a long lasting cellular response against survivin-expressing cancers, resulting in a decrease in tumor cell proliferation and an induction of tumor cell death. Survivin, a member of the inhibitor of apoptosis (IAP) family expressed during embryonic development, is upregulated in a variety of human cancers while absent in most normal adult cells; its expression in tumors is associated with a more aggressive phenotype, decreased survival, and increased resistance to chemotherapy.",PubMed:26405584,,5371,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5371,https://github.com/vaccineontology/VO/issues/364,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C97951,NCT: https://clinicaltrials.gov/ct2/show/NCT02323230,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
179,VO:0007091,Unconjugated Lymphoma Ig Id Vaccine,,lymphoma vaccine,VO:0005427,,,,Clinical trial,peptide vaccine role,,peptide vaccine role,therapeutic vaccine function,lymphoma,Homo sapiens,,,"A vaccine consisting of lymphoma-specific immunoglobulin that is not conjugated to a carrier molecule. Vaccination with unconjugated lymphoma Ig Id may stimulate the host immune system to mount a cytotoxic T lymphocyte (CTL) response against lymphoma cells, resulting in decreased tumor growth.‚Äö√†√∂‚àö¬ß",PubMed:18715553,,5046,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5046,,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C2821,,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
180,VO:0007092,NA-17/MAGE-3.A2/NY-ESO-1 Peptide Vaccine,,melanoma vaccine,VO:0000422,,Gene name: MAGEA3|Gene name: CTAG1B,4102|1485,Clinical trial,subunit vaccine role,,,therapeutic vaccine function,melanoma,Homo sapiens|Mus musculus,,,"A peptide cancer vaccine consisting of peptides derived from the melanoma antigen NA-17, the human leukocyte antigen HLA-A2-restricted human melanoma antigen 3 (MAGE-3.A2) and the cancer-testis antigen (NY-ESO-1), with potential immunostimulating and antineoplastic activities. Upon administration, the NA-17/MAGE-3.A2/NY-ESO-1 peptide vaccine may stimulate the immune system to mount a cytotoxic T-cell (CTL) response against tumor cells expressing NA-17, MAGE-3.A2 and NY-ESO-1, resulting in tumor cell lysis. The tumor-associated antigens (TAAs) NA-17, MAGE-3.A2 and NY-ESO-1 are overexpressed in a variety of cancer cell types.",PubMed:25941588,,5305,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5305,https://github.com/vaccineontology/VO/issues/48,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C96042,NCT: https://clinicaltrials.gov/ct2/show/NCT01308294,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
181,VO:0007093,NA17.A2 peptide vaccine,,melanoma vaccine,VO:0000422,,Gene name: IL12|Gene name: MAGEA3|Gene name: MLANA|Gene name: PMEL,107653060|4102|2315|6490,Clinical trial,peptide vaccine role,,peptide vaccine role,therapeutic vaccine function,melanoma,Homo sapiens|Mus musculus,,,"A peptide cancer vaccine comprised of human leukocyte antigen HLA-A2-restricted peptide derived from a metastatic melanoma cell line of patient NA17, with potential immunomodulating and antineoplastic activity. NA17. A2 peptide vaccine may stimulate a cytotoxic T lymphocyte (CTL) response against tumors that express this antigen, which may result in a reduction in tumor size. This NA17 specific antigen, encoded by an intron sequence of N-acetylglucosaminyltransferase V (GnT-V) gene, is expressed in about 50% of melanomas.",PubMed:16133111,,5323,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5323,https://github.com/vaccineontology/VO/issues/49,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C2680,NCT: https://clinicaltrials.gov/ct2/show/NCT01307618,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
182,VO:0007094,NY-ESO-1(157-165) Peptide-pulsed Autologous Dendritic Cell Vaccine,,melanoma vaccine,VO:0000422,,Gene name: MAGEA3|Gene name: MLANA|Gene name: PMEL|Gene name: CTAG1B|Gene name: TYR,4102|2315|6490|1485|7299,Clinical trial,subunit vaccine role,,,therapeutic vaccine function,melanoma,Homo sapiens|Mus musculus,,,"A cell-based cancer vaccine composed of autologous dendritic cells (DCs) pulsed with a peptide derived from the tumor associated antigen human cancer-testis antigen NY-ESO-1 (NY-ESO-1(157-165)), with potential immunostimulatory and antineoplastic activities. Upon administration, the NY-ESO-1(157-165) peptide-pulsed autologous dendritic cell vaccine may stimulate the immune system to mount both an anti-tumoral cytotoxic T-lymphocyte (CTL) and an antibody-mediated immune response against NY-ESO-1-expressing tumor cells, which may result in tumor cell lysis. NY-ESO-1 is expressed both in normal testes and on the surfaces of various tumor cells, and plays a key role in tumor cell proliferation and survival.",PubMed:16311731,,5100,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5100,,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C114380,NCT: https://clinicaltrials.gov/ct2/show/NCT00313508,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
183,VO:0007095,NY-ESO-1/MART-1 Peptide-pulsed Dendritic Cell Vaccine,,melanoma vaccine,VO:0000422,,Gene name: CTAG1B|Gene name: MLANA,1485|2315,Clinical trial,recombinant vector vaccine role,,,therapeutic vaccine function,melanoma,Homo sapiens,,,"A cell-based cancer vaccine composed of dendritic cells (DC) pulsed with peptides derived from the tumor-associated antigens human cancer/testis antigen NY-ESO-1 and melanoma antigen recognized by T-cells (MART-1/Melan-A), with potential immunostimulatory and antineoplastic activities. Upon administration, the NY-ESO-1/MART-1 peptide-pulsed DC vaccine may stimulate the immune system to mount an anti-tumor cytotoxic T-lymphocyte (CTL) response against NY-ESO-1/MART-1-expressing tumor cells, which may result in tumor cell lysis. NY-ESO-1 is expressed both in normal testes and on the surfaces of various tumor cells. MART-1 is expressed by melanoma cells.",PubMed:16311731,,5366,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5366,,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C120129,NCT: https://clinicaltrials.gov/ct2/show/NCT00798629,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
184,VO:0007096,PEP-3-KLH Conjugate Vaccine,,melanoma vaccine,VO:0000422,,Gene name: EGFR,1956,Clinical trial,,,,therapeutic vaccine function,melanoma,Homo sapiens|Mus musculus,,,"A cancer vaccine consisting of PEP-3, a synthetic peptide encompassing a tumor-specific mutated segment of the epidermal growth factor receptor type vIII (EGFRvIII), conjugated to the naturally-occurring immunoadjuvant keyhole limpet hemocyanin (KLH) with potential immunostimulating and antineoplastic activities. Upon administration, PEP-3-KLH conjugate vaccine may induce a cytotoxic immune response against tumor cells that overexpress EGFRvIII; this antitumoral immune response may involve antibody-dependent cellular cytotoxicity (ADCC).",PubMed:14519652,,5480,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5480,https://github.com/vaccineontology/VO/issues/117,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C74070,NCT: https://clinicaltrials.gov/ct2/show/NCT00626015,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
185,VO:0007097,Plasmacytoid Dendritic Cell Vaccine,,melanoma vaccine,VO:0000422,,Gene name: IL13RA2|Gene name: CLEC4C|Gene name: NRP1|Gene name: TLR9|Gene name: TLR7,3598|170482|8829|54106|51284,Clinical trial,recombinant vector vaccine role,,,therapeutic vaccine function,melanoma,Homo sapiens|Mus musculus,,,"A whole cell vaccine derived from a distinct subset of dendritic cells (DCs) with a plasma cell-like morphology that exhibits immunomodulating activity. Plasmacytoid dendritic cells (pDCs) express a characteristic set of surface markers, such as CD123 (interleukin-3 receptor alpha chain), BDCA-2 (blood dendritic cell antigen 2; CD303) and BDCA-4 (CD304), as well as intracellular toll-like receptors 7 and 9. Upon stimulation, the activated pDCs produce substantial amounts of interferon (IFN) alpha, and to a lesser degree IFN-beta, as well as other cytokines and chemokines, such as tumor necrosis factor alpha and interleukins 1, 6 and 8. In addition, these pDCs, directly or indirectly stimulate T-cells, B-cells and natural killer cells. This may potentially lead to increased immunity against tumor cells.",PubMed:30049538,,5006,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5006,https://github.com/vaccineontology/VO/issues/121,NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C103192,NCT: https://clinicaltrials.gov/ct2/show/NCT01690377,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
186,VO:0007098,prime/boost DC-TRP-2 melanoma vaccine,,melanoma vaccine,VO:0000422,,,,Research,,,,therapeutic vaccine function,melanoma,Homo sapiens|Mus musculus,,intramuscular route,"rime/boost vaccination proved to be of no advantage or even detrimental in therapeutic settings in B16F1 and transgenic adenocarcinoma of the mouse prostate (TRAMP) models, respectively",PubMed:23539449,,4074,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=4074,https://github.com/vaccineontology/VO/issues/140,,,Virginia He|Jimmy Guo|Jie Zheng|Oliver He,,,,
