ID,LABEL,InSubset,Parent,has part,has role,in taxon,definition,definition source,term editor,alternative label,seeAlso,editor note,comment,comment
VO:0010990,C4424,protein,Escherichia coli protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 284; NCBI Gene GI: 1038067; NCBI Protein GI: 26250246; NCBI Protein Accession: NP_756286; NCBITaxon: 199310,,Active immunization of BALB/c mice with C4424 antigen in Freund's adjuvant protects mice from lethal challenge with ExPEC strain S26 [PubMed: 17145948].,
VO:0010991,C3389,protein,Escherichia coli protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 285; NCBI Gene GI: 1039252; NCBI Protein GI: 26249224; NCBI Protein Accession: NP_755264; NCBITaxon: 199310,,Active immunization of BALB/c mice with recombinant E. coli protein C3389 antigen in Freund's adjuvant protects mice from lethal challenge with ExPEC strain S26 [PubMed: 17145948].,
VO:0010992,Spa32,protein,Shigella protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 288; NCBI Gene GI: 876502; NCBI Protein GI: 13449098; NCBI Protein Accession: NP_085314; NCBITaxon: 424718,,"S. flexneri M90T is a colonisation-defective mutant with a transposon in fnr, which encodes a regulator of anaerobic metabolism. To establish whether FNR-mediated repression of spa32 and spa33 contributes to increased Shigella entry into cells in an anaerobic cabinet, recombinant M90T strains were constructed which contain spa32 and spa33 under the control of either their native promoters (M90Tp32/33) or promoters with disrupted FNR boxes (M90Tp#32/#33).The presence in M90T of spa32 and spa33 alleles that are not repressed by FNR led to IpaB secretion during anaerobic growth, and loss of the increased entry of Shigella into cells in an anaerobic cabinet [PubMed: 20436458].",
VO:0010993,ECSE_P3-0034,protein,Escherichia coli protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 289; NCBI Gene GI: 7003192; NCBI Protein GI: 209921909; NCBI Protein Accession: YP_002295988; NCBITaxon: 409438,,Oral immunization of FaeG-expressing L. lactis exhibits a protective response against ETEC infection in mice [PubMed: 19277476].,
VO:0010994,IpaB,protein,Shigella protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 307; NCBI Protein GI: 22036246; NCBITaxon: 42897,,"The invasiveness and virulence of Shigella spp. are largely due to the expression of plasmid-encoded virulence factors, among which are the invasion plasmid antigens (IpaB, IpaC, and IpaD). Recent observations have indicated that the Ipa proteins (IpaB, IpaC, and possibly IpaD) form a multiprotein complex capable of inducing the phagocytic event which internalizes the bacterium.  Researchers isolated a complex of invasins and LPS from water-extractable antigens of virulent shigellae.  Western blot analysis of the complex indicates that all of the major virulence antigens of Shigella, including IpaB, IpaC, and IpaD, and LPS are components of this macromolecular complex.  Guinea pigs (keratoconjunctivitis model) or mice (lethal lung model) immunized intranasally with purivied invasin complex (invaplex) on days 0, 14, and 28 and challenged 3 weeks later with virulent shigellae were protected from disease (P<0.01 for both animal models) [PubMed: 11083774].",
VO:0010995,IpaC,protein,Shigella protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 308; NCBI Protein GI: 47056; NCBITaxon: 42897,,"The invasiveness and virulence of Shigella spp. are largely due to the expression of plasmid-encoded virulence factors, among which are the invasion plasmid antigens (IpaB, IpaC, and IpaD). Recent observations have indicated that the Ipa proteins (IpaB, IpaC, and possibly IpaD) form a multiprotein complex capable of inducing the phagocytic event which internalizes the bacterium.  Researchers isolated a complex of invasins and LPS from water-extractable antigens of virulent shigellae.  Western blot analysis of the complex indicates that all of the major virulence antigens of Shigella, including IpaB, IpaC, and IpaD, and LPS are components of this macromolecular complex.  Guinea pigs (keratoconjunctivitis model) or mice (lethal lung model) immunized intranasally with purivied invasin complex (invaplex) on days 0, 14, and 28 and challenged 3 weeks later with virulent shigellae were protected from disease (P<0.01 for both animal models) [PubMed: 11083774].",
VO:0010996,IpaD,protein,Shigella protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 309; NCBI Protein GI: 22036352; NCBITaxon: 42897,,"The invasiveness and virulence of Shigella spp. are largely due to the expression of plasmid-encoded virulence factors, among which are the invasion plasmid antigens (IpaB, IpaC, and IpaD). Recent observations have indicated that the Ipa proteins (IpaB, IpaC, and possibly IpaD) form a multiprotein complex capable of inducing the phagocytic event which internalizes the bacterium.  Researchers isolated a complex of invasins and LPS from water-extractable antigens of virulent shigellae.  Western blot analysis of the complex indicates that all of the major virulence antigens of Shigella, including IpaB, IpaC, and IpaD, and LPS are components of this macromolecular complex.  Guinea pigs (keratoconjunctivitis model) or mice (lethal lung model) immunized intranasally with purivied invasin complex (invaplex) on days 0, 14, and 28 and challenged 3 weeks later with virulent shigellae were protected from disease (P<0.01 for both animal models) [PubMed: 11083774].",
VO:0010997,IroN from Salmonella spp.,protein,Salmonella spp. protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 318; NCBI Protein GI: 259475459; NCBITaxon: 90371,,"Thirty-day-old chickens were immunized intramuscularly with purified IroN from Salmonella Typhimurium mixed with Freund's incomplete adjuvant; the chickens were then challenged intravenously with Salmonella Enteritidis. The mortality rate of immunized chickens was 10%. On the other hand, that of control chickens was 80% [PubMed: 20095157].",
VO:0010998,GroEL from Salmonella spp.,protein,Salmonella spp. protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 320; NCBI Gene GI: 1068458; NCBI Protein GI: 29144631; NCBI Protein Accession: NP_807973; NCBITaxon: 209261,,"Researchers evaluated the immunogenicity and protective efficacy of GroEL of Salmonella enterica serovar Typhi against lethal infection by S. typhi Ty2 in mice with or without adjuvants.  Immunization of mice with GroEL-alone, GroEL + alum, and GroEL + CFA provided 70, 50 and 80% protection, respectively, against lethal challenge by S. typhi in mice.  The present study shows that GroEL forms an ideal candidate molecule to develop a recombinant protein based vaccine against human typhoid [PubMed: 19851830].",
VO:0010999,SopB,protein,Salmonella spp. protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 321; NCBI Protein GI: 54036439; NCBITaxon: 90371,,The entire SopB and SifB genes were cloned into DNA vaccine vectors and were administered along with live attenuated Salmonella.  It was found that SopB vaccination reduced the bacterial burden of organs by about 5-fold on day 4 and day 8 after challenge with virulent Salmonella and proved to be a more efficient vaccination strategy than live attenuated bacteria alone [PubMed: 19428891].,
VO:0011000,SAG1 from Toxoplasma gondii,protein,Toxoplasma gondii protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 326; NCBI Gene GI: 7900172; NCBI Protein GI: 237839159; NCBI Protein Accession: XP_002368877; NCBITaxon: 508771,,"Oral immunization of mice with ZJ111/pcDNA3-SAG1 elicited specific humoral responses and stimulated proliferation of splenocytes (P<0.05). Mice immunized with ZJ111/pcDNA3-SAG1 displayed significant protection against an intraperitoneally challenge with 500 tachyzoite forms of T. gondii RH strain. Vaccination at 10(7) and 10(8)CFU per mice provided a 20% and 10% survival rate comparing 100% mortality of the non-immunized mice, exhibiting longer living time and better survival rate [PubMed: 18590785].",
VO:0011001,YscF from Y. pestis KIM 10,protein,Yersinia pestis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 338; NCBI Gene GI: 1149286; NCBI Protein GI: 31795470; NCBI Protein Accession: NP_857922; NCBITaxon: 187410,,Modified YscF antigens were able to partially protect immunized mice at various levels against lethal challenge with Y. pestis KIM 1001 strain [PubMed: 18291562].,
VO:0011002,YopD from Y. pestis KIM 10,protein,Yersinia pestis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 339; NCBI Gene GI: 1149313; NCBI Protein GI: 31795494; NCBI Protein Accession: NP_857949; NCBITaxon: 187410,,Modified yopD antigens were able to partially protect immunized mice at various levels against lethal challenge with Y. pestis KIM 1001 strain [PubMed: 18291562].,
VO:0011003,YopO,protein,Yersinia pestis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 340; NCBI Gene GI: 5798322; NCBI Protein GI: 162417777; NCBI Protein Accession: YP_001604502; NCBITaxon: 349746,,Modified yopO antigens were able to partially protect immunized mice at various levels against lethal challenge with Y. pestis KIM 1001 strain [PubMed: 18291562].,
VO:0011004,YPMT1.84 (F1 capsule antigen),protein,Yersinia pestis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 341; NCBI Gene GI: 1172839; NCBI Protein GI: 16082876; NCBI Protein Accession: NP_395430; NCBITaxon: 214092,,"Intranasal immunization with flagellin and the F1 antigen was protective against intranasal challenge with virulent Y. pestis CO92, with 93 to 100% survival of immunized mice. Lastly, vaccination of cynomolgus monkeys with flagellin and a fusion of the F1 and V antigens of Y. pestis induced a robust antigen-specific IgG antibody response [PubMed: 16428759].",
VO:0011005,YapF,protein,Yersinia pestis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 342; NCBI Gene GI: 1173449; NCBI Protein GI: 218927800; NCBI Protein Accession: YP_002345675; NCBITaxon: 214092,,"Using a mouse model, YPO0606 (yapF) partially protected mice from infection with Y. pestis at a high challenge dosage (200x LD(50)) [PubMed: 19651863].",
VO:0011006,Irp7,protein,Yersinia pestis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 343; NCBI Gene GI: 1174753; NCBI Protein GI: 218929030; NCBI Protein Accession: YP_002346905; NCBITaxon: 214092,,"Using a mouse plague model, YPO1914 (irp7) may provide partial protection against challenge with a low dose (20 times the 50% lethal dose [20x LD(50)]) of Y. pestis [PubMed: 19651863].",
VO:0011007,YPO0612,protein,Yersinia pestis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 344; NCBI Gene GI: 1173455; NCBI Protein GI: 218927806; NCBI Protein Accession: YP_002345681; NCBITaxon: 214092,,"Using a mouse plague model, YPO0612 may provide partial protection against challenge with a low dose (20 times the 50% lethal dose [20x LD(50)]) of Y. pestis [PubMed: 19651863].",
VO:0011008,HtpG,protein,Yersinia pestis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 345; NCBI Gene GI: 1175934; NCBI Protein GI: 218930152; NCBI Protein Accession: YP_002348027; NCBITaxon: 214092,,"Using a mouse plague model, YPO3119 (htpG) may provide partial protection against challenge with a low dose (20 times the 50% lethal dose [20x LD(50)]) of Y. pestis [PubMed: 19651863].",
VO:0011009,YdeN,protein,Yersinia pestis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 346; NCBI Gene GI: 1175868; NCBI Protein GI: 218930092; NCBI Protein Accession: YP_002347967; NCBITaxon: 214092,,"Using a mouse plague model, YPO3047 (ydeN) may provide partial protection against challenge with a low dose (20 times the 50% lethal dose [20x LD(50)]) of Y. pestis [PubMed: 19651863].",
VO:0011010,LolA,protein,Yersinia pestis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 347; NCBI Gene GI: 1174218; NCBI Protein GI: 218928525; NCBI Protein Accession: YP_002346400; NCBITaxon: 214092,,"Using a mouse plague model, YPO1377 (lolA) may provide partial protection against challenge with a low dose (20 times the 50% lethal dose [20x LD(50)]) of Y. pestis [PubMed: 19651863].",
VO:0011011,YerA,protein,Yersinia pestis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 348; NCBI Gene GI: 1172650; NCBI Protein GI: 16082696; NCBI Protein Accession: NP_395142; NCBITaxon: 214092,,"Using a mouse plague model, YPCD1.05c (yerA) may provide partial protection against challenge with a low dose (20 times the 50% lethal dose [20x LD(50)]) of Y. pestis [PubMed: 19651863].",
VO:0011012,YPO0420,protein,Yersinia pestis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 349; NCBI Gene GI: 1173265; NCBI Protein GI: 218927621; NCBI Protein Accession: YP_002345496; NCBITaxon: 214092,,"Using a mouse plague model, YPO0420 may provide partial protection against challenge with a low dose (20 times the 50% lethal dose [20x LD(50)]) of Y. pestis [PubMed: 19651863].",
VO:0011013,HpmB,protein,Yersinia pestis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 350; NCBI Gene GI: 1176539; NCBI Protein GI: 218930726; NCBI Protein Accession: YP_002348601; NCBITaxon: 214092,,"Using a mouse plague model, YPO3720 (hpmB) may provide partial protection against challenge with a low dose (20 times the 50% lethal dose [20x LD(50)]) of Y. pestis [PubMed: 19651863].",
VO:0011014,Psn,protein,Yersinia pestis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 351; NCBI Gene GI: 1147351; NCBI Protein GI: 22126288; NCBI Protein Accession: NP_669711; NCBITaxon: 187410,,"Study tested the efficacy of 2 proteins, Psn and a portion of LcrV in protecting mice against virulent Yersinia pestis challenge.  Results show that the truncated LcrV protein delivered by RASV is sufficient to afford a full protective immune response in a mouse model of bubonic plague and the Psn protein afforded partial protection in a non-optimized system [PubMed: 17966435].",
VO:0011015,YopH from Y. pestis CO92,protein,Yersinia pestis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 352; NCBI Gene GI: 1172712; NCBI Protein GI: 16082755; NCBI Protein Accession: NP_395201; NCBITaxon: 214092,,Study evaluated the humoral immune response of mice that survived lethal Y. pestis aerosol challenge after antibiotic treatment.  Results indicated that one of the predominant antibody response of mice surviving pneumonic plague after treatment with antibiotics was to yopH [PubMed: 10085037].,
VO:0011016,pYV0055,protein,Yersinia pseudotuberculosis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 354; NCBI Gene GI: 2952948; NCBI Protein GI: 51593897; NCBI Protein Accession: YP_068464; NCBITaxon: 273123,,"Complexes of YopB (pYV0055), YopD, and YopE (BDE) secreted by Yersinia pseudotuberculosis were purified by affinity chromatography and used as immunogens to determine if antibodies to the translocon could provide protection against Y. pestis in mice. The YopB protein or a complex of YopB and YopD (BD) was purified and determined by vaccination to be immunogenic in mice. Mice actively vaccinated with BD or passively vaccinated with anti-BD serum were protected against lethal challenge with F1(-) Y. pestis [PubMed: 18765742].",
VO:0011017,Caf1 from Y. pestis,protein,Yersinia pestis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 355; NCBI Protein GI: 48621; NCBITaxon: 632,,"Vaccination of mice with deF1 DNA conferred protection against subcutaneous infection with the virulent Y. pestis Kimberley53 strain, even at challenge amounts as high as 4,000 50% lethal doses [PubMed: 12496187 ].",
VO:0011018,P145,protein,Haemophilus influenzae protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 356,,"Following passive immunization, antisera partially protected infant rats from bacteremia resulting from intraperitoneal challenge with bacteria. As assessed by immunoblotting, pooled adult human sera contained antibodies reactive with P145. Following passive immunization, these antisera partially protected infant rats from bacteremia resulting from intraperitoneal challenge with bacteria.  Antibody to P145 may contribute to protection against Brazilian purpuric fever [PubMed: 1937817].",
VO:0011019,ApxIA,protein,Actinobacillus pleuropneumoniae protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 358; NCBI Protein GI: 312899; NCBITaxon: 715,,"The ApxI antigen is an important factor in the protection against Actinobacillus pleuropneumoniae serotype 5 infection; therefore, the protective immunity in mice following oral immunization with Saccharomyces cerevisiae expressing either ApxIA (group C) or ApxIIA (group D) alone or both (group E) was compared with that in two control groups (group A and B). The immunogenicity of the rApxIA antigen derived from the yeast was confirmed by a high survival rate and an ApxIA-specific IgG antibody response (p < 0.01) [PubMed: 17993753].",
VO:0011020,ApxIIA,protein,Actinobacillus pleuropneumoniae protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 360; NCBI Protein GI: 52630374; NCBITaxon: 715,,"The levels of local and systemic antibodies specific to the Apx antigens were investigated in mice orally immunized with Apx antigen-expressing yeast.  Specific IgA responses to ApxIA or ApxIIA in the intestines and lungs from mice immunized with yeast expressing Apx antigens were significantly higher than those in the control groups after the second and third immunizations, respectively (p < 0.05).  All mice were monitored for up to 72 h after challenge with the MLD of an A. pleuropneumoniae field isolate. Overall, the final survival rates of the vaccinated groups were higher than those of the control groups at each time point [PubMed: 17993753].",
VO:0011021,CP,protein,Actinobacillus pleuropneumoniae protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 361,,"Following a booster vaccination, a significant (P < 0.05) IgG antibody response to the CP (cps5C), LPS, and HP was detected in the vaccinated pigs. The pigs vaccinated with the CP-HP and LPS-HP conjugates exhibited significantly less mortality (P < 0.05) and significantly greater weight gain (P < 0.001) than unvaccinated pigs. Vaccinated pigs exhibited significantly fewer and less extensive gross pulmonary lesions (P < 0.001) when compared with unvaccinated pigs [PubMed: 1455686].",
VO:0011022,APP7_1016,protein,Actinobacillus pleuropneumoniae protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 362; NCBI Gene GI: 6398034; NCBI Protein GI: 190150285; NCBI Protein Accession: YP_001968810; NCBITaxon: 537457,,"Following a booster vaccination, a significant (P < 0.05) IgG antibody response to the CP, LPS, and HP (APP7_1016) was detected in the vaccinated pigs. The pigs vaccinated with the CP-HP and LPS-HP conjugates exhibited significantly less mortality (P < 0.05) and significantly greater weight gain (P < 0.001) than unvaccinated pigs. Vaccinated pigs exhibited significantly fewer and less extensive gross pulmonary lesions (P < 0.001) when compared with unvaccinated pigs [PubMed: 1455686].",
VO:0011024,AroA,protein,Aeromonas salmonicida protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 366; NCBI Protein GI: 512545; NCBITaxon: 645,,"The aroA gene of A. salmonicida was cloned in Escherichia coli, and the nucleotide sequence was determined.  Vaccination of brown trout with 10(7) CFU of A. salmonicida 644Rb aroA by intraperitoneal injection resulted in a 253-fold increase in the 50% lethal dose (LD50) compared with unvaccinated controls challenged with a virulent clinical isolate 9 weeks later [PubMed: 8478107].",
VO:0011025,AsaP1,protein,Aeromonas salmonicida protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 367; NCBI Gene GI: 4998702; NCBITaxon: 382245,,"Passive immunisation of Atlantic salmon with rainbow trout or rabbit anti-AsaP1 antisera conferred significant protection against challenge with a virulent A. salmonicida [Ref1011:Gudmundsdottir et al., 1997]",
VO:0011026,RAP-1,protein,Babesia bovis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 368; NCBI Gene GI: 5479143; NCBI Protein GI: 156087004; NCBI Protein Accession: XP_001610909; NCBITaxon: 484906,,"RAP-1 (21B4) is a candidate for inclusion in a B. bovis vaccine based on its ability to induce partial protection in vaccinates, defined as a significant reduction in parasitemia upon challenge [PubMed: 1441189].",
VO:0011027,12D3,protein,Babesia bovis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 371; NCBI Gene GI: 5478971; NCBI Protein GI: 156086656; NCBI Protein Accession: XP_001610737; NCBITaxon: 484906,,"Crude extracts of Babesia bovis parasites were systematically fractionated and tested in numerous sequential vaccination/challenge experiments in adult cattle.  Two of these, GST-12D3 and GST-11C5, when used in combination were almost as protective as has been previously shown for the commercially available live attenuated vaccine [PubMed: 1441189].",
VO:0011028,21B4,protein,Babesia bovis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 373; NCBI Protein GI: 1246924; NCBITaxon: 5865,,Crude extracts of Babesia bovis parasites were systematically fractionated and tested in numerous sequential vaccination/challenge experiments in adult cattle. A short fragment of the third antigen (21B4) has been shown to be protective [PubMed: 1441189].,
VO:0011029,PagA from B. anthracis,protein,Bacillus anthracis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 374; NCBI Protein GI: 9280533; NCBITaxon: 1392,,"Study described the construction and evaluation of an adenovirus vaccine expressing domain 4 of Bacillus anthracis protective antigen, Ad.D4. Ad.D4 elicited antibodies to protective antigen 14 days after a single intramuscular injection, which were further increased upon boosting. Furthermore, two doses of Ad.D4 4 weeks apart were sufficient to protect 67% of mice from toxin challenge [PubMed: 16428747].",
VO:0011030,FhaB,protein,Bordetella pertussis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 375; NCBI Protein GI: 3980256; NCBITaxon: 520,,"A combination of the 69-kDa outer membrane protein and filamentous hemagglutinin (fhaB), both isolated from lymphocytosis promoting factor (LPF; pertussis toxin) minus mutants of Bordetella pertussis, is protective in the mouse intracerebral challenge potency (Kendrick) test [PubMed: 2056199].",
VO:0011031,CyaA,protein,Bordetella pertussis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 376; NCBI Protein GI: 580668; NCBITaxon: 520,,A study demonstrated that passive immunization with specific anti-B. pertussis adenylate cyclase antibodies or active immunization with purified B. pertussis secreted adenylate cyclase (cyaA) protect mice against a lethal respiratory challenge with B. pertussis or B. parapertussis. Results suggest that adenylate cyclase might be the primary cytotoxin responsible for mouse pulmonary lesions during respiratory tract infection with B. pertussis or with the related species B. parapertussis and is a protective antigen of B. pertussis [PubMed: 2622329].,
VO:0011032,PtxD,protein,Bordetella pertussis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 377; NCBI Protein GI: 225311181; NCBITaxon: 520,,"BALB/c mice were immunized with PTx vaccine on day 6 of life and then challenged with B. pertussis using the aerosol challenge model.  These primed mice were significantly better protected against leukocytosis, weight loss, and proliferation of B. pertussis in the lungs following aerosol challenge than the nonprimed group. This protection correlated with levels of anti-PT antibody in serum present on the day of aerosol challenge [PubMed: 12117973].",
VO:0011033,Prn,protein,Bordetella pertussis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 378; NCBI Gene GI: 2664290; NCBI Protein GI: 33592195; NCBI Protein Accession: NP_879839; NCBITaxon: 257313,,"Researchers constructed isogenic mutants of B. pertussis Tohama expressing the alleles ptxA1 or ptxA2 and prn1 or prn2 and compared the efficacies of an acellular pertussis vaccine against the mutants in a mouse model. While the vaccine was effective against all of the B. pertussis strains regardless of the allele expression pattern, the strain expressing ptxA1 and prn2 displayed a survival advantage over the other strains [PubMed: 20357056].",
VO:0011034,PtxA,protein,Bordetella pertussis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 379; NCBI Gene GI: 2665068; NCBI Protein GI: 33594638; NCBI Protein Accession: NP_882282; NCBITaxon: 257313,,"BALB/c mice were immunized with PTx vaccine on day 6 of life and then challenged with B. pertussis using the aerosol challenge model.  These primed mice were significantly better protected against leukocytosis, weight loss, and proliferation of B. pertussis in the lungs following aerosol challenge than the nonprimed group. This protection correlated with levels of anti-PT antibody in serum present on the day of aerosol challenge [PubMed: 12117973].",
VO:0011035,Cpn60,protein,Bordetella pertussis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 382; NCBI Protein GI: 968920; NCBITaxon: 520,,"A soluble fraction obtained from Bordetella pertussis was evaluated as adjuvant for the pertussis component of the Diphtheria-Pertussis-Tetanus (DPT) vaccine. High levels of antibodies were induced, and a 78% protection rate of mice challenged with live B. pertussis was observed. Two proteins were identified as the 73 kDa N-terminal alpha-domain of BrkA autotransporter protein and the Cpn60/60 kDa chaperonin. Both stimulated antibodies against pertussis and induced a 42% protection rate against the challenge [PubMed: 17011680].",
VO:0011036,BrkA,protein,Bordetella pertussis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 383; NCBI Protein GI: 562026; NCBITaxon: 520,,"A soluble fraction obtained from Bordetella pertussis was evaluated as adjuvant for the pertussis component of the Diphtheria-Pertussis-Tetanus (DPT) vaccine. High levels of antibodies were induced, and a 78% protection rate of mice challenged with live B. pertussis was observed. Two proteins were identified as the 73 kDa N-terminal alpha-domain of BrkA autotransporter protein and the Cpn60/60 kDa chaperonin. Both stimulated antibodies against pertussis and induced a 42% protection rate against the challenge [PubMed: 17011680].",
VO:0011037,PtxB,protein,Bordetella pertussis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 384; NCBI Protein GI: 225311180; NCBITaxon: 520,,"BALB/c mice were immunized with PTx vaccine on day 6 of life and then challenged with B. pertussis using the aerosol challenge model.  These primed mice were significantly better protected against leukocytosis, weight loss, and proliferation of B. pertussis in the lungs following aerosol challenge than the nonprimed group. This protection correlated with levels of anti-PT antibody in serum present on the day of aerosol challenge [PubMed: 12117973].",
VO:0011038,PtxC,protein,Bordetella pertussis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 385; NCBI Protein GI: 225311183; NCBITaxon: 520,,"BALB/c mice were immunized with PTx vaccine on day 6 of life and then challenged with B. pertussis using the aerosol challenge model.  These primed mice were significantly better protected against leukocytosis, weight loss, and proliferation of B. pertussis in the lungs following aerosol challenge than the nonprimed group. This protection correlated with levels of anti-PT antibody in serum present on the day of aerosol challenge [PubMed: 12117973].",
VO:0011039,PtxE,protein,Bordetella pertussis protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 386; NCBI Protein GI: 225311182; NCBITaxon: 520,,"BALB/c mice were immunized with PTx vaccine on day 6 of life and then challenged with B. pertussis using the aerosol challenge model. These primed mice were significantly better protected against leukocytosis, weight loss, and proliferation of B. pertussis in the lungs following aerosol challenge than the nonprimed group. This protection correlated with levels of anti-PT antibody in serum present on the day of aerosol challenge [PubMed: 12117973].",
VO:0011040,UL49 from Bovine herpesvirus 1,protein,Bovine herpesvirus 1 protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 389; NCBI Gene GI: 1487397; NCBI Protein GI: 9629826; NCBI Protein Accession: NP_045310; NCBITaxon: 10320,,"Protection against a BHV-1 challenge was obtained in calves immunized with the plasmid encoding tgD-VP22 (UL49), as shown by significant reductions in viral excretion [PubMed: 15650221].",
VO:0011041,US6 from Bovine herpesvirus 1,protein,Bovine herpesvirus 1 protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 390; NCBI Gene GI: 1487406; NCBI Protein GI: 9629886; NCBI Protein Accession: NP_045370; NCBITaxon: 10320,,Calves were injected intranasally with either AdCMVgC or AdCMVgD (US6) or a combination of these two recombinants or a commercially available live vaccine for comparison. The highest BHV-1 neutralizing antibody titres were obtained with AdCMVgD (US6) followed by the live vaccine and to a lower extent with the combination of the two recombinants. Calves were protected against intranasal BHV-1 challenge performed 3 weeks after the second immunization [PubMed: 11818166].,
VO:0011042,US7,protein,Bovine herpesvirus 1 protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 392; NCBI Gene GI: 4783432; NCBI Protein GI: 9629887; NCBI Protein Accession: NP_045371; NCBITaxon: 10320,,"Immunization of calves with truncated gpI (US7) protein induced gpI-specific nasal IgA, IgG1, serum neutralizing antibodies and gpI-specific peripheral lymphocyte proliferation. All immunized calves were protected from clinical disease after BHV-1 challenge. Further, nine of ten immunized calves had no intranasal viral shedding [PubMed: 8147097].",
VO:0011043,UL44 from Bovine herpesvirus 1,protein,Bovine herpesvirus 1 protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 393; NCBI Gene GI: 4783424; NCBI Protein GI: 9629830; NCBI Protein Accession: NP_045314; NCBITaxon: 10320,,"A DNA vaccine expressing glycoprotein C (gC, UL44) of bovine herpesvirus-1 (BHV-1) was evaluated for inducing immunity in bovines.  Results indicate that DNA immunization with gC could induce neutralizing antibody and lymphoproliferative responses with BHV-1 responsive memory B cells in bovines. However, the immunity developed sufficient for only partial protection against BHV-1 challenge [PubMed: 11182496].",
VO:0011044,CadF,protein,Campylobacter jejuni protein,,protective antigen role,,,,Oliver He|Allen Xiang,,Protegen ID: 396; NCBI Protein GI: 4704601; NCBITaxon: 197,,"Chitosan-DNA vaccines were prepared by embedding pcDNA3.1(+)-cadF and pcDNA3.1(+)-peblA with chitosan respectively.  The mice immunized with chitosan-DNA vaccines have generated high levels of IgA and IgG from the sera and IgA from the intestinal secretions and the P/N value went up to 20.58, 30.13 and 6.87 respectively.  The chitosan-DNA vaccines induced strongest level of protection in BALB/c mice against challenge with C. jejuni HS:19 strain and the protective efficacies was 93.70 [PubMed: 18206008].",
