ID,LABEL,vaccine STN,FDA vaccine indications,vaccine package insert PDF URL
VO:0010352,MRESVIA vaccine,125796,MRESVIA is a vaccine indicated for active immunization for the prevention of lower respiratory tract disease (LRTD) caused by respiratory syncytial virus (RSV) in individuals 60 years of age and older.,https://www.fda.gov/media/179005/download?attachment
VO:0010353,MenQuadfi vaccine,125701,"MenQuadfi is a vaccine indicated for active immunization for the prevention of invasive meningococcal disease caused by Neisseria meningitidis serogroups A, C, W, and Y. MenQuadfi is approved for use in individuals 2 years of age and older.MenQuadfi does not prevent N. meningitidis serogroup B disease.",https://www.fda.gov/media/137306/download?attachment
VO:0010354,PENBRAYA vaccine,125770,"PENBRAYA is indicated for active immunization to prevent invasive disease caused by Neisseria meningitidis serogroups A, B, C, W, and Y. PENBRAYA is approved for use in individuals 10 through 25 years of age.",https://www.fda.gov/media/173223/download?attachment
VO:0010355,PREHEVBRIO vaccine,125737,For prevention of infection caused by all known subtypes of the hepatitis B virus in adults 18 years and older.,https://www.fda.gov/media/154561/download?attachment
VO:0010356,PREVNAR 20 vaccine,125731,"Active immunization for the prevention of invasive disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 8, 9V, 10A, 11A, 12F, 14, 15B, 18C, 19A, 19F, 22F, 23F, and 33F in individuals 6 weeks of age and older.
Active immunization for the prevention of otitis media caused by S. pneumoniae serotypes 4, 6B, 9V, 14, 18C, 19F, and 23F in individuals 6 weeks through 5 years of age.
Active immunization for the prevention of pneumonia caused by S. pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 8, 9V, 10A, 11A, 12F, 14, 15B, 18C, 19A, 19F, 22F, 23F, and 33F in individuals 18 years of age and older.",https://www.fda.gov/media/149987/download?attachment
VO:0010373,(Refrigerated) - ProQuad vaccine,125108,"ProQuad is a vaccine indicated for active immunization for the prevention of measles, mumps, rubella, and varicella in children 12 months through 12 years of age.",https://www.fda.gov/media/147562/download?attachment
VO:0010357,Proquad (Frozen) vaccine,125108,"ProQuad is a vaccine indicated for active immunization for the prevention of measles, mumps, rubella, and varicella in children 12 months through 12 years of age.",https://www.fda.gov/media/147563/download?attachment
VO:0010374,Frozen Formulation - Recombinant Human Albumin (RHA) - ProQuad vaccine,125108,"ProQuad is a vaccine indicated for active immunization for the prevention of measles, mumps, rubella, and varicella in children 12 months through 12 years of age.",https://www.fda.gov/media/119880/download?attachment
VO:0010358,Refrigerator-Stable Formulation - ProQuad vaccine,125108,"ProQuad is a vaccine indicated for active immunization for the prevention of measles, mumps, rubella, and varicella in children 12 months through 12 years of age.",https://www.fda.gov/media/75195/download?attachment
VO:0010359,SPIKEVAX vaccine,125752,Active immunization to prevent coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in individuals 12 years of age and older.,https://www.fda.gov/media/155675/download?attachment
VO:0010360,TDVAX (NDC 14362-0111) vaccine,101322,For active immunization for the prevention of tetanus and diptheria for use in persons 7 years of age or older.,https://www.fda.gov/media/76430/download?attachment
VO:0010361,TICOVAC vaccine,125740,For active immunization to prevent tick-borne encephalitis (TBE) in individuals 1 year of age and older.,https://www.fda.gov/media/151502/download?attachment
VO:0010362,VAXELIS vaccine,125563,"Active immunization against diphtheria, tetanus, pertussis, poliomyelitis, hepatitis B, and invasive disease due to Haemophilus influenzae type b (Hib) in children 6 weeks through 4 years of age (prior to fifth birthday).",https://www.fda.gov/media/119465/download?attachment
VO:0010363,Varivax (Frozen) vaccine,BL 103552,VARIVAX is a vaccine indicated for active immunization for the prevention of varicella in individuals 12 months of age and older.,https://www.fda.gov/media/76008/download?attachment
VO:0010364,Varivax (Refrigerator) vaccine,BL 103552,VARIVAX is a vaccine indicated for active immunization for the prevention of varicella in individuals 12 months of age and older.,https://www.fda.gov/media/76000/download?attachment
VO:0010365,Zostavax (Frozen) vaccine,125123,For prevention of herpes zoster (shingles) in individuals 50 years of age and older.,https://www.fda.gov/media/119879/download?attachment
VO:0010366,Zostavax (Refrigerator Stable) vaccine,125123,For prevention of herpes zoster (shingles) in individuals 50 years of age and older.,https://www.fda.gov/media/82524/download?attachment
VO:0010367,(Squeezable Tube Presentation) - ROTARIX vaccine,BL 125265,"For the prevention of rotavirus gastroenteritis caused by G1 and non-G1 types (G3, G4, and G9), for use in infants 6 weeks to 24 weeks of age.",https://www.fda.gov/media/163010/download?attachment
VO:0010368,Fluzone High-Dose Quadrivalent Southern Hemisphere vaccine,103914,Fluzone High-Dose Quadrivalent Southern Hemisphere is a vaccine indicated for active immunization for the prevention of influenza disease caused by influenza A subtype viruses and type B viruses contained in the vaccine.,https://www.fda.gov/media/165357/download?attachment
VO:0010369,Fluzone Quadrivalent 2022-2023 formula vaccine,103914,Fluzone Quadrivalent : For active immunization for the prevention of influenza disease caused by influenza A subtype viruses and type B viruses contained in the vaccine. It is approved for use in persons 6 months of age and older.,https://www.fda.gov/media/119856/download?attachment
VO:0010370,TDVAX (NDC 13533) vaccine,101322,For active immunization for the prevention of tetanus and diptheria for use in persons 7 years of age or older.,https://www.fda.gov/media/117947/download?attachment
VO:0010371,Pentacel MRC-5 vaccine,125145,"For active immunization against diphtheria, tetanus, pertussis, poliomyelitis and invasive disease due to Haemophilus influenzae type b. Pentacel is approved for use as a four dose series in children 6 weeks through 4 years of age (prior to 5thbirthday).",https://www.fda.gov/media/74385/download?attachment
VO:0010375,M-M-R II vaccine - patient,BL 101069,"M-M-R II is indicated for simultaneous vaccination against measles, mumps, and rubella in individuals 12 months of age or older.For active immunization against invasive meningococcal disease caused by Neisseria meningiditis serogroups A, C, Y, and W-135. Menomune – A/C/Y/W-135 vaccine is approved for use in persons 2 years of age and older.",https://www.fda.gov/media/87361/download?attachment
VO:0010376,SPIKEVAX vaccine - patient,125752,Active immunization to prevent coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in individuals 12 years of age and older.,https://www.fda.gov/media/155762/download?attachment
VO:0010390,Quadracel (inactivated poliovirus component grown in MRC-5 cells) vaccine,BL 125525,"Active immunization against diphtheria, tetanus, pertussis and poliomyelitis. A single dose of Quadracel is approved as a fifth dose in the diphtheria, tetanus, pertussis (DTaP) vaccination series, and as a fourth or fifth dose in the inactivated poliovirus (IPV) vaccination series in children 4 through 6 years of age whose previous DTaP vaccine doses have been with Pentacel, DAPTACEL, and/or VAXELIS.",https://www.fda.gov/media/91640/download?attachment
VO:0010391,Quadracel (inactivated poliovirus component grown in Vero cells) vaccine,BL 125525,"Active immunization against diphtheria, tetanus, pertussis and poliomyelitis. A single dose of Quadracel is approved as a fifth dose in the diphtheria, tetanus, pertussis (DTaP) vaccination series, and as a fourth or fifth dose in the inactivated poliovirus (IPV) vaccination series in children 4 through 6 years of age whose previous DTaP vaccine doses have been with Pentacel, DAPTACEL, and/or VAXELIS.",https://www.fda.gov/media/146047/download?attachment
VO:0010372,Pentacel - (inactivated poliovirus component grown in Vero cells) vaccine,125145,"For active immunization against diphtheria, tetanus, pertussis, poliomyelitis and invasive disease due to Haemophilus influenzae type b. Pentacel is approved for use as a four dose series in children 6 weeks through 4 years of age (prior to 5thbirthday).",https://www.fda.gov/media/146048/download?attachment
VO:0000052,Havrix vaccine,BL 103475,HAVRIX is indicated for active immunization against disease caused by hepatitis A virus (HAV). HAVRIX is approved for use in persons 12 months of age and older. Primary immunization should be administered at least 2 weeks prior to expected exposure to HAV.,https://www.fda.gov/media/119388/download?attachment
VO:0010745,Vaqta vaccine,BL 103606,For the prevention of disease cause by hepatitis A virus (HAV) in persons 12 months of age and older.,https://www.fda.gov/media/74519/download?attachment
VO:0000103,TICE BCG,102821,For the treatment and prophylaxis of carcinoma in situ (CIS) of the urinary bladder. For the prophylaxis of primary or recurrent state Ta and/or T1 papillary tumors following transurethral resection (TUR).,https://www.fda.gov/media/76396/download?attachment
