ID,LABEL,InSubset,Parent,alternative label,definition,definition source,term editor,comment,example of usage,has part,is about
VO:0010270,challenge-killing interval datum,data item,IAO:0000109,,A measurment datum that  records the interval between the vaccine challenge and the sacrifice of the organism during a vaccine challenge.,,Anthony Huffman,,,,
VO:0010271,challenge admistration route datum,data item,IAO:0000109,,A measurment datum that records the route of a pathogen challenge occurs in.,,Anthony Huffman,,,,
VO:0010272,sacrifice process datum,data item,IAO:0000109,,A measurment datum that records the method of sacrifice (i.e. killing). ,,Anthony Huffman,,,,
VO:0010273,host adverse event  to vaccine datum,data item,IAO:0000109,,A measurment datum that records the presence or abasence of adverse event in a host in response of some vaccine.,,Anthony Huffman,,,,
VO:0010274,assay mesurement datum,data item,IAO:0000109,,A measurment datum that records the measurement of an assay.,,Anthony Huffman,,,,
VO:0010275,assay  measurement sample  interval,data item,IAO:0000109,,A measurment datum that records the time point between the start of a first intervention in a planned process and the measurment of a sample.,,Anthony Huffman,,,,
VO:0010276,assay type datum,data item,IAO:0000109,,A measurment datum that records the type of assay used.,,Anthony Huffman,,,,
VO:0010277,assay analysis tool version datum,data item,IAO:0000109,,A measurment datum that records the version of an analysis tool (software) used for an assay.,,Anthony Huffman,,,,
VO:0010278,assay platform datum,data item,IAO:0000109,,A measurment datum that records the type of platform used for an assay.,,Anthony Huffman,,,,
VO:0010279,pathogen attenuation datum,data item,IAO:0000109,,A measurment datum that records the utilization of an attenaution process on a pathogen.,,Anthony Huffman,,,,
VO:0010280,vaccination frequency datum,data item,IAO:0000109,,A measurment datum that records the number of occurences the host was vaccinated as part of the vaccination process.,,Anthony Huffman,,,,
VO:0010281,vaccination interval datum,data item,IAO:0000109,,A measurment datum that records the interval between vaccinations of a host.,,Anthony Huffman,,,,
VO:0010282,vaccine target datum,data item,IAO:0000109,,A measurment datum that records the intended target of a vaccine.,,Anthony Huffman,,,,
VO:0010283,vaccine vector datum,data item,IAO:0000109,,A measurment datum that records the vaccine vector of a vaccine.,,Anthony Huffman,,,,
VO:0010284,vaccine preservative datum,data item,IAO:0000109,,A measurment datum that records the vaccine preservative of a vaccine.,,Anthony Huffman,,,,
