ID,LABEL,inSubset,Parent,alternative label,definition,definition source,term editor,seeAlso,editor note,VAC adjuvant ID,term tracker item,has molecular receptor,has role,induces immune profile,derives from,equivalent axioms
VO:0001332,Poly(i:c) vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,polyriboinosinic-polyribocytidylic acid,"Synthetic vaccine adjuvant containing poly(i:c), a synthetic double stranded analog of rna.",WEB: http://en.wikipedia.org/wiki/Polyinosinic:polycytidylic_acid,Samantha G. Sayers,,,,,,,,,
VO:0001333,Iscomatrix vaccine adjuvant,vaccine adjuvant,particulate antigen delivery system vaccine adjuvant,,"Particulate antigen delivery system vaccine adjuvant that is a vaccine adjuvant comprising cholesterol, phospholipid and saponin but without antigen.",PMID:19450632,Samantha G. Sayers,,ISCOMATRIX is identical to ISCOMs except that it does not contain antigen. Ref: PMID: 17336431.,,,,,,,
VO:0001334,Abisco-100 vaccine adjuvant,vaccine adjuvant,saponin vaccine adjuvant,,Saponin vaccine adjuvant that is made from highly purified saponins.,WEB: http://www.isconova.com/products/abisco-research-reagent/abisco-100.aspx,Samantha G. Sayers|Oliver He,,,,,,,,,
VO:0001335,Albumin-heparin microparticles vaccine adjuvant,vaccine adjuvant,particulate antigen delivery system vaccine adjuvant,,Particulate antigen delivery system vaccine adjuvant  that is albumin-heparin microparticles vaccine adjuvant that is prepared from albumin and heparin stabilized by cross-linking reaction with edc.,PMID:16734558,Samantha G. Sayers,,,,,,,,,
VO:0001336,As-2 vaccine adjuvant,vaccine adjuvant,combination vaccine adjuvant,,"Combination vaccine adjuvant and is based on the combination of monophosphoryl lipid a(mpl), qs21 (a purified fraction of saponin extracted from quillarja saponaria), and a proprietary oil in water emulsion.",http://www.pasteur.fr/applications/euroconf/vaccins/vaccins-abs.html,Samantha G. Sayers,,,,,,,,,
VO:0001337,B7-2 vaccine adjuvant,vaccine adjuvant,cytokine vaccine adjuvant,,Cytokine vaccine adjuvant that includes b7-2.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0001338,Bupivacaine vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,,"Synthetic vaccine adjuvant that is a local anaesthetic drug belonging to the amino amide group, and is used as a vaccine adjuvant in dna vaccines.",PMID:15246629|WEB: http://en.wikipedia.org/wiki/Bupivacaine,Samantha G. Sayers,,,,,,,,,
VO:0001339,Cationic liposome-dna complex jvrs-100 vaccin adjuvant,vaccine adjuvant,liposome-based vaccine adjuvant,cationic liposome-DNA complex JVRS-100,Liposome-based vaccine adjuvant that is composed of virus sized liposomes that contain a dna plasmid.,PMID:19285425,Samantha G. Sayers,,,,,,,,,
VO:0001340,Dhea vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,5-androsten-3β-ol-17-one|DHA|Dehydroepiandrosterone|androstenolone|prasterone|transdehydroandrosterone,"Synthetic vaccine adjuvant that is dhea, which is relatively stable and can be directly incorporated into vaccine formulations.",PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001341,Dl-pgl (polyester poly (dl-lactide-co-glycolide)) vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,PLGA|PLGA microspheres|Polyester poly (DL-lactide-co-glycolide),"Synthetic vaccine adjuvant that is plga, which has been used in the controlled delivery of peptide drugs.",PMID:15560948,Samantha G. Sayers,,,,,,,,,
VO:0001342,Il-15 vaccine adjuvant,vaccine adjuvant,cytokine vaccine adjuvant,,Cytokine vaccine adjuvant that uses the adjuvant effect of cytokine il-15.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0001343,Immunoliposomes containing antibodies to costimulatory molecules,vaccine adjuvant,liposome-based vaccine adjuvant,,Liposome-based vaccine adjuvant which is prepared from dehydration-rehydration vesicles (drvs).,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001344,Ltk72 vaccine adjuvant,vaccine adjuvant,E. coli LT toxin derived vaccine adjuvant,,E. coli lt toxin derived vaccine adjuvant that is a mutant form of heat-labile escherichia coli enterotoxin (lt) that contains a substitution ala -> arg  in position 72 of the a subunit.,PMID:9529328,Samantha G. Sayers,,,,,,,,,
VO:0001345,Mpl-se vaccine adjuvant,vaccine adjuvant,microbial derivative vaccine adjuvant,,Microbial derivative vaccine adjuvant containing mpl and squalene.,PMID:12213399,Samantha G. Sayers,,,,,,,,,
VO:0001347,Non-toxic mutant e112k of cholera toxin mct-e112k vaccine adjuvant,vaccine adjuvant,cholera toxin derived vaccine adjuvant,mCT|non-toxic mutant E112K of Cholera Toxin mCT-E112K,"Microbial derived vaccine adjuvant made of e112k mc,  a mutated ct created by substituting a single amino acid in the adp-ribosyltransferase active centre, glutamate to lysine at position 112.",PMID:11251876,Samantha G. Sayers,,,,,,,,,
VO:0001348,Cholera toxin derived vaccine adjuvant,vaccine adjuvant,microbial derivative vaccine adjuvant,,Microbial derivative vaccine adjuvant that is derived from cholera toxin.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0001349,Saf-1 vaccine adjuvant,vaccine adjuvant,combination vaccine adjuvant,,"Combination vaccine adjuvant that is composed of threonyl-mdp (0.05-1%) in an emulsion vehicle [5% squalane, 2.5% pluronic(r) l121, 0.2% polysorbate 80 and phosphate buffered saline (ph 7.4)].",PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001350,"Sendai proteoliposomes, sendai-containing lipid matrices",vaccine adjuvant,liposome-based vaccine adjuvant,,Liposome-based vaccine adjuvant that includes the glycoproteins of sendai virus.,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001351,Threonyl muramyl dipeptide (tmdp) vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,N-acetyl muramyl-L-threonyl-D-isoglutamine|Termurtide™|[thr1 ]-MDP,Synthetic vaccine adjuvant that is threonyl muramyl dipeptide (tmdp).,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001352,Ty particles vaccine adjuvant,vaccine adjuvant,microbial derivative vaccine adjuvant,Ty-VLPs,Microbial derivative vaccine adjuvant made of virus like particles (vlps) containing the yeast retrotransposon ty which has the amino acids 1-381 of the pi protein encoded.,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001353,Cytokine vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,,Vaccine adjuvant that contains active cytokine compound.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0001354,Combination vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,,Vaccine adjuvant that is composed of differnt compounds under more than one category.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0001355,Emulsion vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,,,,,,,,,,,,,
VO:0001356,Particulate antigen delivery system vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,,Vaccine adjuvant that serves as a particulate antigen delivery system.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0001357,Synthetic vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,,Vaccine adjuvant that contains synthetic material.,,Oliver He|Samantha G. Sayers|Philip Huang,,,,,,,,,
VO:0001358,Tensoactive compound vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,tensioactive compound vaccine adjuvant,"Vaccine adjuvant that includes tensioactive material. tensioactive materials, surfactants or active surface agents are chemical substances with a polar-non polar structure. these substances have a tendency to locate themselves at the surface creating an adsorbed monomolecular layer on the interface.",WEB: http://www.citt.ufl.edu/team/sepulveda/html/en_tensioactivos.htm,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0001359,Carbohydrate vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,,Vaccine adjuvant that is primarily composed of carbohydrates.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0001360,Ifn-gamma vaccine adjuvant,vaccine adjuvant,cytokine vaccine adjuvant,,Cytokine vaccine adjuvant that includes ifn-gamma.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0003154,Iss 1018 cpg odn vaccine adjuvant,vaccine adjuvant,CpG DNA vaccine adjuvant,ISS 1018 CpG ODN|ISS 1018 CpG oligodeoxynucleotide|ISS-1018,"Cpg dna vaccine adjuvant that is a short, synthetic, unmethylated cpg oligodeoxynucleotide (cpg odn) with immunostimulatory activity.",https://www.cancer.gov/publications/dictionaries/cancer-drug/def/iss-1018-cpg-oligodeoxynucleotide|https://www.drugbank.ca/drugs/DB05463,Oliver He|Kallan Roan,DrugBank Accession number: DB05463,"ISS 1018 is a short, synthetic, unmethylated CpG oligodeoxynucleotide (CpG ODN) with immunostimulatory activity. ISS 1018 signals through Toll-like receptor 9 (TLR9) to induce the production of immunoglobulin by B cells and interferon (IFN) -alpha, IFN-beta, interleukin-12 (IL-12), and tumor necrosis factor - alpha (TNF-alpha) by plasmacytoid dendritic cells (pDC). ISS 1018 CpG ODN promotes antigen presentation and co-stimulatory molecule expression. ISS 1018 is currently being investigated in combination with HBsAg vaccine as a prophylactic treatment for to prevent Hepatitis B in adults. It is also being investigated in combination with rituximab for treatment of b-cell or non-hodgkin's lymphoma.",,,,,,,
VO:0005206,Matrix-m vaccine adjuvant,vaccine adjuvant,saponin vaccine adjuvant,,"Saponin vaccine adjuvant comprised of 40 nm nanoparticles composed of quillaja saponins, cholesterol and phospholipid.",PMID:22844480,Philip Huang,,,,,,,,,
VO:0005207,Advax vaccine adjuvant,vaccine adjuvant,carbohydrate vaccine adjuvant,,Carbohydrate vaccine adjuvant derived from delta inulin,PMID:22728225|https://vac.niaid.nih.gov/view?id=37|https://www.ncbi.nlm.nih.gov/pubmed/?term=10000000|https://www.ncbi.nlm.nih.gov/pubmed/?term=12|https://www.ncbi.nlm.nih.gov/pubmed/?term=15479440|https://www.ncbi.nlm.nih.gov/pubmed/?term=20130134|https://www.ncbi.nlm.nih.gov/pubmed/?term=21147758|https://www.ncbi.nlm.nih.gov/pubmed/?term=21169215|https://www.ncbi.nlm.nih.gov/pubmed/?term=21736913|https://www.ncbi.nlm.nih.gov/pubmed/?term=22717330|https://www.ncbi.nlm.nih.gov/pubmed/?term=22728225|https://www.ncbi.nlm.nih.gov/pubmed/?term=23306367|https://www.ncbi.nlm.nih.gov/pubmed/?term=23388724|https://www.ncbi.nlm.nih.gov/pubmed/?term=23864620|https://www.ncbi.nlm.nih.gov/pubmed/?term=24342245|https://www.ncbi.nlm.nih.gov/pubmed/?term=24958701|https://www.ncbi.nlm.nih.gov/pubmed/?term=25267153|https://www.ncbi.nlm.nih.gov/pubmed/?term=25459531|https://www.ncbi.nlm.nih.gov/pubmed/?term=25516480|https://www.ncbi.nlm.nih.gov/pubmed/?term=25520500|https://www.ncbi.nlm.nih.gov/pubmed/?term=25659269|https://www.ncbi.nlm.nih.gov/pubmed/?term=26031451|https://www.ncbi.nlm.nih.gov/pubmed/?term=26177480|https://www.ncbi.nlm.nih.gov/pubmed/?term=26232344|https://www.ncbi.nlm.nih.gov/pubmed/?term=27342914|https://www.ncbi.nlm.nih.gov/pubmed/?term=28301280|https://www.ncbi.nlm.nih.gov/pubmed/?term=28602608|https://www.ncbi.nlm.nih.gov/pubmed/?term=28676380|https://www.ncbi.nlm.nih.gov/pubmed/?term=28758637|https://www.ncbi.nlm.nih.gov/pubmed/?term=30218687|https://www.ncbi.nlm.nih.gov/pubmed/?term=30312742|https://www.ncbi.nlm.nih.gov/pubmed/?term=30322015|https://www.ncbi.nlm.nih.gov/pubmed/?term=30832356|https://www.ncbi.nlm.nih.gov/pubmed/?term=31009889|https://www.ncbi.nlm.nih.gov/pubmed/?term=31300280|https://www.ncbi.nlm.nih.gov/pubmed/?term=33542494|https://www.ncbi.nlm.nih.gov/pubmed/?term=33883559,Nikolai Petrovsky|Wolfgang Leitner|Philip Huang|Oliver He,,"Chemical Nature: Carbohydrate
Mechanism of Action: Complement, Dendritic cells (unknown receptor), Other, Unknown
Immune profile induced: mixed Th1/Th2
By routes: IM, IN, IP, SQ, inhalation,
Point of Contact: Nikolai Petrovsky, Vaxine
https://www.ncbi.nlm.nih.gov/pubmed/?term=31009889
https://www.ncbi.nlm.nih.gov/pubmed/?term=25520500
https://www.ncbi.nlm.nih.gov/pubmed/?term=28758637
https://www.ncbi.nlm.nih.gov/pubmed/?term=23864620
https://www.ncbi.nlm.nih.gov/pubmed/?term=24342245
https://www.ncbi.nlm.nih.gov/pubmed/?term=23306367
https://www.ncbi.nlm.nih.gov/pubmed/?term=21147758
https://www.ncbi.nlm.nih.gov/pubmed/?term=15479440
https://www.ncbi.nlm.nih.gov/pubmed/?term=26031451
https://www.ncbi.nlm.nih.gov/pubmed/?term=25659269
https://www.ncbi.nlm.nih.gov/pubmed/?term=33883559
https://www.ncbi.nlm.nih.gov/pubmed/?term=30312742
https://www.ncbi.nlm.nih.gov/pubmed/?term=21736913
https://www.ncbi.nlm.nih.gov/pubmed/?term=30218687
https://www.ncbi.nlm.nih.gov/pubmed/?term=25459531
https://www.ncbi.nlm.nih.gov/pubmed/?term=24958701
https://www.ncbi.nlm.nih.gov/pubmed/?term=25516480
https://www.ncbi.nlm.nih.gov/pubmed/?term=20130134
https://www.ncbi.nlm.nih.gov/pubmed/?term=23388724
https://www.ncbi.nlm.nih.gov/pubmed/?term=21169215
https://www.ncbi.nlm.nih.gov/pubmed/?term=30832356
https://www.ncbi.nlm.nih.gov/pubmed/?term=30322015
https://www.ncbi.nlm.nih.gov/pubmed/?term=28602608
https://www.ncbi.nlm.nih.gov/pubmed/?term=28676380
https://www.ncbi.nlm.nih.gov/pubmed/?term=33542494
https://www.ncbi.nlm.nih.gov/pubmed/?term=26232344
https://www.ncbi.nlm.nih.gov/pubmed/?term=22728225
https://www.ncbi.nlm.nih.gov/pubmed/?term=22728225
https://www.ncbi.nlm.nih.gov/pubmed/?term=25267153
https://www.ncbi.nlm.nih.gov/pubmed/?term=31300280
https://www.ncbi.nlm.nih.gov/pubmed/?term=28301280
https://www.ncbi.nlm.nih.gov/pubmed/?term=22717330
https://www.ncbi.nlm.nih.gov/pubmed/?term=26177480
https://www.ncbi.nlm.nih.gov/pubmed/?term=10000000
https://www.ncbi.nlm.nih.gov/pubmed/?term=27342914
https://www.ncbi.nlm.nih.gov/pubmed/?term=12",37,,,,Th1/Th2 mixed immune profile,,
VO:0005270,1v270 vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,1V270,"Vaccine adjuvant that includes iv270, which is a low-molecular weight tlr7 agonist conjugated to a phospholipid and is a highly potent and stable immune activator.",PMID:25568203|PMID:28724768|PMID:32636840/|https://vac.niaid.nih.gov/view?id=6,Dennis Carson|Wolfgang Leitner|Oliver He,,"Chemical Nature: Small molecule
Receptor: TLR7
Mechanism of Action: Activation of innate immune pathways
Immune profile induced: Th1-biased
Other Features/Characteristics: (1) Induces mucosal immunity, (2) Induces CD8 T cells, (3) Induces epitope spreading, (4) Provides innate protection, (5) Promotes antibody affinity maturation, (6) Promotes antibody epitope spreading By routes: intramuscular and intranasal.
Point of Contact: Dennis Carson, UCSD",6,,,TLR7 receptor role,Th1-biased immune profile,,
VO:0005271,2b182c vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,2B182C,,https://vac.niaid.nih.gov/view?id=7|https://www.ncbi.nlm.nih.gov/pubmed/?term=25568203|https://www.ncbi.nlm.nih.gov/pubmed/?term=28724768|https://www.ncbi.nlm.nih.gov/pubmed/?term=32636840,Dennis Carson|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: Small molecule
Receptor: TLR4
Mechanism of Action: Innate immune activation
Immune profile induced: Mixed Th1/Th2
Other Features/Characteristics: (1) Induces mucosal immunity, (2) Anti-inflammatory, (3) Promotes antibody epitope spreading. By routes: intramuscular and intranasal.
Point of Contact: Dennis Carson, UCSD",7,,,TLR4 receptor role,Th1/Th2 mixed immune profile,,
VO:0005281,2e151 vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,2E151,,https://vac.niaid.nih.gov/view?id=9,Dennis Carson|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: Small molecule
Receptor: Dendritic cells (unknown receptor)
Mechanism of Action: Innate immune activation
Immune profile induced: Th1-biased
Other Features/Characteristics: Other. Specify: Co-adjuvant for TLR4 ligands
Point of Contact: Dennis Carson, UCSD",9,,,,Th1-biased immune profile,,
VO:0005282,Um-1098 vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,UM-1098,,https://vac.niaid.nih.gov/view?id=27,Kendal Ryter|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: Small molecule
Receptor: CLR (Dectin, Mincle)
Mechanism of Action: None/Unknown
Immune profile induced: Th17-component
Other Features/Characteristics: None
Point of Contact: Kendal Ryter, U. Montana & Inimmune",,,,,Th17 immune profile,,
VO:0005283,Tql-1055 vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,TQL-1055,,https://vac.niaid.nih.gov/view?id=36,Melissa Malhame|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: Small molecule and Synthetic derivative of natural compound
Receptor: Unknown and NLRP3
Mechanism of Action: Presumably the same as QS-21 in the absence of dose-limiting toxicity
Immune profile induced: Th1-biased
Other Features/Characteristics: None
Point of Contact: Melissa Malhame, Adjuvance Technologies",,,,,Th1-biased immune profile,,
VO:0005284,Nanovax/ne01 vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,NanoVax/NE01,,https://vac.niaid.nih.gov/view?id=22|https://www.ncbi.nlm.nih.gov/pubmed/?term=31495593|https://www.ncbi.nlm.nih.gov/pubmed/?term=31515143,Ali Fattom|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: Emulsion
Receptor: TLR2 and TLR4
Mechanism of Action: Activation of mucosal and systemic immunity
Immune profile induced: Th1/Th17
Other Features/Characteristics: Promotes antibody affinity maturation
Point of Contact: Ali Fattom, BlueWillow Biologics",,,,TLR2 receptor role|TLR4 receptor role,Th1/Th17 mixed immune profile,,
VO:0005285,Mit4 vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,MiT4,,https://vac.niaid.nih.gov/view?id=16,Darrick Carter|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: Other
Receptor: TLR4
Mechanism of Action: TLR4 agonist
Immune profile induced: Th1-biased
Other Features/Characteristics: None/Unknown
Point of Contact: Darrick Carter, PAI Life Sciences",,,,TLR4 receptor role,Th1-biased immune profile,,
VO:0005286,Mannadjuvant,vaccine adjuvant,vaccine adjuvant,,,https://vac.niaid.nih.gov/view?id=14,Ivan Zanoni|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: (1) Natural compound, (2) Carbohydrate, (3) Combination adjuvant
Receptor: CLR (Dectin, Mincle) and NAIP
Mechanism of Action: Activation of Dectin-2-expressing innate immune cells; dual targeting of injection site and draining lymph node.
Immune profile induced: Mixed Th1/Th2
Other Features/Characteristics: Promotes antibody epitope spreading
Point of Contact: Ivan Zanoni, Boston Children's Hospital",,,,,Th1/Th2 mixed immune profile,,
VO:0005287,Lit4 vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,LiT4,,https://vac.niaid.nih.gov/view?id=20,Darrick Carter|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: Combination Adjuvant
Receptor: TLR4
Mechanism of Action: TLR4 agonist plus potential inflammasome
Immune profile induced: Mixed Th1/Th2
Other Features/Characteristics: None/Unknown
Point of Contact: Darrick Carter, PAI Life Sciences",,,,TLR4 receptor role,Th1/Th2 mixed immune profile,,
VO:0005288,Ini-4001 vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,INI-4001,,https://vac.niaid.nih.gov/view?id=28,Kendal Ryter|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: Small molecule
Receptor: TLR7 and TLR8
Mechanism of Action: None/Unknown
Immune profile induced: Th1-biased
Other Features/Characteristics: None
Point of Contact: Kendal Ryter, U. Montana & Inimmune",,,,TLR7 receptor role|TLR8 receptor role,Th1-biased immune profile,,
VO:0005289,Ini-2004 vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,INI-2004,,https://vac.niaid.nih.gov/view?id=26,Kendal Ryter|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: Small molecule
Receptor: TLR4
Mechanism of Action: None/Unknown
Immune profile induced: Mixed Th1/Th2
Other Features/Characteristics: None
Point of Contact: Kendal Ryter, U. Montana & Inimmune",,,,TLR4 receptor role,Th1/Th2 mixed immune profile,,
VO:0005290,Ini-2002 vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,INI-2002,,https://vac.niaid.nih.gov/view?id=29,Kendal Ryter|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: Small molecule
Receptor: TLR4
Mechanism of Action: None/Unknown
Immune profile induced: Mixed Th1/Th2
Other Features/Characteristics: None
Point of Contact: Kendal Ryter, U. Montana & Inimmune",,,,TLR4 receptor role,Th1/Th2 mixed immune profile,,
VO:0005291,Fos47 vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,Fos47,,https://vac.niaid.nih.gov/view?id=5|https://www.ncbi.nlm.nih.gov/pubmed/?term=25568203|https://www.ncbi.nlm.nih.gov/pubmed/?term=28724768|https://www.ncbi.nlm.nih.gov/pubmed/?term=32636840,Dennis Carson|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: Small molecule and Combination adjuvant
Receptor: TLR4 and TLR7
Mechanism of Action: Activation of antigen presenting cells and stimulating B cell proliferation
Immune profile induced: Mixed Th1/Th2
Other Features/Characteristics: (1) Induces mucosal immunity, (2) Induces CD8 T cells, (3) Induces epitope spreading, (4) Provides innate protection, (5) Promotes antibody epitope spreading. By routes: intramuscular and intranasal.
Point of Contact: Dennis Carson, UCSD",,,,TLR4 receptor role|TLR7 receptor role,Th1/Th2 mixed immune profile,,
VO:0005292,Emt4 vaccine adjuvant,vaccine adjuvant,emulsion vaccine adjuvant,EmT4,,https://vac.niaid.nih.gov/view?id=17,Darrick Carter|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: Emulsion
Receptor: TLR4
Mechanism of Action: Squalene emulsion plus TLR4
Immune profile induced: Mixed Th1/Th2
Other Features/Characteristics: None
Point of Contact: Darrick Carter, PAI Life Sciences",,,,TLR4 receptor role,Th1/Th2 mixed immune profile,,
VO:0005293,Em vaccine adjuvant,vaccine adjuvant,emulsion vaccine adjuvant,Em,,https://vac.niaid.nih.gov/view?id=18,Darrick Carter|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: Emulsion
Receptor: Unknown
Mechanism of Action: Squalene emulsion possibly triggering inflammasome or through extracellular ATP
Immune profile induced: None
Other Features/Characteristics: None
Point of Contact: Darrick Carter, PAI Life Sciences",,,,,,,
VO:0005294,Defective viral genome-derived oligonucleotide vaccine adjuvant,vaccine adjuvant,oligonucleotide vaccine adjuvant,DDO|DDO (Defective viral genome-Derived Oligonucleotide)|Defective viral genome-Derived Oligonucleotide,,https://vac.niaid.nih.gov/view?id=30|https://www.ncbi.nlm.nih.gov/pubmed/?term=24099876|https://www.ncbi.nlm.nih.gov/pubmed/?term=29861183,Carolina Lopez|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: (1) Synthetic derivative of natural compound, (2) Nucleic acid
Receptor: TLR3
Mechanism of Action: TLR3, possibly RIG-I - agonist
Immune profile induced: Th1-biased
Other Features/Characteristics: (1) Induces mucosal immunity, (2) Induces CD8 T cells, (3) Provides innate protection. By routes: SQ, IM.
Point of Contact: Carolina Lopez, University of Washington at St Louis",,,,TLR3 receptor role,Th1-biased immune profile,,
VO:0005295,Capnp (captivant)(tm) vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,CaPNP (CaPtivant)(TM),,https://vac.niaid.nih.gov/view?id=11|https://www.ncbi.nlm.nih.gov/pubmed/?term=11063495|https://www.ncbi.nlm.nih.gov/pubmed/?term=12204953|https://www.ncbi.nlm.nih.gov/pubmed/?term=28716554|https://www.ncbi.nlm.nih.gov/pubmed/?term=28933657|https://www.ncbi.nlm.nih.gov/pubmed/?term=31591662,Tulin Morcol|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: Synthetic derivative of natural compound
Receptor: Unknown
Mechanism of Action: (1) Antigen carrier, (2) Innate immune enhancer/activator
Immune profile induced: Mixed Th1/Th2
Other Features/Characteristics: (1) Induces mucosal immunity, (2) Induces CD8 T cells, (3) Provides innate protection, (4) Other, (5) Promotes antibody affinity maturation, (6) High stability. By routes: IM, IN, IP, IN, ID, IVag. Specify: Safe for systemic or mucosal administration
Point of Contact: Tulin Morcol, Captivate Pharma",11,,,,Th1/Th2 mixed immune profile,,
VO:0005296,Becc470b vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,BECC470b,,https://vac.niaid.nih.gov/view?id=32|https://www.ncbi.nlm.nih.gov/pubmed/?term=28487429|https://www.ncbi.nlm.nih.gov/pubmed/?term=29861179|https://www.ncbi.nlm.nih.gov/pubmed/?term=33309485,Robert Ernst|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: Small molecule, other
Receptor: TLR4
Mechanism of Action: None
Immune profile induced: Mixed Th1/Th2
Other Features/Characteristics: Other
Point of Contact: Robert Ernst, University of Maryland - Baltimore",32,,,TLR4 receptor role,Th1/Th2 mixed immune profile,,
VO:0005297,Becc438s vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,BECC438s,,https://vac.niaid.nih.gov/view?id=33,Robert Ernst|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: (1) Synthetic derivative of natural compound, (2) other
Receptor: TLR4
Mechanism of Action: None
Immune profile induced: Mixed Th1/Th2
Other Features/Characteristics: None
Point of Contact: Robert Ernst, University of Maryland-Baltimore",33,,,TLR4 receptor role,Th1/Th2 mixed immune profile,,
VO:0005298,Becc438b vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,BECC438b,,https://vac.niaid.nih.gov/view?id=31|https://www.ncbi.nlm.nih.gov/pubmed/?term=28487429|https://www.ncbi.nlm.nih.gov/pubmed/?term=29861179|https://www.ncbi.nlm.nih.gov/pubmed/?term=33309485,Robert Ernst|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: Small molecule, other
Receptor: TLR4
Mechanism of Action: None
Immune profile induced: Mixed Th1/Th2
Other Features/Characteristics: None
Point of Contact: Robert Ernst, University of Maryland Baltimore",31,,,TLR4 receptor role,Th1/Th2 mixed immune profile,,
VO:0005299,Alt4 vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,AlT4,,https://vac.niaid.nih.gov/view?id=19,Darrick Carter|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: Combination adjuvant
Receptor: TLR4
Mechanism of Action: TLR4 and potentially inflammasome
Immune profile induced: Mixed Th1/Th2
Other Features/Characteristics: None
Point of Contact: Darrick Carter, PAI Life Services",19,,,TLR4 receptor role,Th1/Th2 mixed immune profile,,
VO:0005300,Alt3 vaccine adjuvant,vaccine adjuvant,vaccine adjuvant,AlT3,,https://vac.niaid.nih.gov/view?id=21,Darrick Carter|Wolfgang Leitner|Amogh Madireddi|Oliver He,,"Chemical Nature: Combination adjuvant
Receptor: TLR3
Mechanism of Action: TLR3 agonist plus potential inflammasome
Immune profile induced: Mixed Th1/Th2
Other Features/Characteristics: None
Point of Contact: Darrick Carter, PAI Life Services",21,,,TLR3 receptor role,Th1/Th2 mixed immune profile,,
