Num	Order	Ontology ID	LABEL	Vaccine Type	Cancer Type	Parent label	Parent	Gene names	NCBI GeneID	status of vaccine development	immunizes host	definition	PubMed (original)	PubMed	other link	VIOLIN ID	VIOLIN Link	GitHub tracker	NCI link	NCT link	Term editors	JZ notes
142	165	VO:0007141	VEGFR1-1084 Peptide Vaccine	Peptide Vaccine	Pancreatic Cancer	pancreatic cancer vaccine	VO:0005430	Gene name: FLT1	2321	Clinical trial	Homo sapiens	"A peptide vaccine containing an HLA-A*2402-restricted epitope of vascular endothelial growth factor receptor 1 (VEGFR1 or Flt-1) with potential immunostimulating, antiangiogenic, and antineoplastic activities. Upon vaccination, VEGFR1-1084 peptide vaccine may stimulate a cytotoxic T lymphocyte (CTL) response against VEGFR1-expressing endothelial cells of the tumor microvasculature, which may inhibit tumor angiogenesis and tumor cell proliferation. VEGFR1, a receptor tyrosine kinase, may be overexpressed on endothelial cells of the tumor microvasculature and is associated with tumor cell proliferation, invasion and tumor angiogenesis. HLA-A*2402 is an MHC class I molecule that presents antigenic peptides to CD8+ T cells; epitope design restricted to epitopes that bind most efficiently to HLA-A*2402 may improve antigenicity."	26190488	PubMed:26190488		5214	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5214		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C77895	NCT: https://clinicaltrials.gov/ct2/show/NCT00655785	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
143	166	VO:0007142	VEGFR2-169 Peptide Vaccine	Peptide Vaccine	Pancreatic Cancer	pancreatic cancer vaccine	VO:0005430	Gene name: Kdr	16542	Clinical trial	Homo sapiens	"A peptide vaccine containing an HLA-A*2402-restricted epitope of vascular endothelial growth factor receptor (VEGFR) 2 with potential immunostimulatory and antineoplastic activities. Upon administration, VEGFR2-169 peptide vaccine may stimulate a cytotoxic T lymphocyte (CTL) response against VEGFR2-expressing tumor cells. VEGFR2, a receptor tyrosine kinase, is overexpressed by a variety of tumor types; overexpression is associated with tumor cell proliferation and tumor angiogenesis. HLA-A*2402 is an MHC class I molecule that presents antigenic peptides to CD8+ T cells; epitope design restricted to epitopes that bind most efficiently to HLA-A*2402 may improve antigenic peptide immunogenicity."	15930316	PubMed:15930316		5419	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5419		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C74090	NCT: https://clinicaltrials.gov/ct2/show/NCT00639925	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
144	9	VO:0007143	NY-ESO-1/LAGE-1 peptide vaccine	Multipeptide vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: CTAG1B|Gene name: CTAG2	1485|30848	Clinical trial	Homo sapiens|Mus musculus	"A cancer vaccine containing HLA class I- and II-binding peptides derived from the NY-ESO-1/LAGE-1 cancer/testis antigen with potential immunostimulatory and antineoplastic activities. Upon administration, NY-ESO-1/LAGE-1 HLA class I/II peptide vaccine may induce a cytotoxic immune response against tumor cells that over-express NY-ESO-1/LAGE-1. Rarely expressed by normal cells, the NY-ESO-1/LAGE-1 cancer/testis antigen has been shown to be preferentially expressed on the surface of some cancer cell types."	21131422	PubMed:21131422		5379	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5379	https://github.com/vaccineontology/VO/issues/111	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C74066	NCT: https://clinicaltrials.gov/ct2/show/NCT00616291	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
145	42	VO:0007144	Primary Prostate Cancer Tissue/hTERT/Survivin mRNA-loaded Autologous Dendritic Cell Vaccine	Recombinant vector vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: TERT	7015	Clinical trial	Homo sapiens	"An autologous dendritic cell (DCs) vaccine targeting prostate cancer with immunostimulating activity. The autologous DC vaccine is prepared via transfecting DCs with mRNAs extracted from primary prostate cancer tissue, and mRNAs of human telomerase reverse transcriptase (hTERT) and survivin. Upon administration, this DC vaccine may elicit a potent cytotoxic T-cell (CTL) response against prostate cancer cells, resulting in tumor cell death. Both hTERT and survivin are essential in neoplastic growth, and are considered to be universal tumor antigens."	30505813	PubMed:30505813		5205	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5205		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C95771	NCT: https://clinicaltrials.gov/ct2/show/NCT00345293	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
146	44	VO:0007145	Prostate cancer DNA vaccine pDOM-PSMA27 encoding PSMA	DNA vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425			Research	Homo sapiens	This DNA vaccine expressed prostate-specific membrane antigen (PSMA)	22729556	PubMed:22729556		3710	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3710				Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
147	45	VO:0007146	Prostate Cancer Vaccine ONY-P1	Recombinant vector vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: CD40	959	Clinical trial	Homo sapiens|Mus musculus	"A cell-based vaccine derived from prostate cancer with potential immunopotentiating and antineoplastic activities. Prostate cancer vaccine ONY-P1 is derived from three irradiated allogeneic prostate cancer cell lines that represent different stages of prostate cancer and express a broad range of prostate and prostate cancer antigens. Upon administration, this vaccine may stimulate a host immune response against prostate cancer cells; in the vaccination schedule, the first two vaccinations are co-administered with bacillus Calmette-Guerin (BCG) as an adjuvant."	22932804	PubMed:22932804		5351	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5351	https://github.com/vaccineontology/VO/issues/141	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C71723	NCT: https://clinicaltrials.gov/ct2/show/NCT00514072	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
148	46	VO:0007147	Prostate Tumor Antigen-activated Autologous Dendritic Cell Vaccine	Recombinant vector vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: KLK3	354	Clinical trial	Homo sapiens	"A dendritic cell (DC)-based cancer vaccine composed of autologous dendritic cells (DCs) activated with a prostate tumor cell lysate containing tumor-associated antigens (TAAs) with potential immunostimulatory and antineoplastic activities. Upon administration, the prostate tumor antigen-activated autologous DC vaccine may stimulate an anti-tumoral cytotoxic T-lymphocyte (CTL) response against prostate cancer cells expressing prostate tumor cell-specific antigens, which may result in prostate tumor cell lysis."	27683469	PubMed:27683469		5132	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5132		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C115106	NCT: https://clinicaltrials.gov/ct2/show/NCT02111577	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
149	47	VO:0007148	PROSTVAC-Contaminated W/ BVDV vaccine	other	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: KLK3	354	Clinical trial	Homo sapiens|Mus musculus	"A vaccinia virus carrying a copy of the human gene encoding prostate-specific antigen (PSA), contaminated with bovine viral diarrhea virus (BVDV)."	27683469	PubMed:27683469		5260	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5260	https://github.com/vaccineontology/VO/issues/142	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C29334		Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
150	48	VO:0007149	PSA Prostate Cancer Vaccine	Peptide vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: KLK3	354	Clinical trial	Homo sapiens|Mus musculus	"A peptide vaccine containing the prostate specific antigen (PSA) with potential antineoplastic activity. PSA, a glycoprotein secreted by prostatic epithelial and ductal cells, is overexpressed in prostate cancer cells and is used as a tumor marker for both diagnosis and treatment evaluation. Vaccination with PSA peptide vaccine may produce anti-PSA antibodies as well as elicit a cytotoxic T-cell (CTL) response against prostate cancer cells expressing this antigen, thereby decreasing tumor cell growth."	27683469	PubMed:27683469		5087	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5087	https://github.com/vaccineontology/VO/issues/143	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C2497	NCT: https://clinicaltrials.gov/ct2/show/NCT00015977	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
151	49	VO:0007150	PSA RNA-Pulsed Dendritic Cell Vaccine	Recombinant vector vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: KLK3	354	Clinical trial	Homo sapiens|Mus musculus	"An autologous dendritic cell vaccine with potential immunostimulatory activity. Dendritic cells harvested from a prostate cancer patient are transfected with the mRNA encoding for prostate specific antigen (PSA), a tumor marker secreted by prostatic epithelial and ductal cells. When reintroduced back to the patient, these PSA RNA pulsed autologous dendritic cells may elicit a cytotoxic T-cell (CTL) response against PSA-positive prostate cancer cells."	14711334	PubMed:14711334		5022	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5022	https://github.com/vaccineontology/VO/issues/144	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C2236	NCT: https://clinicaltrials.gov/ct2/show/NCT00004211	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
152	50	VO:0007151	PSA-OP Peptide Vaccine	Peptide vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: KLK3	354	Clinical trial	Homo sapiens|Mus musculus	"A 30-residue prostate specific antigen (PSA) oligoepitope peptide (OP) vaccine with potential antineoplastic activity. PSA-OP peptide vaccine contains the PSA-1 and PSA-3 HLA-A2 epitopes and the PSA-9 HLA-class I-A3 epitope joined by peptide linker sequences. In an animal model, vaccination with this agent has been shown to elicit a cytotoxic T-lymphocyte immune response."	9743387	PubMed:9743387		5234	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5234	https://github.com/vaccineontology/VO/issues/179	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C29337		Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
153	51	VO:0007152	PSA-PAP/KLH-pulsed Autologous Dendritic Cell Vaccine	Recombinant vector vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: Acpp	56318	Clinical trial	Homo sapiens	"A cell-based cancer vaccine composed of autologous dendritic cells (DCs) pulsed with the prostate-specific tumor associated antigens (TAAs) prostate specific antigen (PSA) and prostate acid phosphatase (PAP), and conjugated to the immunostimulant keyhole limpet hemocyanin (KLH), with potential immunostimulatory and antineoplastic activities. Upon administration, prostate cancer antigen/KLH-pulsed autologous dendritic cell vaccine may stimulate the immune system to mount anti-tumoral cytotoxic T lymphocyte (CTL) and antibody responses against prostate cancer cells expressing PSA and PAP, which may result in prostate cancer cell lysis. KLH is an immunogenic carrier and serves as an immunostimulant to improve antigenic immune recognition and T-cell responses and can be used to evaluate vaccine efficacy."	12487060	PubMed:12487060		5353	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5353		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C92573	NCT: https://clinicaltrials.gov/ct2/show/NCT01171729	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
154	52	VO:0007153	PSA/IL-2/GM-CSF Vaccine	Subunit vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: IL-2|Gene name: GM-CSF	3558|1437	Clinical trial	Homo sapiens|Mus musculus	"A prostate cancer vaccine containing prostate specific antigen (PSA) combined with the cytokines, interleukin-2 (IL-2) and granulocyte macrophage-colony-stimulating factor (GM-CSF), with potential antineoplastic activity. Upon intradermal vaccination, PSA/IL-2/GM-CSF vaccine may activate the immune system to induce a cytotoxic T-cell (CTL) response against prostate cancer cells expressing this antigen, thereby decreasing tumor cell growth. PSA, a glycoprotein secreted by prostatic epithelial and ductal cells, is overexpressed by prostate cancer cells. IL-2 stimulates natural killer (NK) cells and cytotoxic T-cells against the PSA-expressing tumor cells. GM-CSF promotes antigen presentation to dendritic cells and further stimulates a tumor-specific cytotoxic T-lymphocyte (CTL) response."	12487060	PubMed:12487060		5109	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5109	https://github.com/vaccineontology/VO/issues/180	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C114289	NCT: https://clinicaltrials.gov/ct2/show/NCT02058680	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
155	53	VO:0007154	PSA/PSMA DNA Plasmid INO-5150 vaccine	DNA vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: FOLH1	2346	Clinical trial	Homo sapiens|Mus musculus	"A plasmid DNA vaccine encoding the tumor-associated antigens (TAAs) prostate-specific antigen (PSA) and prostate-specific membrane antigen (PSMA), with potential immunoactivating and antineoplastic activities. Upon intramuscular delivery and electroporation of the PSA/PSMA DNA plasmid INO-5150, both PSA and PSMA are translated in cells which then activate the immune system. This induces cytotoxic T-lymphocyte (CTL) responses against tumor cells expressing PSA and PSMA. This may result in both immune-mediated tumor cell death and the inhibition of tumor cell proliferation. PSA and PSMA are overexpressed on a variety of cancer cell types. The DNA encoding the TAAs in INO-5150 is based on both human and other primate antigen gene sequences. As the plasmid genes differ from the human gene sequences encoding these antigens, INO-5150 may overcome immune tolerance to human TAAs."	32208168	PubMed:32208168		5252	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5252	https://github.com/vaccineontology/VO/issues/181	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C123283	NCT: https://clinicaltrials.gov/ct2/show/NCT02514213	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
156	54	VO:0007155	PSA:154-163 Peptide vaccine	Peptide vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: MUC1	4582	Clinical trial	Homo sapiens|Mus musculus	"A synthetic peptide based on sequence corresponding to positions 154-163 of the amino acids of prostate-specific antigen (PSA), VISNDVCAQV. Upon administration, PSA:154-163 peptide vaccine may elicit a cytotoxic T-cell response against tumor cells that express PSA."	19483644	PubMed:19483644		5106	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5106	https://github.com/vaccineontology/VO/issues/182	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C2798	NCT: https://clinicaltrials.gov/ct2/show/NCT00004156	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
157	55	VO:0007156	PSA:154-163(155L) Peptide Vaccine	Peptide vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: KLK3	354	Clinical trial	Homo sapiens|Mus musculus	"A cancer vaccine comprised of a synthetic peptide with an amino acid sequence corresponding to positions 154-163 of the amino acid sequence for prostate-specific antigen (PSA) with a leucine substitution at position 155. Upon administration, PSA:154-163(155L) peptide vaccine may elicit a cytotoxic T-cell response against tumor cells that express PSA."	19483644	PubMed:19483644		5155	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5155	https://github.com/vaccineontology/VO/issues/183	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C29338	NCT: https://clinicaltrials.gov/ct2/show/NCT00109811	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
158	56	VO:0007157	PSMA/TARP Peptide Vaccine	Peptide vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: KLK3	354	Clinical trial	Homo sapiens|Mus musculus	"A peptide-based cancer vaccine containing epitopes of T cell receptor gamma-chain alternate reading frame protein (TARP) and prostate-specific membrane antigen (PSMA) in combination with a Poly IC-LC immunoadjuvant, with potential antineoplastic activity. Upon administration, PSMA/TARP peptide vaccine may stimulate a host cytotoxic T-cell (CTL) response against TARP- and PSMA-expressing tumor cells, resulting in tumor cell cytotoxicity. The nuclear protein TARP and PSMA are commonly expressed in prostate cancer cells."	34494382	PubMed:34494382		5052	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5052	https://github.com/vaccineontology/VO/issues/184	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C78819	NCT: https://clinicaltrials.gov/ct2/show/NCT00694551	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
159	57	VO:0007158	pTVG-HP Plasmid DNA Vaccine	DNA vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: ACP3	55	Clinical trial	Homo sapiens|Mus musculus	"A cancer vaccine containing plasmid DNA encoding human prostatic acid phosphatase (PAP) (pTVG-HP) with potential immunostimulatory and antineoplastic activities. Upon administration, pTVG-HP plasmid DNA vaccine may stimulate the host immune system to generate a cytotoxic T lymphocyte (CTL) response against PAP-expressing prostate cancer cells. PAP or prostatic specific acid phosphatase (PSAP) is a tumor associated antigen (TAA) that may be overexpressed in prostate cancer."	17102977	PubMed:17102977		5535	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5535	https://github.com/vaccineontology/VO/issues/185	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C82407	NCT: https://clinicaltrials.gov/ct2/show/NCT02499835	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
160	59	VO:0007159	pVAXrcPSAv53l DNA Vaccine	DNA vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: KLK3	354	Clinical trial	Homo sapiens|Mus musculus	"A cancer vaccine containing xenogenic DNA from rhesus macaque (Macaca mulatta) that encodes prostate specific antigen (PSA) with potential immunostimulating and antineoplastic activities. Upon repeated intradermal administration via electroporation, pVAXrcPSAv53l vaccine may induce a cytotoxic T-lymphocyte (CTL) response against PSA-expressing prostate cancer cells. Rhesus PSA is 89% homologous to human PSA."				5092	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5092	https://github.com/vaccineontology/VO/issues/187	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C82352	NCT: https://clinicaltrials.gov/ct2/show/NCT00859729	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
161	82	VO:0007160	Recombinant Fowlpox-Prostate Specific Antigen Vaccine	Recombinant vector vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: KLK3	354	Clinical trial	Homo sapiens|Mus musculus	A cancer vaccine consisting of a recombinant fowlpox virus encoding human prostate-specific antigen (PSA). Administration of this agent may stimulate a cytotoxic T cell response against PSA-expressing tumor cells. Fowlpox virus is an attractive vector because its genome is easy to manipulate and it is replication incompetent in mammalian cells.	17707059	PubMed:17707059		4988	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=4988	https://github.com/vaccineontology/VO/issues/333	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C2675	NCT: https://clinicaltrials.gov/ct2/show/NCT00005039	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
162	83	VO:0007161	Recombinant Fowlpox-PSA(L155)/TRICOM Vaccine	Recombinant vector vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: KLK3|Gene name: Cd80|Gene name: ICAM1|Gene name: CD58	354|12519|3383|965	Clinical trial	Homo sapiens|Mus musculus	"A cancer vaccine consisting of a recombinant fowlpox virus encoding fragment of human prostate-specific antigen (PSA), PSA:154-163 (155L), and a TRIad of COstimulatory Molecules (B7-1, ICAM-1 and LFA-3) (TRICOM). Administration of this agent may induce a cytotoxic T cell response against PSA-expressing tumor cells. Dendritic cells infected with TRICOM vectors greatly enhance naive T-cell activation and peptide-specific T-cell stimulation. Fowlpox virus is an attractive vector because its genome is easy to manipulate and it is replication incompetent in mammalian cells."	16390546	PubMed:16390546		5434	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5434	https://github.com/vaccineontology/VO/issues/333	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C38708	NCT: https://clinicaltrials.gov/ct2/show/NCT00108732	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
163	84	VO:0007162	Recombinant Fowlpox-TRICOM Vaccine	Recombinant vector vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: Cd80|Gene name: ICAM1|Gene name: CD58	12519|3383|965	Clinical trial	Homo sapiens|Mus musculus	"A cancer vaccine comprised of a recombinant fowlpox virus vector encoding TRICOM. TRICOM is comprised of three co-stimulatory molecule transgenes (B7-1, ICAM-1 and LFA-3) that may enhance antigen presentation and activate cytotoxic T-cells. Fowlpox virus is an attractive vector because its genome is easy to manipulate and it is replication incompetent in mammalian cells."				5253	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5253	https://github.com/vaccineontology/VO/issues/132	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C2667	NCT: https://clinicaltrials.gov/ct2/show/NCT00450619	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
164	94	VO:0007163	Recombinant Vaccinia PSA Vaccine	Recombinant vector vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: KLK3	354	Clinical trial	Homo sapiens|Mus musculus	A vaccine consisting of recombinant vaccinia virus encoding prostate specific antigen (PSA). Vaccination with recombinant vaccinia prostate-specific antigen vaccine stimulates the host immune system to mount a cytotoxic T-cell response against tumor cells expressing PSA.	12242725	PubMed:12242725		5154	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5154	https://github.com/vaccineontology/VO/issues/339	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C2433	NCT: https://clinicaltrials.gov/ct2/show/NCT02649439	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
165	104	VO:0007164	Recombinant Vaccinia-Prostate Specific Antigen Vaccine	Recombinant vector vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: KLK3	354	Clinical trial	Homo sapiens|Mus musculus	"A recombinant vaccinia virus encoding prostate-specific antigen (PSA). Vaccination with recombinant vaccinia-PSA may stimulate the host immune system to mount a cytotoxic T lymphocyte (CTL) response against tumor cells positive for PSA, which may decrease tumor growth."	12242725	PubMed:12242725		5302	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5302	https://github.com/vaccineontology/VO/issues/350	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C29945	NCT: https://clinicaltrials.gov/ct2/show/NCT00005039	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
166	105	VO:0007165	Recombinant Vaccinia-PSA/PSMA Vaccine	Recombinant vector vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: KLK3|Gene name: Prostate-specific membrane antigen	354|2346	Clinical trial	Homo sapiens|Mus musculus	A recombinant vaccinia virus encoding prostate-specific antigen (PSA) and prostate-specific membrane antigen (PSMA) with potential use in cancer immunotherapy.				5307	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5307	https://github.com/vaccineontology/VO/issues/351	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C29563		Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
167	114	VO:0007166	rF-PSA/PSMA/TRICOM Vaccine	Recombinant vector vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: KLK3	354	Clinical trial	Homo sapiens|Mus musculus	"A synthetic fowlpox viral vaccine containing the tumor-associated antigens prostate specific antigen (PSA), prostate specific membrane antigen (PSMA), and a TRIad of COstimulatory Molecules (B7-1, ICAM-1 and LFA-3; TRICOM). Vaccination with this viral vaccine may enhance antigen presentation and activate cytotoxic T-cells against PSA- or PSMA-expressing tumor cells."				5005	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5005	https://github.com/vaccineontology/VO/issues/358	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C29559		Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
168	115	VO:0007167	Rilimogene-galvacirepvec Vaccine	Recombinant vector vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: ICAM1|Gene name: Cd80|Gene name: KLK3|Gene name: CD58	3383|12519|354|965	Clinical trial	Homo sapiens|Mus musculus	"A vaccine formulation consisting of recombinant vaccinia virus encoding prostate specific antigen (PSA) and recombinant vaccinia virus encoding three co-stimulatory molecule transgenes B7.1, ICAM-1, and LFA-3 (TRICOM). Vaccination with PSA in combination with TRICOM may enhance antigen presentation, resulting in the augmentation of a cytotoxic T cell (CTL) immune response against tumor cells expressing PSA."				5183	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5183	https://github.com/vaccineontology/VO/issues/359	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C38681	NCT: https://clinicaltrials.gov/ct2/show/NCT02772562	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
169	119	VO:0007168	Sipuleucel-T Vaccine	Recombinant vector vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: ACP3	55	Clinical trial	Homo sapiens|Mus musculus	"A cell-based vaccine composed of autologous antigen-presenting peripheral blood mononuclear cells (enriched for a dendritic cell fraction) that have been exposed to a recombinant protein consisting of granulocyte-macrophage colony-stimulating factor (GM-CSF) fused to prostatic-acid phosphatase (PAP), a protein expressed by prostate cancer cells. Upon administration, the vaccine may stimulate an antitumor T-cell response against tumor cells expressing PAP."	20818862	PubMed:20818862		5216	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5216	https://github.com/vaccineontology/VO/issues/362	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C1985	NCT: https://clinicaltrials.gov/ct2/show/NCT02159950	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
