ID,LABEL,inSubset,Parent,Equivalent Class,achieves_planned_objective,has part,has participant,has_specified_input,has_specified_output,induced by vaccination of,occurs in,part of,preceded by,realizes,definition,definition source,term editor,alternative ID,alternative label,seeAlso,editor note,example of usage,comment
VO:0003031,host susceptibility gene response to vaccine adverse event,vaccine-induced host response,vaccine-induced host gene response,,,,,,,,,,,,a vaccine-induced host gene response that represents a vaccine adverse event response associated with a host susceptibility gene.,,YH,,host susceptibility gene response to VAE,,,,
VO:0000239,vaccine-induced down-regulated gene expression,vaccine-induced host response,vaccine-induced host gene response,,,,,,,,,,,,,,YH,,,,,,
VO:0000569,vaccine-induced up-regulated gene expression,vaccine-induced host response,vaccine-induced host gene response,,,,,,,,,,,,,,YH,,,,,,
VO:0003068,RB51 induced host immune response,vaccine-induced host response,vaccine-induced host immune response,,,,,,,Brucella abortus vaccine RB51,,,,,,,,,,,,,
VO:0001030,vaccine-induced mouse immune response,vaccine-induced host response,vaccine-induced host immune response,,,,,('Mus musculus' and ('has role' some 'host role')),,,,,,,,,,,,,,,
VO:0000408,organ or tissue specific immune response to vaccine,vaccine-induced host response,vaccine-induced host immune response,,,,,,,,,,,,,,YH,,,,,,
VO:0000135,vaccine-induced adaptive immune response,vaccine-induced host response,vaccine-induced host immune response,,,,,,,,,,,,,,YH,,,,,,
VO:0000180,vaccine-induced cell activation,vaccine-induced host response,vaccine-induced host immune response,,,,,,,,,,,,,,YH,,,,,,
VO:0000632,vaccine-induced humoral immune response,vaccine-induced host response,vaccine-induced host immune response,,,,,,,,,,,,Vaccine induced immue response mediated hrough a body fluid,,YL,,,,,,
VO:0000857,vaccine-induced immune correlate of protection,vaccine-induced host response,vaccine-induced host response,,,,,,,,,vaccine-induced host immune response,,,,,YH,,,,Immune correlate of protection is a host immune response to vaccine that correlates with protective induced by the vaccine.,,
VO:0003057,augmented protection and cellular immunity using host protein as adjuvant,vaccine-induced host response,vaccine-induced host response,,,,,,,,,,,,an vaccine-induced host response that shows augmented protection and cellular immunity after a host protein is used as adjuvant. ,,"YH, RR",,,,,,
VO:0003048,vaccine-induced herd immunity,vaccine-induced host response,vaccine-induced host response,,,,,,,,,,,,"when the vaccination of a significant portion of a population (or herd), in contagious diseases that are transmitted from individual to individual, chains of infection are likely to be disrupted, so the large numbers of a population are immue or less susceptible to the disease. ",http://en.wikipedia.org/wiki/Herd_immunity,YL,,,,,,
VO:0000286,vaccine-induced host gene response,vaccine-induced host response,vaccine-induced host response,,,,,,,,,,,,,,YH,,,,,,
VO:0000287,vaccine-induced host immune response,vaccine-induced host response,vaccine-induced host response,,,,,,,,,,,,Any immune system process that functions in the calibrated response of the host to a vaccine.,,Y.L.|Y.H.,,,,The definition of this term is based on the definition of 'immune response (GO:0006955)' . It is a child term of this GO term.,,
VO:0000859,cell mediated immune correlate of protection,vaccine-induced host response,vaccine-induced immune correlate of protection,,,,,,,,,,,,A cell mediated immune correlate of protection is an immune correlate of protection that is reflected by a cell mediated immune response.,,YH,,,,,,
VO:0000858,serologic correlate of protection,vaccine-induced host response,vaccine-induced immune correlate of protection,,,,,,,,,,,,Serological correlate of protection is an immune correlate of protection that is reflected by serologic antibody levels.,,YH,,,,,,
VO:0000008,vaccine-induced lymphocyte activation,vaccine-induced host response,vaccine-induced leukocyte activation,,,,,,,,,,,,,,YH,,,,,,
VO:0000115,vaccine-induced T cell activation,vaccine-induced host response,vaccine-induced lymphocyte activation,,,,,,,,,,,,,,,,,,,,
VO:0000176,vaccine-induced T cell differentiation,vaccine-induced host response,vaccine-induced T cell activation,,,,,,,,,,,,,,,,,,,,
VO:0000134,vaccine-induced T cell proliferation,vaccine-induced host response,vaccine-induced T cell activation,,,,,,,,,,,,,,,,,,,,
VO:0000383,"vaccine-induced, adjuvant boosted T cell interferon-gramm production",vaccine-induced host response,vaccine-induced T cell interferon-gamma production,,,,,,,,,,,,a vaccine-induced T cell interferon-gramm production that results from the addition of a vaccine adjuvant,,YH,,,,,,
VO:0000107,T cell vaccine antigen processing and presentation,vaccine-induced host response,vaccine-induced T cell mediated immunity,,,,,,,,,,,,,,YH,,,,,,
VO:0000593,vaccine specific T cell cytokine production,vaccine-induced host response,vaccine-induced T cell mediated immunity,,,,,,,,,,,,,,YH,,,,,,
VO:0000594,vaccine specific T cell mediated cytotoxicity,vaccine-induced host response,vaccine-induced T cell mediated immunity,,,,,,,,,,,,,,YH,,,,,,
VO:0004916,vaccine specific IL-2 immune response,vaccine-induced host response,vaccine-induced T-helper 1 type immune response,,,,,,,,,,,,vaccine-induced T-helper 1 type immune response that is indicated by the presence of interleukin-2 production,,"Anthony Huffman, Oliver He",,,,,,
VO:0004915,vaccine specific interferon-γ immune response,vaccine-induced host response,vaccine-induced T-helper 1 type immune response,,,,,,,,,,,,vaccine-induced T-helper 1 type immune response that is indicated by the presence of Interferon-gamma production,,"Anthony Huffman, Oliver He",,,,,,
VO:0004919,vaccine specific Th1 immune response indicated by IgG2a  production,vaccine-induced host response,vaccine-induced T-helper 1 type immune response,,,,,,,,,,,,vaccine-induced T-helper 1 type immune response that is indicated by the presence of IgG2a production,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC101669/,"Anthony Huffman, Oliver He",,,,,,
VO:0004918,vaccine specific interleukin-10 response,vaccine-induced host response,vaccine-induced T-helper 2 type immune response,,,,,,,,,,,,vaccine-induced T-helper 2 type immune response that is indicated by the presence of interleukin-10 production,,"Anthony Huffman, Oliver He",,,,,,
VO:0004917,vaccine specific interleukin-4 response,vaccine-induced host response,vaccine-induced T-helper 2 type immune response,,,,,,,,,,,,vaccine-induced T-helper 2 type immune response that is indicated by the presence of interleukin-4 production,,"Anthony Huffman, Oliver He",,,,,,
VO:0004920,vaccine specific Th2 immune response indicated by IgG1  production,vaccine-induced host response,vaccine-induced T-helper 2 type immune response,,,,,,,,,,,,vaccine-induced T-helper 2 type immune response that is indicated by the presence of IgG1 production,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC101669/,"Anthony Huffman, Oliver He",,,,,,
VO:0003348,live attenuated vaccine-induced up-regulated gene expression compared to infection with wild type pathogen,vaccine-induced host response,vaccine-induced up-regulated gene expression,,,,,,,,,,,,A vaccine-induced up-regulation gene expression that occurs in live attenuated vaccine and compared with the host system infected with live wild type virulent strain which is the parent strain of this live attenuated vaccine. ,,"YH, RR",,,,,,
VO:0000163,vaccine-induced gene up-regulation controlling intracellular bacterial replication,vaccine-induced host response,vaccine-induced up-regulated gene expression,,,,,,,,,,,,,,,,,,,,
VO:0000399,vaccine-induced T cell interferon-gramm production boosted by IL-15 vaccine adjuvant,vaccine-induced host response,"vaccine-induced, adjuvant boosted T cell interferon-gramm production",,,,,,,,,,,,A vaccine-induced adjuvant boosted T cell interferon-gramm production that results from the addition of a IL-15 vaccine adjuvant,PMID:  18472194,YH,,,,,,
VO:0003023,vaccine reconstitution,vaccine preparation,vaccine preparation,,,material combination,,,,,,,,,A vaccine prepration process that mixes vaccine lyophilized powder and diluent liquid. The process forms a vaccine that can be used for administration. This term can also be considered as a child term of OBI term 'material combination'. ,WEB: http://www.thehaiticonnection.org/medical/reconstitution.pdf,"YL, YH",,,,,,"A vaccine may include vaccine powder and solvent. When the two mix, we get a vaccine solution, which can be used to inject. Examples:
http://www.medicines.org.uk/guides/acwy%20vax/Vaccinations%20%28all%29/
http://www.medicines.org.uk/guides/menitorix/Vaccinations%20%28all%29/ 
http://www.medicines.org.uk/guides/priorix/Vaccinations%20%28all%29/ |Use only the specific diluent provided by the manufacturer for each type of vaccine to ensure adequate potency and safety of the resulting mixture."
VO:0010230,"tuberculin skin test; old tuberculin, multipuncture device",assay,Tuberculin Skin Test,,,,,,,,,,,,,,Jie Zheng,,TST-OT tine test,,,,
VO:0010231,"tuberculin skin test; purified protein derivative solution, intradermal",assay,Tuberculin Skin Test,,,,,,,,,,,,,,Jie Zheng,,TST-PPD intradermal,,,,
VO:0010232,"tuberculin skin test; purified protein derivative, multipuncture device",assay,Tuberculin Skin Test,,,,,,,,,,,,,,Jie Zheng,,TST-PPD tine test,,,,
VO:0010233,tuberculin skin test; unspecified formulation,assay,Tuberculin Skin Test,,,,,,,,,,,,,,Jie Zheng,,"TST, unspecified formulation",,,,
VO:0010285,vaccine challenge survival assay,assay,OBI:0000070,,,,,,,,,,,,An assay that measures the survival rate of organisms exposed to a pathogen.,,Anthony Huffman,,,,,,
VO:0010286,pathogen gut adhesion assay,assay,OBI:0000070,,,,,,,,,,,,An assay that measures the gut adhesion of a pathogen within an organism.,,Anthony Huffman,,,,,,
VO:0010287,viral neutralization titer assay,assay,OBI:0000070,,,,,,,,,,,,An assay that measures the titer of antibodies that neturalize a pathogen within an organism.,,Anthony Huffman,,,,,,
