[class]	label
<http://purl.obolibrary.org/obo/VO_0003608>	Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.03 MG/ML / Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.03 MG/ML / Influenza B virus vaccine, B-Brisbane-60-2008-like virus 0.03 MG/ML / Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.03 MG/ML [Fluzone Quadrivalent 2013-2014 Formula]
<http://purl.obolibrary.org/obo/VO_0003609>	Fluzone Quadrivalent 2013-2014 Formula Influenza Virus Vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003610>	Fluzone Quadrivalent 2013-2014 Formula Influenza Virus Vaccine 0.25 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003611>	Fluzone Quadrivalent 2014-2015 Formula
<http://purl.obolibrary.org/obo/VO_0003612>	Fluzone Quadrivalent 2014-2015 Formula Injectable Product
<http://purl.obolibrary.org/obo/VO_0003613>	Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.09 MG/ML / Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.09 MG/ML / Influenza B virus vaccine, B-Brisbane-60-2008-like virus 0.09 MG/ML / Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.09 MG/ML [Fluzone Quadrivalent 2014-2015 Formula]
<http://purl.obolibrary.org/obo/VO_0003614>	Fluzone Quadrivalent 2014-2015 Formula Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003615>	Fluzone Quadrivalent 2014-2015 Formula 0.1 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003616>	Fluzone Quadrivalent 2015-2016
<http://purl.obolibrary.org/obo/VO_0003617>	Fluzone Quadrivalent 2015-2016 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003618>	influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluzone Quadrivalent 2015-2016]
<http://purl.obolibrary.org/obo/VO_0003619>	influenza A virus A/California/7/2009 (H1N1) antigen 0.09 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML [Fluzone Quadrivalent 2015-2016]
<http://purl.obolibrary.org/obo/VO_0003620>	Fluzone Quadrivalent 2015-2016 Injection
<http://purl.obolibrary.org/obo/VO_0003621>	Fluzone Quadrivalent 2015-2016 vaccine 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003622>	Fluzone Quadrivalent 2015-2016 vaccine Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003623>	Fluzone Quadrivalent 2015-2016 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003624>	Fluzone Quadrivalent 2015-2016 vaccine 0.1 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003625>	Fluzone Quadrivalent 2015-2016 vaccine 0.25 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003626>	Fluzone Quadrivalent 2015-2016 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003627>	Fluzone Quadrivalent 2016-2017
<http://purl.obolibrary.org/obo/VO_0003628>	Fluzone Quadrivalent 2016-2017 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003629>	influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluzone Quadrivalent 2016-2017]
<http://purl.obolibrary.org/obo/VO_0003630>	influenza A virus A/California/7/2009 (H1N1) antigen 0.09 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML [Fluzone Quadrivalent 2016-2017]
<http://purl.obolibrary.org/obo/VO_0003631>	Fluzone Quadrivalent 2016-2017 Formula Injection
<http://purl.obolibrary.org/obo/VO_0003632>	Fluzone Quadrivalent 2016-2017 Formula 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003633>	Fluzone Quadrivalent 2016-2017 Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003634>	Fluzone Quadrivalent 2016-2017 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003635>	Fluzone Quadrivalent 2016-2017 vaccine 0.1 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003636>	Fluzone Quadrivalent 2016-2017 vaccine 0.25 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003637>	Fluzone Quadrivalent 2016-2017 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003638>	Fluzone Quadrivalent 2017-2018
<http://purl.obolibrary.org/obo/VO_0003639>	Fluzone Quadrivalent 2017-2018 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003640>	influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluzone Quadrivalent 2017-2018]
<http://purl.obolibrary.org/obo/VO_0003641>	influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.09 MG/ML / influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML [Fluzone Quadrivalent 2017-2018]
<http://purl.obolibrary.org/obo/VO_0003642>	Fluzone Quadrivalent 2017-2018 vaccine Injection
<http://purl.obolibrary.org/obo/VO_0003643>	Fluzone Quadrivalent 2017-2018 vaccine 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003644>	Fluzone Quadrivalent 2017-2018 vaccine Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003645>	Fluzone Quadrivalent 2017-2018 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003646>	Fluzone Quadrivalent 2017-2018 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003647>	Fluzone Quadrivalent 2017-2018 vaccine 0.25 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003648>	Fluzone Quadrivalent 2017-2018 vaccine 0.1 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003649>	Fluzone Quadrivalent 2018-2019
<http://purl.obolibrary.org/obo/VO_0003650>	Fluzone Quadrivalent 2018-2019 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003651>	influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluzone Quadrivalent 2018-2019]
<http://purl.obolibrary.org/obo/VO_0003652>	Fluzone Quadrivalent 2018-2019 vaccine Injection
<http://purl.obolibrary.org/obo/VO_0003653>	Fluzone Quadrivalent 2018-2019 vaccine 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003654>	Fluzone Quadrivalent 2018-2019 vaccine Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003655>	Fluzone Quadrivalent 2018-2019 Vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003656>	Fluzone Quadrivalent Pediatric Dose for 6-35 Months of Age 2018-2019 Vaccine 0.25 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003657>	Fluzone Quadrivalent 2018-2019 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003665>	YF-Vax Injectable Product
<http://purl.obolibrary.org/obo/VO_0003666>	YF-VAX Injection
<http://purl.obolibrary.org/obo/VO_0003667>	YF-VAX 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003668>	YF-Vax 4000 UNT/ML Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003669>	YF-Vax Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003670>	Yellow-Fever Virus Vaccine, 17D-204 strain 4000 UNT/ML [YF-Vax]
<http://purl.obolibrary.org/obo/VO_0003671>	PedvaxHIB Injectable Product
<http://purl.obolibrary.org/obo/VO_0003672>	Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine 0.265 MG/ML [PedvaxHIB]
<http://purl.obolibrary.org/obo/VO_0003673>	PedvaxHIB vaccine Injection
<http://purl.obolibrary.org/obo/VO_0003674>	PedvaxHIB vaccine 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003675>	Fluvirin 2015-2016
<http://purl.obolibrary.org/obo/VO_0003676>	Fluvirin 2015-2016 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003677>	influenza A virus A/Christchurch/16/2010 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluvirin 2015-2016]
<http://purl.obolibrary.org/obo/VO_0003678>	Fluvirin 2015-2016 vaccine Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003679>	Fluvirin 2015-2016 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003680>	Fluvirin 2015-2016 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003681>	Fluvirin 2016-2017
<http://purl.obolibrary.org/obo/VO_0003682>	Fluvirin 2016-2017 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003683>	influenza A virus A/Christchurch/16/2010 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML [Fluvirin 2016-2017]
<http://purl.obolibrary.org/obo/VO_0003684>	Fluvirin 2016-2017 vaccine Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003685>	Fluvirin 2016-2017 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003686>	Fluvirin 2016-2017 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003687>	Fluvirin 2017-2018
<http://purl.obolibrary.org/obo/VO_0003688>	Fluvirin 2017-2018 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003689>	influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML [Fluvirin 2017-2018]
<http://purl.obolibrary.org/obo/VO_0003690>	Fluvirin 2017-2018 vaccine Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003691>	Fluvirin 2017-2018 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003692>	Fluvirin 2017-2018 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003693>	Fluarix Quadrivalent 2015-2016
<http://purl.obolibrary.org/obo/VO_0003694>	Fluarix Quadrivalent 2015-2016 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003695>	influenza A virus A/Christchurch/16/2010 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluarix Quadrivalent 2015-2016]
<http://purl.obolibrary.org/obo/VO_0003696>	FLUARIX QUADRIVALENT 2015-2016 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003697>	FLUARIX QUADRIVALENT 2015-2016 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003698>	Fluarix Quadrivalent 2016-2017
<http://purl.obolibrary.org/obo/VO_0003699>	Fluarix Quadrivalent 2016-2017 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003700>	influenza A virus A/Christchurch/16/2010 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluarix Quadrivalent 2016-2017]
<http://purl.obolibrary.org/obo/VO_0003701>	FLUARIX QUADRIVALENT 2016-2017 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003702>	FLUARIX QUADRIVALENT 2016-2017 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003703>	Fluarix Quadrivalent 2017-2018
<http://purl.obolibrary.org/obo/VO_0003704>	Fluarix Quadrivalent 2017-2018 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003705>	influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluarix Quadrivalent 2017-2018]
<http://purl.obolibrary.org/obo/VO_0003706>	Fluarix Quadrivalent 2017-2018 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003707>	Fluarix Quadrivalent 2017-2018 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003708>	Fluarix Quadrivalent 2018-2019
<http://purl.obolibrary.org/obo/VO_0003709>	Fluarix Quadrivalent 2018-2019 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003710>	influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluarix Quadrivalent 2018-2019]
<http://purl.obolibrary.org/obo/VO_0003711>	FLUARIX QUADRIVALENT 2018-2019 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003712>	FLUARIX QUADRIVALENT 2018-2019 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003715>	Afluria 2015-2016
<http://purl.obolibrary.org/obo/VO_0003716>	Afluria 2015-2016 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003717>	influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/South Australia/55/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Afluria 2015-2016]
<http://purl.obolibrary.org/obo/VO_0003718>	afluria 2015-2016 vaccine Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003719>	Afluria 2015-2016 Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003720>	Afluria 2015-2016 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003721>	Afluria 2016-2017
<http://purl.obolibrary.org/obo/VO_0003722>	Afluria 2016-2017 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003723>	influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML [Afluria 2016-2017]
<http://purl.obolibrary.org/obo/VO_0003724>	Afluria 2016-2017 vaccine Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003725>	Afluria 2016-2017 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003726>	afluria 2016-2017 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003727>	Afluria 2017-2018
<http://purl.obolibrary.org/obo/VO_0003728>	Afluria 2017-2018 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003729>	influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Brisbane/46/2015 antigen 0.03 MG/ML [Afluria 2017-2018]
<http://purl.obolibrary.org/obo/VO_0003730>	Afluria 2017-2018 vaccine Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003731>	Afluria 2017-2018 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003732>	Afluria 2017-2018 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003733>	Afluria 2018-2019
<http://purl.obolibrary.org/obo/VO_0003734>	Afluria 2018-2019 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003735>	influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.03 MG/ML [Afluria 2018-2019]
<http://purl.obolibrary.org/obo/VO_0003736>	afluria 2018-2019 vaccine Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003737>	Afluria 2018-2019 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003738>	Afluria 2018-2019 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003739>	Afluria Quadrivalent 2016-2017 Formula Injectable Product
<http://purl.obolibrary.org/obo/VO_0003740>	influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Afluria Quadrivalent 2016-2017 Formula]
<http://purl.obolibrary.org/obo/VO_0003741>	Afluria Quadrivalent 2016-2017 Formula Influenza Virus Vaccine Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003742>	Afluria Quadrivalent 2016-2017 Formula Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003743>	Afluria Quadrivalent 2016-2017 Formula 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003744>	Afluria Quadrivalent 2016-2017 Formula
<http://purl.obolibrary.org/obo/VO_0003745>	Afluria Quadrivalent 2017-2018
<http://purl.obolibrary.org/obo/VO_0003746>	Afluria Quadrivalent 2017-2018 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003747>	influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Brisbane/46/2015 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Afluria Quadrivalent 2017-2018]
<http://purl.obolibrary.org/obo/VO_0003748>	Afluria Quadrivalent 2017-2018 vaccine Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003749>	Afluria Quadrivalent 2017-2018 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003750>	Afluria Quadrivalent 2017-2018 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003751>	Afluria Quadrivalent 2018-2019
<http://purl.obolibrary.org/obo/VO_0003752>	Afluria Quadrivalent 2018-2019 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003753>	influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Afluria Quadrivalent 2018-2019]
<http://purl.obolibrary.org/obo/VO_0003754>	Afluria Quadrivalent 2018-2019 vaccine Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003755>	Afluria Quadrivalent 2018-2019 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003756>	Afluria Quadrivalent 2018-2019 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003757>	Flulaval Quadrivalent 2016-2017
<http://purl.obolibrary.org/obo/VO_0003758>	Flulaval Quadrivalent 2016-2017 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003759>	influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Flulaval Quadrivalent 2016-2017]
<http://purl.obolibrary.org/obo/VO_0003760>	FLULAVAL QUADRIVALENT 2016-2017 vaccine Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003761>	Flulaval Quadrivalent 2016-2017 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003762>	Flulaval Quadrivalent 2016-2017 vaccine 0.5 Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003763>	FluLaval Quadrivalent 2015-2016
<http://purl.obolibrary.org/obo/VO_0003764>	FluLaval Quadrivalent 2015-2016 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003765>	influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [FluLaval Quadrivalent 2015-2016]
<http://purl.obolibrary.org/obo/VO_0003766>	FLULAVAL QUADRIVALENT 2015-2016 vaccine Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003767>	Flulaval Quadrivalent 2017-2018
<http://purl.obolibrary.org/obo/VO_0003768>	Flulaval Quadrivalent 2017-2018 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003769>	influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Flulaval Quadrivalent 2017-2018]
<http://purl.obolibrary.org/obo/VO_0003770>	FLULAVAL QUADRIVALENT 2017-2018 vaccine Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003771>	Flulaval Quadrivalent 2017-2018 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003772>	Flulaval Quadrivalent 2017-2018 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003773>	Flulaval Quadrivalent 2018-2019
<http://purl.obolibrary.org/obo/VO_0003774>	Flulaval Quadrivalent 2018-2019 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003775>	influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Flulaval Quadrivalent 2018-2019]
<http://purl.obolibrary.org/obo/VO_0003776>	Flulaval Quadrivalent 2018-2019 vaccine Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003777>	Flulaval Quadrivalent 2018-2019 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003778>	Flulaval Quadrivalent 2018-2019 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003779>	Flucelvax 2015-2016
<http://purl.obolibrary.org/obo/VO_0003780>	Flucelvax 2015-2016 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003781>	influenza A virus A/Brisbane/10/2010 (H1N1) antigen 0.03 MG/ML / influenza A virus A/South Australia/55/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Utah/9/2014 antigen 0.03 MG/ML [Flucelvax 2015-2016]
<http://purl.obolibrary.org/obo/VO_0003782>	FLUCELVAX 2015-2016 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003783>	FLUCELVAX 2015-2016 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003784>	Flucelvax Quadrivalent 2016-2017
<http://purl.obolibrary.org/obo/VO_0003785>	Flucelvax Quadrivalent 2016-2017 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003786>	influenza A virus A/Brisbane/10/2010 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Hong Kong/259/2010 antigen 0.03 MG/ML / influenza B virus B/Utah/9/2014 antigen 0.03 MG/ML [Flucelvax Quadrivalent 2016-2017]
<http://purl.obolibrary.org/obo/VO_0003787>	FLUCELVAX QUADRIVALENT 2016-2017 Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003788>	FLUCELVAX QUADRIVALENT 2016-2017 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003791>	Flucelvax Quadrivalent 2017-2018
<http://purl.obolibrary.org/obo/VO_0003792>	Flucelvax Quadrivalent 2017-2018 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003793>	influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Singapore/GP2050/2015 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Hong Kong/259/2010 antigen 0.03 MG/ML / influenza B virus B/Utah/9/2014 antigen 0.03 MG/ML [Flucelvax Quadrivalent 2017-2018]
<http://purl.obolibrary.org/obo/VO_0003794>	FLUCELVAX Quadrivalent 2017-2018 Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003795>	Flucelvax Quadrivalent 2017-2018 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003796>	Flucelvax Quadrivalent 2017-2018 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003797>	Shingrix Injectable Product
<http://purl.obolibrary.org/obo/VO_0003798>	Varicella zoster virus glycoprotein E, recombinant 0.1 MG/ML [Shingrix]
<http://purl.obolibrary.org/obo/VO_0003799>	Shingrix vaccine 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003800>	0.5 ML Shingrix 0.1 MG/ML Injection
<http://purl.obolibrary.org/obo/VO_0003806>	Flumist 2015-2016
<http://purl.obolibrary.org/obo/VO_0003807>	Flumist Quadrivalent 2016-2017
<http://purl.obolibrary.org/obo/VO_0003808>	Flumist Quadrivalent 2017-2018
<http://purl.obolibrary.org/obo/VO_0003809>	FluMist Quadrivalent, 2015-2016 Formula Nasal Spray
<http://purl.obolibrary.org/obo/VO_0003810>	influenza A virus A/Bolivia/559/2013 (H1N1) antigen 50000000 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 50000000 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 50000000 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 50000000 MG/ML [Flumist 2015-2016]
