[class]	label	factory
<http://purl.obolibrary.org/obo/VO_0001719>	Newcastle Disease Killed Virus Vaccine (USDA: 1705.15)	Lohman Animal Health International
<http://purl.obolibrary.org/obo/VO_0001722>	Pasteurella Multocida Avirulent Live Culture, Avian Isolate Vaccine (USDA: 1871.01)	Biomune
<http://purl.obolibrary.org/obo/VO_0001725>	Pasteurella Multocida Avirulent Live Culture, Avian Isolate Vaccine (USDA: 1871.04)	Intervet
<http://purl.obolibrary.org/obo/VO_0001726>	Pasteurella Multocida Avirulent Live Culture, Avian Isolate Vaccine (USDA: 1871.05)	Intervet
<http://purl.obolibrary.org/obo/VO_0001727>	Salmonella Typhimurium Live Culture Vaccine (USDA: 19C1.00)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001728>	Salmonella Typhimurium Live Culture Vaccine (USDA: 19C1.01)	Lohman Animal Health International
<http://purl.obolibrary.org/obo/VO_0001730>	Tenosynovitis Live Virus Vaccine (USDA: 1951.10)	Intervet
<http://purl.obolibrary.org/obo/VO_0001732>	Tenosynovitis Modified Live Virus Vaccine (USDA: 1951.02)	Intervet
<http://purl.obolibrary.org/obo/VO_0001733>	Tenosynovitis Modified Live Virus Vaccine (USDA: 1951.03)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001736>	Tenosynovitis Modified Live Virus Vaccine (USDA: 1952.01)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001737>	Duck Virus Enteritis Modified Live Virus Vaccine (USDA: 1461.10)	International Duck Research Cooperative, Inc.
<http://purl.obolibrary.org/obo/VO_0001738>	Duck Virus Hepatitis Modified Live Virus Vaccine (USDA: 14B1.10)	International Duck Research Cooperative, Inc.
<http://purl.obolibrary.org/obo/VO_0001739>	Riemerella Anatipestifer Avirulent Live Culture Vaccine (USDA: 1811.00)	International Duck Research Cooperative, Inc.
<http://purl.obolibrary.org/obo/VO_0001740>	Flavobacterium Columnare Avirulent Live Culture Vaccine (USDA: 17F1.00)	Intervet
<http://purl.obolibrary.org/obo/VO_0001744>	Canine Coronavirus Killed Virus Vaccine (USDA: 14P5.21)	Intervet
<http://purl.obolibrary.org/obo/VO_0001745>	Canine Coronavirus Modified Live Virus Vaccine (USDA: 14P1.20)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001746>	Canine Influenza H3N8, Killed Virus Vaccine (USDA: 15K5.20)	Intervet
<http://purl.obolibrary.org/obo/VO_0001749>	Distemper Modified Live Virus Vaccine (USDA: 1471.10)	United Vaccines, Inc
<http://purl.obolibrary.org/obo/VO_0001750>	Giardia Lamblia Killed Protozoa Vaccine (USDA: 18G5.00)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001751>	Neospora Caninum Killed Protozoa Vaccine (USDA: 1N11.00)	Intervet
<http://purl.obolibrary.org/obo/VO_0001753>	Parvovirus Killed Virus Vaccine (USDA: 18P5.21)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001762>	Rabies Killed Virus Vaccine (USDA: 1905.22)	Intervet
<http://purl.obolibrary.org/obo/VO_0001765>	Rabies Live Canarypox Vector Vaccine (USDA: 1901.R1)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001767>	Rabies Live Vaccinia Vector Vaccine (USDA: 1901.R0)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001768>	Equine Arteritis Modified Live Virus Vaccine (USDA: 1531.20)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001769>	Equine Influenza Killed Virus Vaccine (USDA: 1505.10)	ProtaTek International, Inc
<http://purl.obolibrary.org/obo/VO_0001771>	Equine Influenza Killed Virus Vaccine (USDA: 1505.21)	Boehringer-Ingelheim Vetmedica, Inc
<http://purl.obolibrary.org/obo/VO_0001772>	Equine Influenza Killed Virus Vaccine (USDA: 1505.24)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001773>	Equine Influenza Killed Virus Vaccine (USDA: 1505.25)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001775>	Equine Influenza Live Canarypox Vector Vaccine (USDA: 1501.R0)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001776>	Equine Influenza Modified Live Virus Vaccine (USDA: 1501.10)	Heska Corporation
<http://purl.obolibrary.org/obo/VO_0001778>	Equine Rhinopneumonitis Killed Virus Vaccine (USDA: 1525.20)	Boehringer-Ingelheim Vetmedica, Inc
<http://purl.obolibrary.org/obo/VO_0001780>	Equine Rhinopneumonitis Killed Virus Vaccine (USDA: 1525.22)	Intervet
<http://purl.obolibrary.org/obo/VO_0001781>	Equine Rhinopneumonitis Killed Virus Vaccine (USDA: 1525.24)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001782>	Equine Rhinopneumonitis Modified Live Virus Vaccine (USDA: 1521.20)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001783>	Equine Rotavirus Killed Virus Vaccine (USDA: 1E15.20)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001784>	Streptococcus Equi Live Culture Vaccine (USDA: 1831.00)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001787>	Chlamydia Psittaci Modified Live Chlamydia Vaccine (USDA: 1581.20)	Intervet
<http://purl.obolibrary.org/obo/VO_0001791>	Erysipelothrix Rhusiopathiae Avirulent Live Culture Vaccine (USDA: 1541.02)	Arko Laboratories Ltd
<http://purl.obolibrary.org/obo/VO_0001795>	Lawsonia Intracellularis Avirulent Live Culture Vaccine (USDA: 10L1.00)	Boehringer-Ingelheim Vetmedica, Inc
<http://purl.obolibrary.org/obo/VO_0001796>	Lawsonia Intracellularis Avirulent Live Culture Vaccine (USDA: 10L1.01)	Boehringer-Ingelheim Vetmedica, Inc
<http://purl.obolibrary.org/obo/VO_0001797>	Lawsonia Intracellularis Avirulent Live Culture Vaccine (USDA: 10L1.02)	Boehringer-Ingelheim Vetmedica, Inc
<http://purl.obolibrary.org/obo/VO_0001798>	Porcine Circovirus Type 2, Killed Virus Vaccine (USDA: 19K5.20)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001800>	Porcine Reproductive & Respiratory Syndrome Reproductive & Respiratory Form, Modified Live Virus Vaccine (USDA: 19T1.21)	Boehringer-Ingelheim Vetmedica, Inc
<http://purl.obolibrary.org/obo/VO_0001801>	Porcine Reproductive & Respiratory Syndrome Reproductive Form, Killed Virus Vaccine (USDA: 19S5.20)	Intervet
<http://purl.obolibrary.org/obo/VO_0001802>	Porcine Reproductive & Respiratory Syndrome Reproductive Form, Modified Live Virus Vaccine (USDA: 19Q1.20)	Intervet
<http://purl.obolibrary.org/obo/VO_0001804>	Porcine Reproductive & Respiratory Syndrome Respiratory Form, Modified Live Virus Vaccine (USDA: 19S1.21)	Boehringer-Ingelheim Vetmedica, Inc
<http://purl.obolibrary.org/obo/VO_0001805>	Porcine Rotavirus Modified Live Virus Vaccine (USDA: 19E1.20)	Intervet
<http://purl.obolibrary.org/obo/VO_0001809>	Pseudorabies Modified Live Virus Vaccine (USDA: 1891.R4)	Intervet
<http://purl.obolibrary.org/obo/VO_0001810>	Swine Influenza pH1N1, Killed Virus Vaccine (USDA: 19A5.2P)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001813>	West Nile Virus Killed Virus Vaccine (USDA: 1995.22)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001814>	West Nile Virus Live Canarypox Vector Vaccine (USDA: 1991.R0)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001815>	West Nile Virus Live Flavivirus Chimera Vaccine (USDA: 1991.R1)	Intervet
<http://purl.obolibrary.org/obo/VO_0001816>	Bluetongue Modified Live Virus Vaccine (USDA: 1061.00)	Colorado Serum Company CZ Veterinaria
<http://purl.obolibrary.org/obo/VO_0001819>	Arthrobacter  Live Culture  Vaccine (USDA: 1K11.00)	Novartis Animal Health US, Inc.
<http://purl.obolibrary.org/obo/VO_0001823>	Escherichia coli live culture vaccine (USDA: 1551.R0)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001826>	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.12)	Intervet
<http://purl.obolibrary.org/obo/VO_0001828>	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.23)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001831>	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.29)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001832>	Mink Distemper-Enteritis Modified Live & Killed Virus Vaccine (USDA: 1679.31)	United Vaccines, Inc
<http://purl.obolibrary.org/obo/VO_0001834>	Mink Distemper-Enteritis Modified Live & Killed Virus Vaccine-Clostridium botulinum Type C-Pseudomonas aeruginosa Bacterin-Toxoid (USDA: 4949.20)	Intervet
<http://purl.obolibrary.org/obo/VO_0001835>	Mink Distemper-Enteritis Modified Live & Killed Virus Vaccine-Clostridium botulinum Type C-Pseudomonas aeruginosa Bacterin-Toxoid (USDA: 4949.31)	United Vaccines, Inc
<http://purl.obolibrary.org/obo/VO_0001836>	Mink Distemper-Enteritis Modified Live Virus & Killed Virus Vaccine-Clostridium botulinum Type C Bacterin-Toxoid (USDA: 4929.20)	Intervet
<http://purl.obolibrary.org/obo/VO_0001837>	Mink Enteritis Killed Virus Vaccine-Clostridium botulinum Type C Bacterin-Toxoid (USDA: 4955.20)	Intervet
<http://purl.obolibrary.org/obo/VO_0001839>	Mink Enteritis Killed Virus Vaccine-Clostridium botulinum Type C-Pseudomonas aeruginosa Bacterin-Toxoid (USDA: 49A5.20)	Intervet
<http://purl.obolibrary.org/obo/VO_0001840>	Mink Enteritis Killed Virus Vaccine-Clostridium botulinum Type C-Pseudomonas aeruginosa Bacterin-Toxoid (USDA: 49A5.21)	United Vaccines, Inc
<http://purl.obolibrary.org/obo/VO_0001841>	Feline Immunodeficiency-Leukemia Virus Killed Virus Vaccine (USDA: 15D5.R0)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001842>	Feline Leukemia-Chlamydia Psittaci Killed Virus, Killed Chlamydia Vaccine (USDA: 1A69.20)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001843>	Feline Leukemia-Rhinotracheitis-Calici-Panleukopenia Killed Virus Vaccine (USDA: 15B5.20)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001845>	Feline Leukemia-Rhinotracheitis-Calici-Panleukopenia Modified Live & Killed Virus Vaccine (USDA: 15B9.20)	Intervet
<http://purl.obolibrary.org/obo/VO_0001846>	Feline Leukemia-Rhinotracheitis-Calici-Panleukopenia Modified Live & Killed Virus Vaccine (USDA: 15B9.21)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001847>	Feline Leukemia-Rhinotracheitis-Calici-Panleukopenia-Chlamydia Psittaci Killed Virus, Killed Chlamydia Vaccine (USDA: 1559.20)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001848>	Feline Leukemia-Rhinotracheitis-Calici-Panleukopenia-Chlamydia Psittaci Killed Virus, Killed Chlamydia Vaccine (USDA: 1559.23)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001850>	Feline Leukemia-Rhinotracheitis-Calici-Panleukopenia-Chlamydia Psittaci Modified Live & Killed Virus, Modified Live Chlamydia Vaccine (USDA: 1559.2B)	Intervet
<http://purl.obolibrary.org/obo/VO_0001852>	Feline Rhinotracheitis-Calici-Chlamydia Psittaci Modified Live Virus, Modified Live Chlamydia Vaccine (USDA: 16F1.21)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001853>	Feline Rhinotracheitis-Calici-Panleukopenia Killed Virus Vaccine (USDA: 16D5.20)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001854>	Feline Rhinotracheitis-Calici-Panleukopenia Killed Virus Vaccine (USDA: 16D5.23)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001855>	Feline Rhinotracheitis-Calici-Panleukopenia Modified Live & Killed Virus Vaccine (USDA: 16D9.20)	Intervet
<http://purl.obolibrary.org/obo/VO_0001858>	Feline Rhinotracheitis-Calici-Panleukopenia Modified Live Virus Vaccine (USDA: 16D1.23)	Intervet
<http://purl.obolibrary.org/obo/VO_0001859>	Feline Rhinotracheitis-Calici-Panleukopenia Modified Live Virus Vaccine (USDA: 16D1.24)	Intervet
<http://purl.obolibrary.org/obo/VO_0001860>	Feline Rhinotracheitis-Calici-Panleukopenia Modified Live Virus Vaccine (USDA: 16D8.20)	Boehringer-Ingelheim Vetmedica, Inc
<http://purl.obolibrary.org/obo/VO_0001861>	Feline Rhinotracheitis-Calici-Panleukopenia Modified Live Virus Vaccine (USDA: 16D8.21)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001862>	Feline Rhinotracheitis-Calici-Panleukopenia-Chlamydia Psittaci Killed Virus, Killed Chlamydia Vaccine (USDA: 16E5.20)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001866>	Feline Rhinotracheitis-Calici-Panleukopenia-Chlamydia Psittaci Modified Live Virus, Modified Live Chlamydia Vaccine (USDA: 16E1.24)	Intervet
<http://purl.obolibrary.org/obo/VO_0001871>	Feline Rhinotracheitis-Calici-Panleukopenia-Rabies Modified Live Virus, Canarypox Vector Vaccine (USDA: 16T9.R0)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001875>	Bovine Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1161.00)	Heska Corporation
<http://purl.obolibrary.org/obo/VO_0001876>	Bovine Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1161.20)	Heska Corporation
<http://purl.obolibrary.org/obo/VO_0001877>	Bovine Rhinotracheitis Killed Virus Vaccine-Haemophilus somnus-Mannheimia Haemolytica-Pasteurella Multocida Bacterin-Toxoid (USDA: 45H5.20)	Texas Vet lab, Inc
<http://purl.obolibrary.org/obo/VO_0001881>	Bovine Rhinotracheitis Modified Live Virus Vaccine-Leptospira Grippotyphosa-Hardjo-Pomona Bacterin (USDA: 4059.00)	Colorado Serum Company CZ Veterinaria
<http://purl.obolibrary.org/obo/VO_0001885>	Bovine Rhinotracheitis-Parainfluenza 3 Killed Virus Vaccine-Mannheimia Haemolytica-Pasteurella Multocida Bacterin (USDA: 4265.00)	Boehringer-Ingelheim Vetmedica, Inc
<http://purl.obolibrary.org/obo/VO_0001889>	Bovine Rhinotracheitis-Parainfluenza 3 Modified Live Virus Vaccine (USDA: 1121.24)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001890>	Bovine Rhinotracheitis-Parainfluenza 3 Modified Live Virus Vaccine (USDA: 1121.31)	Intervet
<http://purl.obolibrary.org/obo/VO_0001891>	Bovine Rhinotracheitis-Parainfluenza 3 Modified Live Virus Vaccine-Haemophilus somnus Bacterin (USDA: 4139.20)	Boehringer-Ingelheim Vetmedica, Inc
<http://purl.obolibrary.org/obo/VO_0001893>	Bovine Rhinotracheitis-Parainfluenza 3 Modified Live Virus Vaccine-Leptospira Grippotyphosa-Hardjo-Pomona Bacterin (USDA: 4179.00)	Colorado Serum Company CZ Veterinaria
<http://purl.obolibrary.org/obo/VO_0001895>	Bovine Rhinotracheitis-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1071.00)	Heska Corporation
<http://purl.obolibrary.org/obo/VO_0001897>	Bovine Rhinotracheitis-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1071.21)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001898>	Bovine Rhinotracheitis-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1071.22)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001899>	Bovine Rhinotracheitis-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1071.23)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001900>	Bovine Rhinotracheitis-Respiratory Syncytial Virus Killed Virus Vaccine (USDA: 11B5.20)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001902>	Bovine Rhinotracheitis-Virus Diarrhea Killed Virus Vaccine (USDA: 1155.30)	Heska Corporation
<http://purl.obolibrary.org/obo/VO_0001904>	Bovine Rhinotracheitis-Virus Diarrhea Killed Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4145.21)	Heska Corporation
<http://purl.obolibrary.org/obo/VO_0001907>	Bovine Rhinotracheitis-Virus Diarrhea Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4335.20)	Heska Corporation
<http://purl.obolibrary.org/obo/VO_0001908>	Bovine Rhinotracheitis-Virus Diarrhea Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4336.30)	Heska Corporation
<http://purl.obolibrary.org/obo/VO_0001912>	Bovine Rhinotracheitis-Virus Diarrhea Modified Live Virus Vaccine (USDA: 1151.23)	Boehringer-Ingelheim Vetmedica, Inc
<http://purl.obolibrary.org/obo/VO_0001913>	Bovine Rhinotracheitis-Virus Diarrhea Modified Live Virus Vaccine (USDA: 1151.26)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001916>	Bovine Rhinotracheitis-Virus Diarrhea Modified Live Virus Vaccine-Leptospira Grippotyphosa-Hardjo-Pomona Bacterin (USDA: 4359.00)	Colorado Serum Company CZ Veterinaria
<http://purl.obolibrary.org/obo/VO_0001917>	Bovine Rhinotracheitis-Virus Diarrhea Modified Live Virus Vaccine-Leptospira Hardjo-Pomona Bacterin (USDA: 4399.20)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001922>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4435.20)	Novartis Animal Health US, Inc.
<http://purl.obolibrary.org/obo/VO_0001926>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine (USDA: 1171.24)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001927>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine (USDA: 1171.25)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001928>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine (USDA: 1171.26)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001929>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine (USDA: 1171.27)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001931>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4560.24)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001932>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4560.25)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001933>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine-Haemophilus somnus-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4489.30)	Boehringer-Ingelheim Vetmedica, Inc
<http://purl.obolibrary.org/obo/VO_0001934>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4439.00)	Colorado Serum Company CZ Veterinaria
<http://purl.obolibrary.org/obo/VO_0001938>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus  Killed Virus Vaccine-Mannheimia Haemolytica Bacterin (USDA: 44A5.20)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001939>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus  Modified Live Virus Vaccine (USDA: 1181.00)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001944>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus  Modified Live Virus Vaccine (USDA: 1181.24)	Boehringer-Ingelheim Vetmedica, Inc
<http://purl.obolibrary.org/obo/VO_0001945>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus  Modified Live Virus Vaccine (USDA: 1181.25)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001947>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus  Modified Live Virus Vaccine (USDA: 1181.28)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001952>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Campylobacter Fetus-Haemophilus somnus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 44M5.22)	Novartis Animal Health US, Inc.
<http://purl.obolibrary.org/obo/VO_0001953>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 44B5.20)	Novartis Animal Health US, Inc.
<http://purl.obolibrary.org/obo/VO_0001954>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 44B6.20)	Novartis Animal Health US, Inc.
<http://purl.obolibrary.org/obo/VO_0001956>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Haemophilus somnus Bacterin (USDA: 44C5.20)	Novartis Animal Health US, Inc.
<http://purl.obolibrary.org/obo/VO_0001958>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Haemophilus somnus Bacterin (USDA: 44D5.20)	Boehringer-Ingelheim Vetmedica, Inc
<http://purl.obolibrary.org/obo/VO_0001961>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Haemophilus somnus-Mannheimia Haemolytica Bacterin (USDA: 4477.20)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001963>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4465.21)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001967>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona-Mannheimia Haemolytica Bacterin (USDA: 4475.20)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001968>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine (USDA: 1187.20)	Heska Corporation
<http://purl.obolibrary.org/obo/VO_0001970>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine (USDA: 1187.22)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001971>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine (USDA: 1187.25)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001972>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine (USDA: 1189.00)	Heska Corporation
<http://purl.obolibrary.org/obo/VO_0001974>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine (USDA: 1189.30)	Heska Corporation
<http://purl.obolibrary.org/obo/VO_0001975>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 44B9.21)	Heska Corporation
<http://purl.obolibrary.org/obo/VO_0001976>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 44B9.22)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001977>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine-Haemophilus somnus Bacterin (USDA: 44F9.20)	Boehringer-Ingelheim Vetmedica, Inc
<http://purl.obolibrary.org/obo/VO_0001979>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4469.22)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001981>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4469.30)	Heska Corporation
<http://purl.obolibrary.org/obo/VO_0001983>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 44B1.22)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001984>	Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 44B1.23)	Pfizer Animal Health
