ID,LABEL in VO,RxNorm OMOP extension ID,RxNorm Preferred Name
VO:0020947,influenza A-California-7-2009-(H1N1)v-like virus vaccine 160000000 /ML / influenza B virus antigen 160000000 /ML Nasal Spray [FluMist Quadrivalent],OMOP1080824,influenza A-California-7-2009-(H1N1)v-like virus vaccine 160000000 /ML / influenza B virus antigen 160000000 /ML Nasal Spray [FluMist Quadrivalent]
VO:0017439,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.02 MG/ML Injection [Hiberix]",OMOP1080922,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.02 MG/ML Injection [Hiberix]"
VO:0017946,"diphtheria toxoid vaccine, inactivated 0.03 MG/ML / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.02 MG/ML Injectable Suspension [Meningitec]",OMOP1081305,"diphtheria toxoid vaccine, inactivated 0.03 MG/ML / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.02 MG/ML Injectable Suspension [Meningitec]"
VO:0018709,Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 1000 UNT Injectable Solution by Iaf Biovac,OMOP1082638,Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 1000 UNT Injectable Solution by Iaf Biovac
VO:0017793,Pertussis Vaccine 15000000000 UNT/ML Injectable Suspension Box of 5 by Aventis,OMOP1082959,Pertussis Vaccine 15000000000 UNT/ML Injectable Suspension Box of 5 by Aventis
VO:0017985,meningococcal group A polysaccharide 0.5 MG / meningococcal group C polysaccharide 0.5 MG Injectable Solution by Aventis,OMOP1083305,meningococcal group A polysaccharide 0.5 MG / meningococcal group C polysaccharide 0.5 MG Injectable Solution by Aventis
VO:0018630,"Japanese encephalitis virus vaccine, inactivated 1 UNT Injectable Suspension [Je-Vax] by The Res.Found.For Microb.Dis.Osaka University",OMOP1083507,"Japanese encephalitis virus vaccine, inactivated 1 UNT Injectable Suspension [Je-Vax] by The Res.Found.For Microb.Dis.Osaka University"
VO:0016875,"diphtheria toxoid vaccine, inactivated 0.2 LFU/ML Injectable Solution by Connaught",OMOP1084122,"diphtheria toxoid vaccine, inactivated 0.2 LFU/ML Injectable Solution by Connaught"
VO:0020369,Typhoid Vaccine Live Ty21a 10000000000 UNT,OMOP1085684,Typhoid Vaccine Live Ty21a 10000000000 UNT
VO:0020370,"Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain 1000000000 UNT/ML",OMOP1085685,"Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain 1000000000 UNT/ML"
VO:0018416,pneumococcal capsular polysaccharide type 7F vaccine 0.002 MG/ML,OMOP1085970,pneumococcal capsular polysaccharide type 7F vaccine 0.002 MG/ML
VO:0018410,pneumococcal capsular polysaccharide type 4 vaccine 0.006 MG/ML,OMOP1085971,pneumococcal capsular polysaccharide type 4 vaccine 0.006 MG/ML
VO:0017859,MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 0.5 MG,OMOP1086135,MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 0.5 MG
VO:0017860,MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 2.5 MG,OMOP1086136,MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 2.5 MG
VO:0017856,meningococcal group C polysaccharide 0.5 MG,OMOP1086137,meningococcal group C polysaccharide 0.5 MG
VO:0020944,influenza A-California-7-2009-(H1N1)v-like virus vaccine 160000000 /ML,OMOP1086312,influenza A-California-7-2009-(H1N1)v-like virus vaccine 160000000 /ML
VO:0015330,"Hepatitis A Vaccine, Inactivated 320 UNT/ML / Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain 0.05 MG/ML [Vivaxim]",OMOP1087862,"Hepatitis A Vaccine, Inactivated 320 UNT/ML / Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain 0.05 MG/ML [Vivaxim]"
VO:0017410,"diphtheria toxoid vaccine, inactivated 4 UNT/ML / Pertussis Vaccine 0.021 MG/ML / tetanus toxoid vaccine, inactivated 40 UNT/ML [Boostrix]",OMOP1088097,"diphtheria toxoid vaccine, inactivated 4 UNT/ML / Pertussis Vaccine 0.021 MG/ML / tetanus toxoid vaccine, inactivated 40 UNT/ML [Boostrix]"
VO:0020375,"Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain Intramuscular Solution",OMOP1089024,"Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain Intramuscular Solution"
VO:0018516,pneumococcal capsular polysaccharide type 1 vaccine Injectable Solution,OMOP1089071,pneumococcal capsular polysaccharide type 1 vaccine Injectable Solution
VO:0018128,"Measles Virus Vaccine Live, Enders' attenuated Edmonston strain / Mumps Virus Vaccine Live, Jeryl Lynn Strain / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) / Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injectable Solution",OMOP1089124,"Measles Virus Vaccine Live, Enders' attenuated Edmonston strain / Mumps Virus Vaccine Live, Jeryl Lynn Strain / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) / Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injectable Solution"
VO:0020368,"Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain Intramuscular Solution [Typhim V]",OMOP1089980,"Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain Intramuscular Solution [Typhim V]"
VO:0018200,"MEASLES VIRUS VACCINE,LIVE ATTENUATED / Mumps Virus Vaccine Live, Jeryl Lynn Strain / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) Injectable Solution [Priorix]",OMOP1090271,"MEASLES VIRUS VACCINE,LIVE ATTENUATED / Mumps Virus Vaccine Live, Jeryl Lynn Strain / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) Injectable Solution [Priorix]"
VO:0020942,influenza A-California-7-2009-(H1N1)v-like virus vaccine / influenza B virus antigen Nasal Spray [FluMist Quadrivalent],OMOP1090385,influenza A-California-7-2009-(H1N1)v-like virus vaccine / influenza B virus antigen Nasal Spray [FluMist Quadrivalent]
VO:0017357,"diphtheria toxoid vaccine, inactivated / Pertussis Vaccine / tetanus toxoid vaccine, inactivated Injectable Solution [Tri-Immunol Im]",OMOP1090597,"diphtheria toxoid vaccine, inactivated / Pertussis Vaccine / tetanus toxoid vaccine, inactivated Injectable Solution [Tri-Immunol Im]"
VO:0017908,"diphtheria toxoid vaccine, inactivated / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine Injectable Suspension [Menjugate]",OMOP1090704,"diphtheria toxoid vaccine, inactivated / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine Injectable Suspension [Menjugate]"
VO:0021034,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 4000 UNT/ML Injectable Solution,OMOP1091379,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 4000 UNT/ML Injectable Solution
VO:0017442,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.08 MG/ML Injectable Solution",OMOP1091899,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.08 MG/ML Injectable Solution"
VO:0017389,"diphtheria toxoid vaccine, inactivated 0.05 MG/ML / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.05 MG/ML Injectable Solution",OMOP1092046,"diphtheria toxoid vaccine, inactivated 0.05 MG/ML / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.05 MG/ML Injectable Solution"
VO:0017309,"Bordetella pertussis 0.01 MG/ML / diphtheria toxoid vaccine, inactivated 4 LFU/ML / Pertussis Vaccine 0.021 MG/ML / tetanus toxoid vaccine, inactivated 10 LFU/ML Injectable Suspension",OMOP1092047,"Bordetella pertussis 0.01 MG/ML / diphtheria toxoid vaccine, inactivated 4 LFU/ML / Pertussis Vaccine 0.021 MG/ML / tetanus toxoid vaccine, inactivated 10 LFU/ML Injectable Suspension"
VO:0016835,"diphtheria toxoid vaccine, inactivated 0.2 LFU/ML Injectable Solution Box of 5",OMOP1092049,"diphtheria toxoid vaccine, inactivated 0.2 LFU/ML Injectable Solution Box of 5"
VO:0020801,"BCG, Live, Tice Strain 800000000 UNT Injectable Solution",OMOP1092613,"BCG, Live, Tice Strain 800000000 UNT Injectable Solution"
VO:0020378,"Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain 0.05 MG/ML Intramuscular Solution [Typhim V]",OMOP1093128,"Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain 0.05 MG/ML Intramuscular Solution [Typhim V]"
VO:0018420,pneumococcal capsular polysaccharide type 1 vaccine 0.05 MG/ML Injectable Solution [Pnu-Imune],OMOP1093345,pneumococcal capsular polysaccharide type 1 vaccine 0.05 MG/ML Injectable Solution [Pnu-Imune]
VO:0018629,"Japanese encephalitis virus vaccine, inactivated 1 UNT Injectable Suspension [Je-Vax]",OMOP1093773,"Japanese encephalitis virus vaccine, inactivated 1 UNT Injectable Suspension [Je-Vax]"
VO:0018317,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT/ML Injectable Solution by Aventis",OMOP1095736,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT/ML Injectable Solution by Aventis"
VO:0016876,"diphtheria toxoid vaccine, inactivated 50 LFU/ML Injectable Solution by Aventis",OMOP1097136,"diphtheria toxoid vaccine, inactivated 50 LFU/ML Injectable Solution by Aventis"
VO:0020746,"BCG, Live, Montreal Strain 120 MG Injectable Solution [Pacis] by ID bio",OMOP1098082,"BCG, Live, Montreal Strain 120 MG Injectable Solution [Pacis] by ID bio"
VO:0021024,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 PFU/ML,OMOP1098676,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 PFU/ML
VO:0021001,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 1350 UNT,OMOP1098677,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 1350 UNT
VO:0018268,rabies virus vaccine flury-lep strain 2.5 UNT,OMOP1098926,rabies virus vaccine flury-lep strain 2.5 UNT
VO:0018414,pneumococcal capsular polysaccharide type 6B vaccine 0.002 MG/ML,OMOP1099002,pneumococcal capsular polysaccharide type 6B vaccine 0.002 MG/ML
VO:0017858,MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 0.008 MG/ML,OMOP1099170,MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 0.008 MG/ML
VO:0018172,"Measles Virus Vaccine Live, Enders' attenuated Edmonston strain 6 CELLS/ML",OMOP1099172,"Measles Virus Vaccine Live, Enders' attenuated Edmonston strain 6 CELLS/ML"
VO:0020954,influenza B virus antigen 160000000 /ML,OMOP1099304,influenza B virus antigen 160000000 /ML
VO:0018602,Human-Bovine Reassortant Rotavirus Strain G3 Vaccine 2220000 UNT,OMOP1099327,Human-Bovine Reassortant Rotavirus Strain G3 Vaccine 2220000 UNT
VO:0016691,"diphtheria toxoid vaccine, inactivated 0.2 LFU/ML",OMOP1099492,"diphtheria toxoid vaccine, inactivated 0.2 LFU/ML"
VO:0018380,pneumococcal capsular polysaccharide type 1 vaccine 0.05 MG/ML [Pneumovax 23],OMOP1100347,pneumococcal capsular polysaccharide type 1 vaccine 0.05 MG/ML [Pneumovax 23]
VO:0017823,"diphtheria toxoid vaccine, inactivated 0.03 MG/ML / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.02 MG/ML [Meningitec]",OMOP1101148,"diphtheria toxoid vaccine, inactivated 0.03 MG/ML / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.02 MG/ML [Meningitec]"
VO:0017371,"diphtheria toxoid vaccine, inactivated / tetanus toxin Injectable Suspension",OMOP1102155,"diphtheria toxoid vaccine, inactivated / tetanus toxin Injectable Suspension"
VO:0017370,"diphtheria toxoid vaccine, inactivated / tetanus toxin Injectable Solution",OMOP1102156,"diphtheria toxoid vaccine, inactivated / tetanus toxin Injectable Solution"
VO:0017302,"Bordetella pertussis / diphtheria toxoid vaccine, inactivated / Pertussis Vaccine / tetanus toxoid vaccine, inactivated Injectable Suspension",OMOP1102157,"Bordetella pertussis / diphtheria toxoid vaccine, inactivated / Pertussis Vaccine / tetanus toxoid vaccine, inactivated Injectable Suspension"
VO:0020818,"diphtheria toxoid vaccine, inactivated / influenza B virus antigen Injectable Solution",OMOP1102203,"diphtheria toxoid vaccine, inactivated / influenza B virus antigen Injectable Solution"
VO:0017314,"Candida albicans extract / diphtheria toxoid vaccine, inactivated / Glycerin / Proteus mirabilis / Purified Protein Derivative of Tuberculin / tetanus toxin Injectable Solution",OMOP1102280,"Candida albicans extract / diphtheria toxoid vaccine, inactivated / Glycerin / Proteus mirabilis / Purified Protein Derivative of Tuberculin / tetanus toxin Injectable Solution"
VO:0020753,"BCG, Live, Montreal Strain Injectable Solution",OMOP1102490,"BCG, Live, Montreal Strain Injectable Solution"
VO:0017304,"Bordetella pertussis / diphtheria toxoid vaccine, inactivated / Pertussis Vaccine / tetanus toxoid vaccine, inactivated Injectable Suspension [Tripacel]",OMOP1103465,"Bordetella pertussis / diphtheria toxoid vaccine, inactivated / Pertussis Vaccine / tetanus toxoid vaccine, inactivated Injectable Suspension [Tripacel]"
VO:0017907,"diphtheria toxoid vaccine, inactivated / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine Injectable Suspension [Meningitec]",OMOP1103579,"diphtheria toxoid vaccine, inactivated / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine Injectable Suspension [Meningitec]"
VO:0020805,"BCG, Live, Tice Strain Injectable Solution [OncoTICE]",OMOP1103954,"BCG, Live, Tice Strain Injectable Solution [OncoTICE]"
VO:0020397,Typhoid Vaccine Live Ty21a 10000000000 UNT Delayed Release Oral Capsule,OMOP1104281,Typhoid Vaccine Live Ty21a 10000000000 UNT Delayed Release Oral Capsule
VO:0020384,"Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain 0.05 MG/ML Intramuscular Solution",OMOP1104407,"Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain 0.05 MG/ML Intramuscular Solution"
VO:0018240,"MEASLES VIRUS VACCINE,LIVE ATTENUATED 2000 UNT/ML / Mumps Virus Vaccine Live, Jeryl Lynn Strain 20000 UNT/ML / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 2000 UNT/ML Injectable Solution",OMOP1104625,"MEASLES VIRUS VACCINE,LIVE ATTENUATED 2000 UNT/ML / Mumps Virus Vaccine Live, Jeryl Lynn Strain 20000 UNT/ML / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 2000 UNT/ML Injectable Solution"
VO:0018628,"Japanese encephalitis virus vaccine, inactivated 1 UNT Injectable Suspension",OMOP1104698,"Japanese encephalitis virus vaccine, inactivated 1 UNT Injectable Suspension"
VO:0020946,influenza A-California-7-2009-(H1N1)v-like virus vaccine 160000000 /ML / influenza B virus antigen 160000000 /ML Nasal Spray,OMOP1104724,influenza A-California-7-2009-(H1N1)v-like virus vaccine 160000000 /ML / influenza B virus antigen 160000000 /ML Nasal Spray
VO:0018039,"poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML Injectable Solution Box of 5",OMOP1104726,"poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML Injectable Solution Box of 5"
VO:0015331,"Hepatitis A Vaccine, Inactivated 320 UNT/ML / Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain 0.05 MG/ML Intramuscular Solution",OMOP1104756,"Hepatitis A Vaccine, Inactivated 320 UNT/ML / Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain 0.05 MG/ML Intramuscular Solution"
VO:0017434,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.015 MG / Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.25 MG Injectable Solution",OMOP1104772,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.015 MG / Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.25 MG Injectable Solution"
VO:0020744,"BCG, Live, Montreal Strain 120 MG Injectable Solution",OMOP1105437,"BCG, Live, Montreal Strain 120 MG Injectable Solution"
VO:0017795,Pertussis Vaccine 600 UNT/ML Injectable Suspension,OMOP1105653,Pertussis Vaccine 600 UNT/ML Injectable Suspension
VO:0021035,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 4000 UNT/ML Injectable Solution [Varilrix],OMOP1105741,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 4000 UNT/ML Injectable Solution [Varilrix]
VO:0021005,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 1350 UNT Injection [Varivax],OMOP1105742,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 1350 UNT Injection [Varivax]
VO:0020376,Typhoid Vaccine Live Ty21a 10000000000 UNT Oral Powder [Vivotif],OMOP1105766,Typhoid Vaccine Live Ty21a 10000000000 UNT Oral Powder [Vivotif]
VO:0018241,"MEASLES VIRUS VACCINE,LIVE ATTENUATED 2000 UNT/ML / Mumps Virus Vaccine Live, Jeryl Lynn Strain 20000 UNT/ML / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 2000 UNT/ML Injectable Solution [Priorix]",OMOP1106432,"MEASLES VIRUS VACCINE,LIVE ATTENUATED 2000 UNT/ML / Mumps Virus Vaccine Live, Jeryl Lynn Strain 20000 UNT/ML / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 2000 UNT/ML Injectable Solution [Priorix]"
VO:0020403,Typhoid Vaccine Live Ty21a 10000000000 UNT Oral Powder [Vivotif] by Berna Biotech,OMOP1108104,Typhoid Vaccine Live Ty21a 10000000000 UNT Oral Powder [Vivotif] by Berna Biotech
VO:0018339,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT Injection [Imovax] by Sanofi",OMOP1108580,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT Injection [Imovax] by Sanofi"
VO:0018269,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT",OMOP1111739,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT"
VO:0018412,pneumococcal capsular polysaccharide type 5 vaccine 0.002 MG/ML,OMOP1111822,pneumococcal capsular polysaccharide type 5 vaccine 0.002 MG/ML
VO:0017871,Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.25 MG/ML,OMOP1111975,Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.25 MG/ML
VO:0017861,MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 0.008 MG/ML,OMOP1112025,MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 0.008 MG/ML
VO:0017855,meningococcal group C polysaccharide 0.008 MG/ML,OMOP1112026,meningococcal group C polysaccharide 0.008 MG/ML
VO:0016705,"diphtheria toxoid vaccine, inactivated 60 UNT/ML",OMOP1112370,"diphtheria toxoid vaccine, inactivated 60 UNT/ML"
VO:0020698,"BCG, Live, Connaught Strain 1 MG/ML",OMOP1112687,"BCG, Live, Connaught Strain 1 MG/ML"
VO:0017436,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.02 MG/ML [Hiberix]",OMOP1113809,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.02 MG/ML [Hiberix]"
VO:0017433,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.015 MG / Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.25 MG [PedvaxHIB]",OMOP1113810,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.015 MG / Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.25 MG [PedvaxHIB]"
VO:0017400,"diphtheria toxoid vaccine, inactivated 25 LFU/ML / Pertussis Vaccine 8 UNT/ML / tetanus toxoid vaccine, inactivated 10 LFU/ML [Tri-Immunol Im]",OMOP1114037,"diphtheria toxoid vaccine, inactivated 25 LFU/ML / Pertussis Vaccine 8 UNT/ML / tetanus toxoid vaccine, inactivated 10 LFU/ML [Tri-Immunol Im]"
VO:0020743,"BCG, Live, Montreal Strain 120 MG [Pacis]",OMOP1114589,"BCG, Live, Montreal Strain 120 MG [Pacis]"
VO:0018199,"MEASLES VIRUS VACCINE,LIVE ATTENUATED / Mumps Virus Vaccine Live, Jeryl Lynn Strain / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) Injectable Solution",OMOP1115054,"MEASLES VIRUS VACCINE,LIVE ATTENUATED / Mumps Virus Vaccine Live, Jeryl Lynn Strain / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) Injectable Solution"
VO:0017341,"diphtheria toxoid vaccine, inactivated / Pertussis Vaccine / poliovirus vaccine inactivated, type 1 (Mahoney) / tetanus toxoid vaccine, inactivated Injectable Solution",OMOP1115203,"diphtheria toxoid vaccine, inactivated / Pertussis Vaccine / poliovirus vaccine inactivated, type 1 (Mahoney) / tetanus toxoid vaccine, inactivated Injectable Solution"
VO:0017326,"diphtheria toxoid vaccine, inactivated / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine Injectable Solution",OMOP1115204,"diphtheria toxoid vaccine, inactivated / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine Injectable Solution"
VO:0017358,"diphtheria toxoid vaccine, inactivated / Pertussis Vaccine / tetanus toxoid vaccine, inactivated Injectable Suspension",OMOP1115205,"diphtheria toxoid vaccine, inactivated / Pertussis Vaccine / tetanus toxoid vaccine, inactivated Injectable Suspension"
VO:0021045,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injectable Suspension [Zostavax],OMOP1115740,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injectable Suspension [Zostavax]
VO:0017458,"poliovirus vaccine inactivated, type 1 (Mahoney) / tetanus toxoid vaccine, inactivated Injectable Solution [T Polio Adsorbed]",OMOP1116010,"poliovirus vaccine inactivated, type 1 (Mahoney) / tetanus toxoid vaccine, inactivated Injectable Solution [T Polio Adsorbed]"
VO:0018198,"MEASLES VIRUS VACCINE,LIVE ATTENUATED / Mumps Virus Vaccine Live, Jeryl Lynn Strain / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) / Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injectable Solution [Priorix-Tetra]",OMOP1116212,"MEASLES VIRUS VACCINE,LIVE ATTENUATED / Mumps Virus Vaccine Live, Jeryl Lynn Strain / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) / Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injectable Solution [Priorix-Tetra]"
VO:0017431,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine / Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine Injectable Solution [PedvaxHIB]",OMOP1116401,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine / Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine Injectable Solution [PedvaxHIB]"
VO:0018287,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT/ML Injectable Solution",OMOP1117581,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT/ML Injectable Solution"
VO:0017460,"poliovirus vaccine inactivated, type 1 (Mahoney) 160 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Solution",OMOP1117639,"poliovirus vaccine inactivated, type 1 (Mahoney) 160 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Solution"
VO:0017791,Pertussis Vaccine 15000000000 UNT/ML Injectable Suspension,OMOP1117673,Pertussis Vaccine 15000000000 UNT/ML Injectable Suspension
VO:0020950,influenza A-California-7-2009-(H1N1)v-like virus vaccine 50000000 /ML / influenza B virus antigen 50000000 /ML Nasal Spray,OMOP1117874,influenza A-California-7-2009-(H1N1)v-like virus vaccine 50000000 /ML / influenza B virus antigen 50000000 /ML Nasal Spray
VO:0015554,Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Intramuscular Solution,OMOP1117923,Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Intramuscular Solution
VO:0020699,"BCG, Live, Connaught Strain 1 MG/ML Injectable Solution",OMOP1118633,"BCG, Live, Connaught Strain 1 MG/ML Injectable Solution"
VO:0020390,Typhoid Vaccine Live Ty21a 10000000000 UNT Delayed Release Oral Capsule [Vivotif],OMOP1118984,Typhoid Vaccine Live Ty21a 10000000000 UNT Delayed Release Oral Capsule [Vivotif]
VO:0017461,"poliovirus vaccine inactivated, type 1 (Mahoney) 160 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Solution [T Polio Adsorbed]",OMOP1119354,"poliovirus vaccine inactivated, type 1 (Mahoney) 160 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Solution [T Polio Adsorbed]"
VO:0018666,"Mumps Virus Vaccine Live, Jeryl Lynn Strain 10000 UNT/ML Injectable Solution [Mumpsvax]",OMOP1119533,"Mumps Virus Vaccine Live, Jeryl Lynn Strain 10000 UNT/ML Injectable Solution [Mumpsvax]"
VO:0020952,influenza A-California-7-2009-(H1N1)v-like virus vaccine 50000000 /ML / influenza B virus antigen 50000000 /ML Nasal Spray [Flumist] Box of 5,OMOP1119758,influenza A-California-7-2009-(H1N1)v-like virus vaccine 50000000 /ML / influenza B virus antigen 50000000 /ML Nasal Spray [Flumist] Box of 5
VO:0015527,Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Intramuscular Solution [Recombivax],OMOP1119841,Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Intramuscular Solution [Recombivax]
VO:0017402,"diphtheria toxoid vaccine, inactivated 25 LFU/ML / Pertussis Vaccine 8 UNT/ML / tetanus toxoid vaccine, inactivated 10 LFU/ML Injectable Solution [Tri-Immunol Im]",OMOP1120108,"diphtheria toxoid vaccine, inactivated 25 LFU/ML / Pertussis Vaccine 8 UNT/ML / tetanus toxoid vaccine, inactivated 10 LFU/ML Injectable Solution [Tri-Immunol Im]"
VO:0020733,"BCG, Live, Connaught Strain 81 MG Injectable Suspension [ImmuCyst] by Sanofi",OMOP1124043,"BCG, Live, Connaught Strain 81 MG Injectable Suspension [ImmuCyst] by Sanofi"
VO:0020514,"0.1 ML BCG, Live, Connaught Strain 1 MG/ML Injectable Solution",OMOP1127046,"0.1 ML BCG, Live, Connaught Strain 1 MG/ML Injectable Solution"
VO:0020515,"0.1 ML BCG, Live, Connaught Strain 1 MG/ML Injectable Solution by Sanofi",OMOP1127062,"0.1 ML BCG, Live, Connaught Strain 1 MG/ML Injectable Solution by Sanofi"
